                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3954,                 3.5554,                  1.316,                0.70374,                0.37265,                0.42017,                0.27856,                 1.3724,                 2.3381,                 1.2698,              0.0033319,              0.0033319,              0.0033319
                      2,                 1.3711,                 2.4367,                  1.302,                0.62625,                0.42606,                0.48522,                0.30163,                 1.4896,                 1.8018,                 1.3868,              0.0066103,              0.0066103,              0.0066103
                      3,                 1.4502,                  2.085,                 1.3833,                0.66147,                0.46347,                 0.5211,                0.32996,                 1.4491,                 1.5924,                 1.3849,              0.0098336,              0.0098336,              0.0098336
                      4,                 1.4742,                 1.8462,                  1.426,                0.66122,                0.49209,                0.60187,                0.35837,                 1.4104,                 1.3927,                 1.3949,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.4159,                  1.602,                 1.3942,                0.72006,                 0.6045,                0.65733,                 0.4156,                 1.3954,                 1.2408,                 1.3808,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.3637,                 1.4346,                 1.3617,                0.65034,                0.74336,                0.75664,                0.47633,                 1.3418,                 1.0998,                 1.3575,                0.00967,                0.00967,                0.00967
                      7,                 1.3448,                 1.3618,                 1.3557,                0.67019,                0.70719,                0.73847,                0.49399,                 1.3209,                 1.0065,                 1.3334,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.3247,                 1.2873,                 1.3414,                0.79552,                0.72603,                0.76831,                0.50127,                 1.3254,                 0.9729,                 1.3351,               0.009505,               0.009505,               0.009505
                      9,                 1.3021,                 1.2192,                 1.3269,                0.79202,                0.68683,                0.73225,                0.49341,                 1.2906,                0.91505,                 1.3067,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.2836,                 1.1706,                 1.3146,                0.83705,                0.71192,                 0.7936,                0.53985,                 1.2672,                0.88065,                 1.2884,                0.00934,                0.00934,                0.00934
                     11,                 1.2703,                 1.1374,                  1.301,                0.82125,                0.73643,                 0.7957,                0.52737,                 1.2704,                0.85773,                 1.2918,              0.0092575,              0.0092575,              0.0092575
