                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3553,                 2.5017,                 1.3972,                0.79482,                0.54756,                0.65237,                0.43473,                 1.3129,                 1.1442,                 1.3204,              0.0033319,              0.0033319,              0.0033319
                      2,                 1.2815,                 1.3538,                 1.3356,                0.70447,                0.63796,                 0.7016,                0.44579,                 1.3475,                  1.074,                 1.3804,              0.0066103,              0.0066103,              0.0066103
                      3,                 1.3732,                 1.4787,                 1.4066,                  0.659,                 0.6431,                0.65563,                0.41181,                  1.395,                 1.3007,                 1.4374,              0.0098336,              0.0098336,              0.0098336
                      4,                 1.4253,                 1.5394,                 1.4389,                0.68222,                0.60328,                0.64055,                0.40938,                 1.4154,                 1.2236,                 1.4458,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.3685,                 1.3688,                 1.4004,                0.70656,                 0.7735,                0.75618,                0.49769,                 1.3294,                0.99089,                 1.3792,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.3249,                 1.2383,                 1.3715,                0.78459,                0.62774,                0.70944,                0.46816,                 1.2966,                0.90806,                 1.3488,                0.00967,                0.00967,                0.00967
                      7,                 1.3058,                 1.1746,                 1.3518,                0.81775,                 0.7094,                0.77708,                0.50247,                 1.2767,                0.86976,                   1.33,              0.0095875,              0.0095875,              0.0095875
                      8,                  1.279,                 1.1122,                  1.338,                0.80112,                0.77573,                0.79407,                0.53641,                 1.2671,                0.84213,                 1.3214,               0.009505,               0.009505,               0.009505
                      9,                 1.2602,                 1.0499,                 1.3226,                0.82734,                0.76006,                0.79694,                0.54138,                 1.2517,                0.80456,                 1.3022,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.2374,                 1.0119,                 1.3095,                0.85876,                0.76902,                0.82544,                0.56395,                 1.2229,                0.75167,                 1.2983,                0.00934,                0.00934,                0.00934
                     11,                 1.2303,                0.98875,                 1.2987,                0.85168,                0.78074,                0.80303,                0.54793,                 1.2311,                  0.756,                 1.2911,              0.0092575,              0.0092575,              0.0092575
                     12,                 1.2121,                0.95769,                 1.2983,                0.88101,                0.79648,                0.84709,                0.57697,                 1.2158,                0.70565,                 1.2848,               0.009175,               0.009175,               0.009175
                     13,                 1.2039,                0.92657,                 1.2841,                0.89369,                0.80553,                0.84546,                0.58321,                 1.1952,                0.67169,                 1.2602,              0.0090925,              0.0090925,              0.0090925
                     14,                 1.1944,                0.90905,                 1.2804,                0.90687,                0.79672,                0.85509,                0.58606,                 1.1961,                0.66329,                 1.2603,                0.00901,                0.00901,                0.00901
                     15,                 1.1858,                0.89891,                 1.2722,                0.90135,                0.78991,                0.83222,                0.57059,                 1.1873,                0.66314,                 1.2554,              0.0089275,              0.0089275,              0.0089275
                     16,                 1.1853,                0.87126,                 1.2689,                0.92123,                  0.811,                0.86722,                0.59605,                  1.185,                0.64403,                 1.2535,               0.008845,               0.008845,               0.008845
                     17,                 1.1648,                0.85123,                 1.2573,                0.89751,                0.77868,                0.91057,                 0.6112,                 1.1692,                0.63909,                 1.2421,              0.0087625,              0.0087625,              0.0087625
                     18,                 1.1655,                0.83462,                 1.2552,                0.91932,                0.81083,                0.86589,                0.59974,                 1.1628,                0.60919,                 1.2379,                0.00868,                0.00868,                0.00868
                     19,                 1.1622,                 0.8304,                 1.2522,                0.85866,                0.81907,                0.88674,                 0.5949,                 1.1609,                0.59963,                 1.2325,              0.0085975,              0.0085975,              0.0085975
                     20,                 1.1466,                0.81549,                 1.2446,                0.92518,                0.81846,                0.88759,                 0.6138,                 1.1491,                0.58837,                 1.2289,               0.008515,               0.008515,               0.008515
                     21,                   1.15,                0.80261,                 1.2445,                0.94039,                0.80495,                0.87045,                0.61407,                 1.1498,                0.59238,                 1.2343,              0.0084325,              0.0084325,              0.0084325
                     22,                 1.1383,                 0.7828,                 1.2371,                0.93421,                0.82592,                  0.868,                0.60967,                  1.148,                 0.5711,                 1.2265,                0.00835,                0.00835,                0.00835
                     23,                 1.1364,                0.78317,                 1.2356,                0.91884,                0.80677,                 0.8864,                0.62169,                 1.1441,                0.57217,                 1.2228,              0.0082675,              0.0082675,              0.0082675
                     24,                 1.1295,                0.77049,                 1.2315,                0.94011,                0.81108,                0.87311,                0.61953,                 1.1392,                0.55694,                 1.2182,               0.008185,               0.008185,               0.008185
                     25,                 1.1263,                0.76237,                 1.2252,                0.94524,                0.82244,                0.93982,                0.63978,                 1.1371,                0.54629,                  1.211,              0.0081025,              0.0081025,              0.0081025
                     26,                 1.1192,                0.75705,                 1.2234,                0.91598,                0.82468,                0.93815,                0.64251,                 1.1392,                0.55163,                 1.2114,                0.00802,                0.00802,                0.00802
                     27,                 1.1099,                0.74469,                 1.2165,                0.93815,                0.82397,                0.94199,                0.63545,                 1.1354,                0.53968,                 1.2162,              0.0079375,              0.0079375,              0.0079375
                     28,                 1.1048,                0.73224,                 1.2196,                0.93224,                0.83303,                0.94409,                0.64395,                 1.1343,                 0.5366,                  1.214,               0.007855,               0.007855,               0.007855
                     29,                 1.1018,                 0.7189,                 1.2095,                0.93978,                0.83302,                0.94399,                0.63605,                 1.1294,                0.53426,                 1.2108,              0.0077725,              0.0077725,              0.0077725
                     30,                 1.1033,                0.71565,                 1.2103,                0.92946,                0.84586,                0.94377,                 0.6403,                 1.1408,                0.53266,                  1.215,                0.00769,                0.00769,                0.00769
                     31,                 1.0988,                0.71802,                 1.2153,                0.93067,                0.83952,                0.94521,                0.63687,                 1.1383,                0.53651,                 1.2107,              0.0076075,              0.0076075,              0.0076075
                     32,                 1.0931,                0.70644,                 1.2067,                0.92958,                0.83788,                0.94585,                0.64789,                 1.1306,                0.51935,                 1.2086,               0.007525,               0.007525,               0.007525
                     33,                 1.0843,                0.69983,                 1.2053,                 0.9372,                0.84305,                0.94834,                0.64803,                 1.1322,                0.51565,                 1.2103,              0.0074425,              0.0074425,              0.0074425
                     34,                 1.0891,                0.69828,                 1.2013,                0.94099,                0.84817,                0.94872,                0.64079,                 1.1297,                0.51312,                 1.2069,                0.00736,                0.00736,                0.00736
                     35,                 1.0851,                0.69652,                 1.2011,                0.93726,                0.84274,                0.94792,                0.64136,                 1.1269,                0.51095,                 1.2035,              0.0072775,              0.0072775,              0.0072775
                     36,                 1.0782,                0.68538,                 1.1985,                0.93947,                0.84272,                0.94925,                0.64939,                 1.1252,                0.50886,                 1.2038,               0.007195,               0.007195,               0.007195
                     37,                 1.0731,                0.67805,                 1.1961,                0.94315,                0.84496,                0.95081,                0.64236,                 1.1266,                0.50387,                 1.2037,              0.0071125,              0.0071125,              0.0071125
                     38,                 1.0681,                0.68006,                 1.1906,                0.93446,                0.83772,                0.91294,                0.63521,                 1.1284,                0.50666,                 1.2036,                0.00703,                0.00703,                0.00703
                     39,                 1.0683,                0.67227,                 1.1899,                0.93487,                0.84363,                0.91495,                0.63706,                 1.1261,                0.50411,                 1.2037,              0.0069475,              0.0069475,              0.0069475
                     40,                 1.0579,                0.66414,                 1.1812,                0.93503,                0.84372,                 0.9159,                0.64163,                 1.1254,                0.49998,                 1.2007,               0.006865,               0.006865,               0.006865
                     41,                 1.0566,                0.66283,                   1.18,                0.93715,                0.84757,                0.95111,                0.64395,                 1.1239,                0.49622,                 1.1987,              0.0067825,              0.0067825,              0.0067825
                     42,                 1.0518,                0.65342,                 1.1789,                0.93335,                0.85038,                 0.9518,                0.64543,                 1.1249,                0.49191,                 1.1999,                 0.0067,                 0.0067,                 0.0067
                     43,                 1.0574,                0.65468,                 1.1841,                0.93865,                0.84981,                 0.9515,                0.64997,                  1.125,                0.49015,                 1.2006,              0.0066175,              0.0066175,              0.0066175
                     44,                 1.0476,                0.64906,                 1.1731,                0.94344,                0.84571,                0.95152,                0.65226,                 1.1226,                0.48892,                 1.1986,               0.006535,               0.006535,               0.006535
                     45,                 1.0422,                0.63878,                 1.1758,                0.81384,                0.94886,                0.95155,                0.64838,                 1.1241,                0.48892,                 1.2004,              0.0064525,              0.0064525,              0.0064525
                     46,                 1.0381,                0.64081,                 1.1722,                0.82816,                0.94725,                0.95207,                0.64569,                 1.1229,                0.48747,                 1.2012,                0.00637,                0.00637,                0.00637
                     47,                 1.0347,                0.63677,                 1.1715,                0.81227,                0.94806,                0.95157,                0.64573,                 1.1231,                0.48633,                 1.2013,              0.0062875,              0.0062875,              0.0062875
                     48,                 1.0292,                0.62484,                 1.1647,                0.94049,                0.85011,                0.95051,                0.64627,                 1.1229,                0.48407,                 1.2019,               0.006205,               0.006205,               0.006205
                     49,                 1.0298,                0.62138,                 1.1665,                0.94058,                0.84877,                0.95136,                0.64629,                 1.1234,                0.48399,                  1.202,              0.0061225,              0.0061225,              0.0061225
                     50,                 1.0284,                0.62281,                 1.1655,                0.94165,                0.85052,                0.95229,                0.64498,                 1.1238,                0.48247,                 1.2019,                0.00604,                0.00604,                0.00604
                     51,                 1.0202,                0.61713,                 1.1606,                0.94311,                0.84911,                0.95143,                0.64529,                 1.1246,                0.47882,                 1.2022,              0.0059575,              0.0059575,              0.0059575
                     52,                 1.0148,                0.61589,                 1.1599,                0.94036,                0.84819,                0.95057,                 0.6488,                 1.1257,                0.47831,                 1.2027,               0.005875,               0.005875,               0.005875
                     53,                 1.0186,                0.61039,                 1.1577,                0.94241,                0.84867,                0.95144,                0.64575,                 1.1255,                0.47757,                 1.2026,              0.0057925,              0.0057925,              0.0057925
                     54,                 1.0172,                0.61102,                 1.1541,                0.81955,                0.94995,                0.95151,                0.65014,                 1.1263,                0.47842,                 1.2027,                0.00571,                0.00571,                0.00571
                     55,                 1.0027,                0.60445,                 1.1496,                0.81776,                0.94965,                0.95156,                0.64948,                 1.1266,                0.47927,                 1.2031,              0.0056275,              0.0056275,              0.0056275
                     56,                 1.0049,                 0.5955,                  1.147,                0.81456,                0.94923,                0.95009,                0.64926,                 1.1264,                  0.479,                 1.2032,               0.005545,               0.005545,               0.005545
                     57,                0.99326,                0.59227,                  1.147,                0.82823,                0.94713,                0.94999,                0.64999,                 1.1269,                0.47764,                 1.2032,              0.0054625,              0.0054625,              0.0054625
                     58,                0.99207,                0.58992,                  1.145,                0.83529,                0.94486,                0.95073,                0.65036,                 1.1277,                0.47697,                 1.2032,                0.00538,                0.00538,                0.00538
                     59,                0.99303,                0.58893,                 1.1457,                 0.8474,                0.94187,                0.95075,                 0.6569,                 1.1279,                0.47707,                 1.2036,              0.0052975,              0.0052975,              0.0052975
                     60,                0.98772,                0.58837,                 1.1454,                0.85316,                0.94233,                0.95238,                0.65916,                 1.1279,                0.47692,                 1.2037,               0.005215,               0.005215,               0.005215
                     61,                0.98048,                0.58155,                 1.1404,                0.85465,                0.94241,                0.95231,                0.65514,                 1.1279,                0.47755,                  1.204,              0.0051325,              0.0051325,              0.0051325
                     62,                 0.9798,                0.57936,                 1.1367,                0.85733,                0.94331,                0.95372,                0.65544,                 1.1278,                0.47716,                 1.2039,                0.00505,                0.00505,                0.00505
                     63,                0.97688,                0.57369,                 1.1364,                0.85909,                 0.9414,                0.95294,                 0.6588,                 1.1279,                0.47603,                 1.2041,              0.0049675,              0.0049675,              0.0049675
                     64,                0.97252,                 0.5745,                 1.1378,                0.85989,                0.94122,                0.95303,                 0.6592,                 1.1284,                 0.4758,                 1.2045,               0.004885,               0.004885,               0.004885
                     65,                 0.9709,                 0.5677,                 1.1337,                0.86071,                0.94038,                0.95342,                0.65964,                 1.1284,                0.47527,                 1.2049,              0.0048025,              0.0048025,              0.0048025
                     66,                0.96451,                0.57059,                  1.127,                0.86215,                0.93989,                0.95373,                0.65564,                 1.1288,                0.47531,                 1.2052,                0.00472,                0.00472,                0.00472
                     67,                0.95756,                0.56338,                 1.1265,                0.86567,                0.93947,                0.95413,                0.65634,                 1.1287,                0.47515,                 1.2052,              0.0046375,              0.0046375,              0.0046375
                     68,                0.96052,                0.56367,                 1.1266,                0.86816,                0.93923,                0.95402,                0.65591,                 1.1289,                0.47554,                 1.2055,               0.004555,               0.004555,               0.004555
                     69,                0.95341,                0.55588,                 1.1242,                0.86809,                0.93959,                0.95426,                0.65635,                 1.1292,                0.47385,                 1.2058,              0.0044725,              0.0044725,              0.0044725
                     70,                0.94259,                0.55204,                 1.1193,                0.87023,                0.93997,                0.95425,                0.65679,                 1.1298,                0.47448,                 1.2063,                0.00439,                0.00439,                0.00439
                     71,                0.94661,                0.54408,                  1.119,                0.87029,                0.94105,                0.95458,                0.65633,                   1.13,                0.47417,                 1.2068,              0.0043075,              0.0043075,              0.0043075
                     72,                0.94132,                0.55155,                 1.1152,                0.87183,                0.94055,                0.95446,                0.65681,                 1.1307,                0.47357,                 1.2073,               0.004225,               0.004225,               0.004225
                     73,                0.93628,                0.54235,                 1.1137,                0.87222,                0.94034,                0.95442,                 0.6563,                 1.1312,                0.47283,                 1.2076,              0.0041425,              0.0041425,              0.0041425
                     74,                0.93528,                0.54675,                 1.1165,                0.87409,                0.94133,                0.95463,                0.65643,                 1.1321,                0.47232,                 1.2083,                0.00406,                0.00406,                0.00406
                     75,                0.92236,                0.53608,                 1.1054,                0.87402,                0.94213,                0.95459,                 0.6558,                 1.1326,                0.47168,                 1.2085,              0.0039775,              0.0039775,              0.0039775
