                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8098,                 3.7809,                 1.3319,                0.71531,                0.34294,                0.39045,                0.26195,                 2.7988,                 2.4126,                 1.2132,              0.0033319,              0.0033319,              0.0033319
                      1,                 3.5501,                 2.6992,                  1.316,                0.53447,                0.45332,                0.44355,                0.27364,                  3.438,                 2.1034,                 1.3807,              0.0066103,              0.0066103,              0.0066103
                      2,                 3.8298,                 2.4061,                 1.4034,                0.50556,                0.41806,                0.41575,                0.25969,                 3.3603,                 1.9698,                 1.3991,              0.0098336,              0.0098336,              0.0098336
                      3,                 3.8923,                  2.084,                 1.4331,                0.61888,                0.50646,                0.54217,                0.34656,                 3.0188,                 1.4557,                 1.3559,              0.0097525,              0.0097525,              0.0097525
                      4,                  3.574,                 1.7781,                 1.3958,                0.65901,                0.54202,                0.63391,                0.41098,                 2.9124,                 1.3317,                 1.3801,              0.0097525,              0.0097525,              0.0097525
                      5,                 3.3378,                 1.5925,                 1.3748,                0.68029,                0.60569,                0.63701,                0.40821,                 2.7115,                 1.1839,                 1.3332,                0.00967,                0.00967,                0.00967
                      6,                 3.2195,                  1.494,                  1.357,                0.71754,                0.63791,                0.72268,                0.47162,                   2.61,                 1.0906,                 1.3083,              0.0095875,              0.0095875,              0.0095875
                      7,                 3.1005,                 1.4076,                 1.3444,                0.79149,                0.58956,                0.69644,                 0.4475,                 2.5638,                 1.1041,                 1.3218,               0.009505,               0.009505,               0.009505
                      8,                 3.0099,                 1.3251,                 1.3339,                0.73938,                0.62459,                0.69963,                0.46076,                 2.4424,                0.99871,                  1.293,              0.0094225,              0.0094225,              0.0094225
                      9,                  2.925,                  1.281,                 1.3198,                0.84166,                0.68484,                 0.7814,                0.52515,                 2.4044,                0.95053,                 1.2817,                0.00934,                0.00934,                0.00934
                     10,                 2.8664,                 1.2375,                 1.3084,                0.79076,                0.71061,                0.76618,                0.49887,                   2.34,                0.91487,                 1.2823,              0.0092575,              0.0092575,              0.0092575
                     11,                 2.8019,                 1.1973,                 1.3049,                0.84495,                0.72986,                0.79772,                0.53293,                 2.3783,                 0.9041,                 1.2849,               0.009175,               0.009175,               0.009175
                     12,                 2.7566,                 1.1609,                  1.298,                0.82606,                0.74115,                 0.7786,                0.51601,                 2.2313,                0.82213,                 1.2615,              0.0090925,              0.0090925,              0.0090925
                     13,                 2.7213,                 1.1364,                 1.2904,                0.83335,                0.75455,                0.78009,                0.50953,                 2.1968,                0.80546,                 1.2622,                0.00901,                0.00901,                0.00901
                     14,                 2.6736,                   1.12,                 1.2855,                0.83355,                0.73029,                0.79338,                0.54031,                 2.1585,                0.78318,                 1.2447,              0.0089275,              0.0089275,              0.0089275
                     15,                  2.657,                 1.0885,                 1.2849,                0.87875,                0.76588,                 0.8283,                0.55945,                 2.1404,                0.75871,                 1.2501,               0.008845,               0.008845,               0.008845
                     16,                 2.5922,                 1.0597,                 1.2731,                0.86178,                0.74946,                0.82402,                0.56623,                 2.0757,                0.75872,                 1.2333,              0.0087625,              0.0087625,              0.0087625
                     17,                  2.564,                 1.0494,                 1.2706,                0.84429,                0.74422,                0.80755,                0.55207,                 2.0435,                0.72889,                  1.227,                0.00868,                0.00868,                0.00868
                     18,                 2.5592,                 1.0234,                 1.2677,                0.88066,                0.77028,                0.84319,                0.57013,                 2.0349,                0.70959,                 1.2254,              0.0085975,              0.0085975,              0.0085975
                     19,                 2.5155,                 1.0149,                 1.2588,                0.90038,                0.75676,                0.84965,                0.57292,                 1.9823,                0.69151,                 1.2168,               0.008515,               0.008515,               0.008515
                     20,                 2.5052,                0.99551,                 1.2634,                0.90085,                0.78269,                 0.8393,                   0.57,                 1.9828,                0.69342,                 1.2266,              0.0084325,              0.0084325,              0.0084325
                     21,                 2.4759,                0.97905,                 1.2542,                0.92133,                0.77848,                0.85133,                0.58938,                 1.9766,                0.66851,                 1.2192,                0.00835,                0.00835,                0.00835
                     22,                 2.4644,                0.97266,                 1.2544,                0.92188,                0.77394,                 0.8807,                0.58887,                 1.9676,                0.66777,                 1.2254,              0.0082675,              0.0082675,              0.0082675
                     23,                  2.426,                0.95679,                 1.2542,                0.90008,                0.78143,                 0.8515,                0.57071,                 1.9545,                0.65457,                 1.2221,               0.008185,               0.008185,               0.008185
                     24,                  2.418,                0.95117,                 1.2478,                0.91374,                0.80552,                0.89023,                0.59978,                 1.9382,                  0.649,                 1.2116,              0.0081025,              0.0081025,              0.0081025
                     25,                 2.4068,                  0.944,                 1.2472,                0.88592,                  0.803,                0.90535,                0.57758,                 1.9182,                0.63206,                 1.2138,                0.00802,                0.00802,                0.00802
                     26,                 2.3828,                0.93032,                 1.2425,                 0.9323,                0.80383,                0.89255,                0.59029,                 1.8978,                0.63508,                 1.2154,              0.0079375,              0.0079375,              0.0079375
                     27,                 2.3717,                0.90879,                  1.244,                0.93055,                 0.7908,                0.89226,                0.60221,                  1.914,                0.63088,                 1.2151,               0.007855,               0.007855,               0.007855
                     28,                  2.344,                0.89312,                 1.2364,                0.91061,                   0.81,                0.88967,                0.59698,                 1.9005,                0.61785,                 1.2117,              0.0077725,              0.0077725,              0.0077725
                     29,                 2.3387,                0.90087,                  1.239,                0.93676,                0.79546,                0.92787,                0.61485,                 1.9039,                0.61447,                 1.2094,                0.00769,                0.00769,                0.00769
                     30,                 2.3455,                0.90855,                 1.2428,                0.92426,                0.80188,                0.93073,                0.61822,                   1.87,                0.62188,                 1.2046,              0.0076075,              0.0076075,              0.0076075
                     31,                 2.3145,                0.88298,                 1.2314,                0.93079,                0.79382,                0.93227,                0.61464,                  1.866,                0.61345,                 1.2044,               0.007525,               0.007525,               0.007525
                     32,                 2.2886,                0.86581,                 1.2309,                 0.9224,                0.79502,                0.89775,                  0.605,                 1.8558,                 0.6052,                 1.2022,              0.0074425,              0.0074425,              0.0074425
                     33,                 2.2992,                 0.8626,                  1.229,                0.93141,                0.80183,                0.92958,                0.61583,                 1.8497,                 0.6026,                 1.2025,                0.00736,                0.00736,                0.00736
                     34,                 2.2902,                0.86669,                 1.2313,                0.92494,                0.81377,                 0.9344,                0.62042,                  1.842,                0.59449,                 1.2002,              0.0072775,              0.0072775,              0.0072775
