                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1474,                 5.4191,                 3.7358,                0.48937,                0.10427,                0.05323,                0.01428,                 2.3086,                 3.7579,                 3.2835,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.9822,                 3.4307,                 2.6439,                0.41639,                 0.2665,                0.27343,                0.12008,                 1.6364,                 2.3645,                 2.5479,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.5996,                 2.5141,                 2.2391,                 0.4101,                0.34006,                0.30277,                 0.1424,                 1.5519,                 2.3304,                 2.4193,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.4561,                 2.1167,                 2.0823,                0.60255,                0.47028,                0.47452,                0.26313,                 1.2779,                 1.7605,                 2.1787,               0.009835,               0.009835,               0.009835
                      5,                 1.3386,                 1.8575,                  1.969,                0.69144,                0.49687,                0.52566,                0.31154,                 1.3075,                 1.5076,                 2.1471,               0.009835,               0.009835,               0.009835
                      6,                 1.2561,                 1.6681,                 1.8958,                0.74536,                  0.502,                0.57515,                0.35987,                 1.1843,                 1.2868,                  2.043,                0.00978,                0.00978,                0.00978
                      7,                  1.203,                 1.5369,                 1.8383,                0.77741,                0.54104,                0.61515,                0.38948,                 1.1321,                 1.2308,                 1.9689,               0.009725,               0.009725,               0.009725
                      8,                 1.1688,                 1.4408,                 1.8124,                0.82581,                0.56485,                0.64676,                0.40674,                 1.1556,                 1.1503,                  1.998,                0.00967,                0.00967,                0.00967
                      9,                 1.1478,                 1.3688,                 1.7921,                0.81112,                0.60405,                0.65898,                0.41951,                  1.115,                 1.1034,                 1.9487,               0.009615,               0.009615,               0.009615
                     10,                 1.1036,                  1.296,                 1.7581,                0.85752,                  0.605,                0.69772,                0.44885,                 1.1019,                 1.0065,                 1.9395,                0.00956,                0.00956,                0.00956
                     11,                 1.1012,                 1.2553,                 1.7461,                0.78484,                0.62169,                0.68558,                 0.4458,                 1.0521,                0.99539,                 1.8893,               0.009505,               0.009505,               0.009505
                     12,                 1.0714,                 1.2065,                 1.7287,                0.81527,                0.64181,                0.70389,                0.46937,                 1.0564,                 0.9476,                 1.8859,                0.00945,                0.00945,                0.00945
                     13,                 1.0539,                 1.1741,                 1.7162,                0.84135,                0.67313,                0.73914,                0.48393,                 1.0348,                0.90347,                 1.8552,               0.009395,               0.009395,               0.009395
                     14,                 1.0494,                 1.1364,                 1.7066,                0.83968,                0.68958,                0.76958,                0.48964,                 1.0043,                0.88021,                 1.8467,                0.00934,                0.00934,                0.00934
                     15,                  1.031,                 1.1099,                 1.6835,                0.87461,                0.67722,                0.73708,                0.49206,                 1.0014,                0.84963,                 1.8243,               0.009285,               0.009285,               0.009285
                     16,                 1.0314,                 1.0814,                 1.6815,                0.83445,                0.70254,                0.74985,                0.49281,                 1.0119,                0.83074,                 1.8307,                0.00923,                0.00923,                0.00923
