                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3158,                 5.5689,                  3.859,                0.40528,                0.04831,                0.03795,                0.00989,                 2.6219,                 3.7403,                 3.3452,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.3669,                 3.6739,                 2.7999,                0.40201,                0.20592,                 0.1949,                0.07004,                 2.0936,                  2.835,                 2.7386,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.9771,                 2.7339,                  2.359,                0.48602,                 0.3688,                0.34653,                0.16451,                 1.8785,                 2.2764,                 2.4378,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.7942,                 2.2755,                 2.1451,                0.53429,                0.39832,                0.43422,                0.24917,                 1.6583,                 1.9366,                 2.1673,               0.009835,               0.009835,               0.009835
                      5,                 1.6635,                  2.001,                 2.0004,                0.58896,                0.46098,                0.50151,                0.29167,                 1.6234,                 1.7168,                 2.1575,               0.009835,               0.009835,               0.009835
                      6,                 1.5735,                 1.8021,                 1.9255,                 0.7195,                0.46161,                0.53731,                0.32014,                 1.5637,                 1.5633,                 2.0497,                0.00978,                0.00978,                0.00978
                      7,                 1.5147,                 1.6621,                 1.8648,                0.74446,                0.52095,                0.58893,                0.35344,                 1.5224,                 1.4122,                 2.0025,               0.009725,               0.009725,               0.009725
                      8,                 1.4782,                 1.5585,                 1.8332,                 0.7552,                 0.5743,                0.63967,                0.38118,                 1.4607,                 1.2825,                 1.9733,                0.00967,                0.00967,                0.00967
                      9,                 1.4549,                 1.4856,                 1.8083,                0.78162,                0.58807,                0.62987,                0.39039,                 1.4558,                 1.2194,                 1.9284,               0.009615,               0.009615,               0.009615
                     10,                  1.415,                 1.4125,                 1.7712,                0.76443,                0.58794,                0.66217,                0.40585,                 1.4508,                  1.186,                 1.9201,                0.00956,                0.00956,                0.00956
                     11,                 1.4067,                 1.3586,                  1.758,                0.79173,                0.57328,                0.64938,                0.41071,                 1.3924,                   1.15,                 1.8579,               0.009505,               0.009505,               0.009505
                     12,                 1.3754,                 1.3207,                 1.7374,                0.83379,                0.60435,                0.68015,                0.43265,                 1.3937,                 1.0642,                 1.8639,                0.00945,                0.00945,                0.00945
                     13,                 1.3595,                 1.2662,                 1.7275,                0.79954,                 0.6527,                0.69368,                0.44614,                 1.3853,                 1.0197,                 1.8499,               0.009395,               0.009395,               0.009395
                     14,                 1.3464,                 1.2259,                 1.7073,                0.85763,                0.62111,                0.70483,                0.45063,                 1.3618,                0.97723,                 1.8482,                0.00934,                0.00934,                0.00934
                     15,                 1.3281,                 1.1984,                 1.6848,                0.83623,                0.65492,                0.71575,                 0.4648,                 1.3474,                0.95428,                 1.8003,               0.009285,               0.009285,               0.009285
                     16,                 1.3199,                 1.1713,                 1.6762,                0.87506,                0.65149,                 0.7303,                0.47969,                 1.3211,                0.91829,                 1.7749,                0.00923,                0.00923,                0.00923
                     17,                  1.296,                 1.1346,                 1.6573,                0.87443,                0.65136,                0.72883,                0.47924,                 1.3157,                0.90916,                 1.7513,               0.009175,               0.009175,               0.009175
                     18,                 1.2926,                 1.1069,                 1.6546,                 0.8409,                0.68484,                0.74351,                0.48521,                 1.3057,                0.89182,                  1.765,                0.00912,                0.00912,                0.00912
                     19,                 1.2843,                 1.0922,                 1.6431,                0.89292,                0.68496,                0.75738,                0.49921,                 1.3034,                  0.847,                 1.7594,               0.009065,               0.009065,               0.009065
