                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3376,                   5.67,                  3.861,                0.88171,                0.03653,                0.02802,                0.00533,                  2.759,                 4.6372,                 3.6374,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.2569,                 3.6107,                 2.6829,                0.46261,                0.24304,                0.21921,                0.08925,                 2.0333,                 2.7236,                 2.6485,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.8466,                 2.5682,                  2.225,                0.44857,                0.39406,                0.36518,                0.18721,                 1.7765,                 2.0611,                 2.3587,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.6862,                 2.1249,                 2.0445,                0.58179,                0.44885,                0.46498,                0.27628,                 1.6167,                 1.7849,                 2.1202,               0.009835,               0.009835,               0.009835
                      5,                 1.5731,                  1.869,                 1.9184,                0.69599,                0.45041,                0.51622,                0.31469,                 1.5534,                 1.5764,                 2.0573,               0.009835,               0.009835,               0.009835
                      6,                  1.498,                 1.6987,                 1.8597,                0.70073,                0.51501,                 0.5575,                0.35157,                 1.4745,                 1.3898,                 1.9706,                0.00978,                0.00978,                0.00978
                      7,                 1.4498,                 1.5667,                 1.8116,                0.73694,                0.58739,                 0.6261,                0.39404,                 1.4458,                 1.2397,                 1.9595,               0.009725,               0.009725,               0.009725
                      8,                 1.4138,                  1.465,                 1.7804,                0.78803,                0.57022,                0.63392,                0.40349,                 1.4432,                 1.1959,                 1.9032,                0.00967,                0.00967,                0.00967
                      9,                 1.3905,                 1.3924,                 1.7594,                0.76089,                0.60361,                0.63812,                0.40674,                 1.4179,                 1.1696,                 1.9038,               0.009615,               0.009615,               0.009615
                     10,                 1.3562,                 1.3246,                 1.7325,                0.82789,                0.59633,                0.67019,                 0.4315,                 1.3873,                 1.1141,                 1.8751,                0.00956,                0.00956,                0.00956
                     11,                 1.3483,                 1.2802,                 1.7217,                0.83192,                0.60908,                0.67745,                0.43311,                 1.3618,                 1.0841,                 1.8579,               0.009505,               0.009505,               0.009505
                     12,                 1.3233,                 1.2341,                 1.7051,                0.85436,                0.63488,                0.70373,                0.46643,                  1.339,                0.97771,                 1.8292,                0.00945,                0.00945,                0.00945
                     13,                 1.3102,                 1.1887,                 1.6947,                0.85486,                0.65486,                 0.7314,                0.48241,                 1.3186,                0.94507,                 1.8018,               0.009395,               0.009395,               0.009395
                     14,                 1.2964,                 1.1537,                 1.6757,                 0.8592,                0.65304,                0.72574,                0.47402,                 1.3076,                0.91076,                 1.7914,                0.00934,                0.00934,                0.00934
                     15,                 1.2822,                 1.1186,                 1.6607,                0.86621,                0.66695,                0.73629,                0.48062,                 1.3177,                0.89932,                 1.7837,               0.009285,               0.009285,               0.009285
