                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2872,                 5.6145,                 3.8529,                0.75161,                0.06333,                0.02185,                0.00547,                 2.6864,                 4.8094,                  3.767,              0.0033305,              0.0033305,              0.0033305
                      2,                   2.05,                 3.5555,                 2.6974,                0.41389,                0.20926,                0.16817,                0.06343,                 1.8368,                 2.9465,                 2.7372,              0.0066272,              0.0066272,              0.0066272
                      3,                  1.617,                 2.5375,                 2.2631,                0.38534,                0.31982,                0.29837,                0.14393,                 1.5172,                  2.248,                 2.4378,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.4618,                 2.0921,                 2.0926,                 0.6007,                0.44634,                0.47337,                0.28274,                 1.2972,                 1.6876,                 2.1801,               0.009835,               0.009835,               0.009835
                      5,                 1.3391,                 1.8267,                 1.9534,                0.55313,                0.45128,                0.47479,                0.27936,                 1.3579,                 1.6505,                 2.1668,               0.009835,               0.009835,               0.009835
                      6,                 1.2703,                 1.6563,                  1.897,                0.69402,                  0.509,                 0.5653,                 0.3484,                 1.2393,                 1.3524,                 2.0621,                0.00978,                0.00978,                0.00978
                      7,                 1.2146,                  1.527,                 1.8412,                0.77229,                0.57822,                0.61845,                0.38183,                 1.1573,                 1.2247,                 2.0201,               0.009725,               0.009725,               0.009725
                      8,                 1.1783,                 1.4285,                 1.8099,                0.76714,                0.59987,                0.64425,                0.40809,                 1.1287,                 1.1468,                 1.9589,                0.00967,                0.00967,                0.00967
                      9,                 1.1545,                 1.3583,                 1.7884,                0.79607,                0.57824,                 0.6477,                0.41433,                 1.0936,                 1.1425,                 1.9267,               0.009615,               0.009615,               0.009615
                     10,                 1.1155,                 1.2936,                  1.756,                0.70866,                0.61938,                0.67139,                 0.4284,                 1.1179,                 1.0628,                  1.949,                0.00956,                0.00956,                0.00956
                     11,                 1.1061,                 1.2514,                 1.7398,                0.80447,                0.62752,                0.67586,                0.43816,                 1.0748,                 1.0282,                 1.8858,               0.009505,               0.009505,               0.009505
                     12,                 1.0754,                  1.205,                 1.7197,                0.85496,                0.63318,                0.71039,                0.46908,                 1.0624,                0.94402,                 1.8677,                0.00945,                0.00945,                0.00945
                     13,                 1.0624,                 1.1627,                 1.7095,                0.79836,                0.66503,                0.73799,                0.48383,                 1.0406,                0.89201,                 1.8328,               0.009395,               0.009395,               0.009395
                     14,                 1.0534,                 1.1268,                 1.6972,                0.85224,                0.67971,                 0.7274,                0.47523,                 1.0147,                0.88258,                 1.8341,                0.00934,                0.00934,                0.00934
