                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3528,                 5.6223,                 3.8428,                0.61888,                0.03679,                0.03601,                0.00896,                 2.8653,                 5.6016,                  3.465,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.5433,                 3.8826,                 2.8577,                0.37844,                0.18817,                0.14887,                0.05239,                 2.2658,                 2.9432,                 2.7625,              0.0066272,              0.0066272,              0.0066272
                      3,                 2.1316,                 2.9048,                 2.4115,                 0.4327,                0.29708,                0.24515,                0.11247,                 2.0376,                  2.751,                 2.4824,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.9043,                 2.4455,                 2.1705,                0.56351,                0.36473,                0.37959,                0.19845,                 1.8466,                 2.2791,                 2.2734,               0.009835,               0.009835,               0.009835
                      5,                 1.7674,                 2.1567,                 2.0191,                0.61539,                0.44341,                0.46915,                0.26028,                 1.7082,                 1.8653,                 2.1238,               0.009835,               0.009835,               0.009835
                      6,                 1.6721,                 1.9586,                 1.9296,                0.58327,                0.41174,                0.46182,                 0.2589,                 1.6773,                 1.8396,                 2.0398,                0.00978,                0.00978,                0.00978
                      7,                 1.6097,                 1.8157,                 1.8511,                0.68031,                0.47084,                0.51727,                0.30715,                  1.607,                 1.6146,                 1.9185,               0.009725,               0.009725,               0.009725
                      8,                 1.5678,                 1.7111,                  1.815,                0.63735,                0.51372,                0.56554,                0.34209,                  1.546,                 1.4266,                 1.8492,                0.00967,                0.00967,                0.00967
                      9,                 1.5382,                 1.6334,                 1.7792,                 0.7305,                0.53582,                0.58567,                0.35219,                 1.5497,                 1.4069,                 1.8439,               0.009615,               0.009615,               0.009615
                     10,                 1.4964,                  1.559,                 1.7272,                0.77677,                0.55612,                 0.6228,                0.37772,                  1.509,                 1.3128,                 1.7767,                0.00956,                0.00956,                0.00956
                     11,                 1.4811,                 1.5096,                  1.712,                 0.6752,                0.56554,                0.61965,                0.37236,                 1.4942,                 1.4069,                  1.769,               0.009505,               0.009505,               0.009505
                     12,                 1.4506,                 1.4601,                 1.6815,                0.80448,                0.59498,                0.67428,                0.41382,                 1.4521,                 1.1983,                 1.7119,                0.00945,                0.00945,                0.00945
                     13,                 1.4303,                 1.4172,                 1.6627,                0.76195,                0.61315,                0.69155,                0.42958,                  1.433,                 1.1349,                 1.6852,               0.009395,               0.009395,               0.009395
                     14,                 1.4156,                   1.37,                 1.6343,                0.82809,                0.60491,                0.68124,                0.42727,                 1.4183,                 1.0985,                 1.6547,                0.00934,                0.00934,                0.00934
                     15,                 1.4003,                 1.3369,                 1.6156,                0.81794,                0.59877,                0.70065,                0.43806,                 1.4208,                 1.1051,                 1.6488,               0.009285,               0.009285,               0.009285
                     16,                 1.3971,                 1.3182,                 1.6023,                0.85305,                0.63334,                0.71016,                 0.4481,                  1.391,                 1.0312,                 1.6049,                0.00923,                0.00923,                0.00923
                     17,                 1.3662,                 1.2772,                 1.5818,                0.81212,                0.66968,                0.69965,                0.44396,                 1.3843,                 1.0463,                 1.6126,               0.009175,               0.009175,               0.009175
                     18,                  1.361,                 1.2397,                 1.5701,                0.84913,                 0.6404,                0.75896,                0.48514,                 1.3683,                 1.0092,                 1.5725,                0.00912,                0.00912,                0.00912
                     19,                 1.3523,                 1.2311,                 1.5583,                0.77805,                0.65933,                0.75744,                 0.4754,                 1.3346,                0.97523,                 1.5642,               0.009065,               0.009065,               0.009065
                     20,                 1.3384,                 1.2117,                 1.5466,                0.85515,                 0.6841,                0.76137,                0.48764,                 1.3306,                0.94224,                 1.5396,                0.00901,                0.00901,                0.00901
                     21,                 1.3341,                 1.1735,                 1.5398,                0.87125,                0.67394,                0.80374,                0.50786,                 1.3276,                0.91313,                 1.5365,               0.008955,               0.008955,               0.008955
                     22,                 1.3215,                  1.168,                 1.5251,                0.84827,                0.75132,                0.80277,                0.52215,                 1.3293,                 0.9053,                 1.5311,                 0.0089,                 0.0089,                 0.0089
                     23,                 1.3167,                 1.1526,                 1.5128,                  0.731,                0.80818,                 0.8222,                0.50807,                 1.3168,                0.88964,                 1.5084,               0.008845,               0.008845,               0.008845
                     24,                 1.3083,                 1.1355,                 1.5038,                0.82157,                0.77784,                0.81719,                0.52004,                 1.2943,                0.86726,                 1.4836,                0.00879,                0.00879,                0.00879
                     25,                 1.2948,                 1.1141,                 1.4909,                0.90358,                 0.7451,                0.82319,                0.53314,                 1.2939,                0.86539,                 1.4812,               0.008735,               0.008735,               0.008735
                     26,                 1.2971,                 1.0974,                 1.4852,                0.81671,                0.78879,                0.79249,                0.51701,                 1.2969,                0.84301,                 1.4784,                0.00868,                0.00868,                0.00868
                     27,                 1.2852,                 1.0865,                 1.4766,                 0.8789,                0.74884,                0.81137,                0.53715,                 1.2847,                0.83284,                 1.4713,               0.008625,               0.008625,               0.008625
                     28,                 1.2783,                 1.0664,                  1.469,                 0.8708,                0.77576,                0.85969,                0.54698,                 1.2843,                0.83251,                 1.4602,                0.00857,                0.00857,                0.00857
                     29,                 1.2792,                 1.0635,                 1.4656,                0.89541,                0.77141,                0.84712,                0.55475,                 1.2676,                 0.8087,                 1.4492,               0.008515,               0.008515,               0.008515
                     30,                 1.2692,                 1.0587,                 1.4574,                0.87562,                0.76901,                0.84045,                0.55569,                  1.273,                0.80831,                 1.4471,                0.00846,                0.00846,                0.00846
                     31,                 1.2664,                 1.0327,                  1.452,                0.87735,                0.77871,                0.84619,                0.55394,                 1.2696,                0.78628,                 1.4451,               0.008405,               0.008405,               0.008405
