                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3896,                 5.7039,                 3.8857,                0.65772,                0.03484,                0.01795,                0.00387,                 2.8624,                 4.7748,                 3.6683,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.3223,                 3.6979,                 2.7572,                0.26992,                0.14355,                0.11158,                0.04953,                 2.2656,                  3.671,                 2.9966,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.8459,                 2.5598,                 2.2359,                0.39622,                0.35495,                0.28214,                0.15995,                 1.8177,                 2.5995,                 2.3771,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.6921,                 2.1089,                 2.0544,                0.57618,                0.44818,                0.46234,                0.27815,                 1.6097,                 1.7346,                 2.1522,               0.009835,               0.009835,               0.009835
                      5,                 1.5802,                 1.8593,                 1.9329,                0.61242,                0.50003,                 0.5352,                0.32716,                 1.5493,                 1.5158,                 2.0696,               0.009835,               0.009835,               0.009835
                      6,                 1.5003,                  1.674,                 1.8682,                0.72806,                0.51932,                0.57596,                0.35536,                  1.504,                 1.3476,                 2.0075,                0.00978,                0.00978,                0.00978
                      7,                 1.4504,                  1.553,                 1.8197,                0.73108,                0.56978,                0.61185,                0.37459,                 1.4921,                 1.2814,                 2.0346,               0.009725,               0.009725,               0.009725
                      8,                 1.4172,                 1.4513,                 1.7916,                0.80525,                0.56659,                0.64193,                0.40493,                 1.4203,                 1.1748,                 1.9107,                0.00967,                0.00967,                0.00967
                      9,                 1.3947,                 1.3789,                 1.7698,                0.66627,                0.57891,                0.61696,                0.39104,                 1.4298,                 1.1706,                 1.9252,               0.009615,               0.009615,               0.009615
                     10,                 1.3615,                 1.3127,                  1.741,                0.79715,                0.61618,                0.67203,                0.43389,                 1.3799,                 1.0566,                 1.9109,                0.00956,                0.00956,                0.00956
                     11,                 1.3533,                 1.2707,                 1.7283,                0.82809,                0.62555,                 0.6892,                0.44888,                 1.3423,                 1.0107,                   1.84,               0.009505,               0.009505,               0.009505
                     12,                 1.3229,                 1.2333,                 1.7075,                0.83364,                0.63965,                0.70464,                0.45594,                 1.3463,                0.98344,                 1.8522,                0.00945,                0.00945,                0.00945
                     13,                 1.3097,                 1.1935,                 1.6955,                0.80342,                0.64553,                0.72506,                0.48055,                 1.3017,                0.93328,                  1.795,               0.009395,               0.009395,               0.009395
                     14,                 1.2967,                 1.1517,                 1.6808,                0.79636,                0.64529,                0.72807,                0.48174,                 1.3278,                0.89102,                 1.8219,                0.00934,                0.00934,                0.00934
                     15,                 1.2845,                 1.1208,                 1.6672,                0.86504,                  0.675,                0.73378,                0.47782,                 1.3099,                0.88279,                 1.7827,               0.009285,               0.009285,               0.009285
                     16,                 1.2806,                  1.096,                 1.6611,                0.85693,                 0.6789,                0.73524,                0.49164,                 1.2825,                0.85783,                 1.7758,                0.00923,                0.00923,                0.00923
                     17,                 1.2591,                 1.0719,                 1.6493,                0.85095,                0.70171,                0.74177,                0.49221,                 1.2905,                0.83528,                 1.7903,               0.009175,               0.009175,               0.009175
                     18,                 1.2487,                 1.0323,                 1.6326,                0.86631,                0.69858,                0.78205,                0.50593,                 1.2741,                0.81057,                 1.7627,                0.00912,                0.00912,                0.00912
                     19,                 1.2448,                 1.0294,                 1.6316,                0.88641,                0.69698,                0.76888,                 0.5077,                  1.257,                0.79553,                 1.7492,               0.009065,               0.009065,               0.009065
                     20,                 1.2337,                 1.0084,                 1.6245,                0.78005,                0.75821,                0.80364,                0.51495,                 1.2432,                 0.7895,                 1.7305,                0.00901,                0.00901,                0.00901
                     21,                 1.2332,                0.98058,                 1.6195,                0.88742,                 0.7076,                0.77486,                0.51967,                  1.253,                0.75932,                 1.7326,               0.008955,               0.008955,               0.008955
                     22,                 1.2184,                0.96651,                  1.604,                0.89146,                0.72083,                0.79515,                0.52557,                 1.2477,                 0.7588,                 1.7309,                 0.0089,                 0.0089,                 0.0089
                     23,                 1.2133,                0.95845,                 1.5984,                0.90564,                0.71149,                0.84634,                 0.5493,                 1.2349,                0.73325,                 1.6991,               0.008845,               0.008845,               0.008845
                     24,                 1.2058,                0.94482,                 1.5932,                0.84365,                0.77734,                0.82751,                0.53878,                 1.2312,                0.71608,                 1.7009,                0.00879,                0.00879,                0.00879
                     25,                 1.1959,                0.92899,                 1.5793,                0.81882,                0.79629,                0.83444,                0.55024,                  1.223,                0.70509,                 1.6846,               0.008735,               0.008735,               0.008735
                     26,                 1.1909,                0.91221,                 1.5783,                 0.8149,                0.79179,                0.83901,                 0.5475,                 1.2354,                0.69227,                 1.7102,                0.00868,                0.00868,                0.00868
                     27,                 1.1845,                0.90836,                 1.5702,                0.91375,                0.72398,                0.85316,                0.55292,                 1.2256,                0.69041,                 1.6863,               0.008625,               0.008625,               0.008625
                     28,                 1.1832,                0.89931,                 1.5736,                 0.9132,                 0.7386,                0.87282,                0.58765,                 1.2181,                0.67882,                 1.6736,                0.00857,                0.00857,                0.00857
                     29,                 1.1811,                0.88713,                  1.565,                0.87445,                 0.8018,                0.92197,                0.59867,                 1.2071,                 0.6685,                 1.6642,               0.008515,               0.008515,               0.008515
                     30,                 1.1651,                0.88596,                 1.5562,                0.90303,                0.78965,                0.88693,                0.58853,                 1.2163,                0.66291,                 1.6748,                0.00846,                0.00846,                0.00846
                     31,                 1.1664,                0.86775,                  1.554,                0.90853,                0.79679,                0.88835,                0.59521,                 1.2106,                0.65949,                 1.6697,               0.008405,               0.008405,               0.008405
                     32,                 1.1661,                0.85177,                 1.5482,                0.92418,                 0.8054,                0.92902,                0.61926,                 1.2046,                0.65454,                 1.6672,                0.00835,                0.00835,                0.00835
                     33,                 1.1579,                0.85166,                 1.5486,                0.91388,                0.80469,                0.89398,                0.60223,                 1.1982,                0.64982,                 1.6596,               0.008295,               0.008295,               0.008295
                     34,                 1.1523,                0.83717,                 1.5432,                  0.914,                0.76266,                0.88001,                 0.5992,                 1.2011,                0.64852,                 1.6571,                0.00824,                0.00824,                0.00824
                     35,                  1.159,                0.83734,                 1.5498,                 0.9102,                0.75755,                0.91192,                0.59316,                 1.2018,                0.65144,                 1.6623,               0.008185,               0.008185,               0.008185
                     36,                 1.1508,                0.82791,                 1.5424,                0.91283,                0.81012,                0.89469,                0.60476,                 1.2025,                0.64831,                 1.6636,                0.00813,                0.00813,                0.00813
                     37,                 1.1388,                0.81937,                 1.5338,                0.91058,                0.81276,                0.93149,                0.60822,                 1.2053,                0.64283,                 1.6724,               0.008075,               0.008075,               0.008075
                     38,                 1.1344,                0.80737,                 1.5295,                0.90197,                0.82024,                0.93191,                0.60377,                 1.2001,                0.63911,                 1.6653,                0.00802,                0.00802,                0.00802
                     39,                 1.1339,                0.80937,                 1.5226,                 0.9142,                0.81031,                0.93291,                0.60631,                 1.1927,                0.62835,                 1.6497,               0.007965,               0.007965,               0.007965
                     40,                 1.1311,                 0.8061,                 1.5249,                0.92388,                0.80629,                0.93226,                0.61387,                 1.1925,                0.62559,                 1.6525,                0.00791,                0.00791,                0.00791
                     41,                 1.1299,                0.79765,                  1.516,                0.91692,                0.77903,                0.92422,                0.61374,                 1.1878,                0.62198,                  1.646,               0.007855,               0.007855,               0.007855
                     42,                 1.1239,                0.78994,                 1.5183,                0.91484,                0.77942,                0.92554,                0.61171,                 1.1885,                0.61693,                 1.6475,                 0.0078,                 0.0078,                 0.0078
                     43,                  1.121,                0.78283,                 1.5146,                 0.8747,                0.81369,                0.92733,                0.60996,                 1.1868,                 0.6133,                  1.645,               0.007745,               0.007745,               0.007745
                     44,                 1.1139,                0.77749,                 1.5048,                0.88884,                0.81601,                0.92527,                0.60874,                 1.1866,                0.61046,                 1.6474,                0.00769,                0.00769,                0.00769
                     45,                 1.1168,                0.77843,                 1.5106,                0.89318,                0.78624,                0.91973,                0.60705,                 1.1864,                0.60916,                 1.6466,               0.007635,               0.007635,               0.007635
                     46,                 1.1118,                0.76587,                 1.4978,                 0.8926,                0.80575,                0.92692,                0.60991,                 1.1862,                0.61034,                 1.6434,                0.00758,                0.00758,                0.00758
                     47,                 1.1099,                0.76034,                 1.5054,                0.88847,                0.80574,                0.92709,                0.60954,                 1.1847,                0.60846,                 1.6415,               0.007525,               0.007525,               0.007525
                     48,                 1.1082,                0.75708,                 1.5011,                0.89145,                0.80179,                0.92748,                0.61079,                 1.1836,                0.60464,                 1.6419,                0.00747,                0.00747,                0.00747
                     49,                 1.1052,                0.74258,                 1.5014,                0.89074,                0.80676,                 0.9269,                0.61074,                 1.1826,                0.60229,                 1.6421,               0.007415,               0.007415,               0.007415
                     50,                 1.1009,                0.74657,                 1.4941,                0.88429,                0.81055,                0.92664,                0.61164,                 1.1808,                0.60222,                 1.6412,                0.00736,                0.00736,                0.00736
