                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3446,                 5.6833,                 3.8704,                0.71923,                0.05318,                0.05136,                0.01363,                 2.6343,                 4.1121,                 3.4346,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.2818,                 3.6189,                 2.7449,                0.31521,                0.15667,                0.13328,                0.06112,                 2.2077,                 3.3028,                 2.9164,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.8444,                 2.5557,                 2.2529,                0.48352,                0.36505,                0.34538,                0.19498,                 1.7825,                 2.0977,                 2.3703,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.6838,                 2.1277,                 2.0636,                0.52483,                0.42002,                0.44239,                0.26939,                 1.5651,                 1.8826,                 2.1401,               0.009835,               0.009835,               0.009835
                      5,                  1.572,                 1.8582,                 1.9474,                0.61377,                0.49923,                0.53617,                0.32831,                 1.5446,                 1.5135,                 2.0961,               0.009835,               0.009835,               0.009835
                      6,                 1.4986,                 1.6714,                 1.8841,                0.69949,                0.51176,                0.55744,                0.34516,                 1.4986,                 1.4259,                 2.0401,                0.00978,                0.00978,                0.00978
                      7,                 1.4471,                  1.551,                 1.8312,                0.71843,                0.57021,                0.60341,                0.37405,                 1.4843,                 1.3162,                 2.0399,               0.009725,               0.009725,               0.009725
                      8,                  1.414,                 1.4422,                 1.8061,                0.79199,                0.56467,                0.62886,                0.39952,                 1.4255,                 1.1795,                 1.9555,                0.00967,                0.00967,                0.00967
                      9,                 1.3925,                 1.3787,                  1.782,                0.78037,                0.58791,                0.64346,                0.41023,                 1.4112,                 1.1323,                 1.9456,               0.009615,               0.009615,               0.009615
                     10,                  1.354,                 1.3095,                 1.7476,                0.67977,                0.66086,                 0.6891,                0.43469,                 1.3885,                 1.0711,                 1.9366,                0.00956,                0.00956,                0.00956
