                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2783,                 5.5976,                 3.8449,                0.55175,                0.06437,                0.04992,                0.01285,                  2.374,                 3.9985,                 3.3976,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.0659,                 3.5985,                  2.747,                 0.4618,                0.24415,                0.25854,                0.11182,                 1.7197,                  2.452,                 2.6536,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.6048,                 2.5294,                 2.2805,                0.49837,                0.33683,                0.37313,                0.20478,                 1.5273,                 2.1797,                 2.4166,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.4467,                 2.0723,                 2.0867,                0.57407,                0.39756,                0.44988,                0.25949,                 1.3378,                 1.8058,                 2.2352,               0.009835,               0.009835,               0.009835
                      5,                 1.3299,                 1.8091,                  1.962,                0.61794,                0.51289,                0.55391,                0.32588,                 1.2689,                  1.514,                 2.1482,               0.009835,               0.009835,               0.009835
                      6,                  1.254,                 1.6294,                 1.8998,                0.76715,                0.50435,                0.57384,                0.34935,                 1.2092,                 1.3351,                 2.0501,                0.00978,                0.00978,                0.00978
                      7,                 1.2014,                  1.504,                 1.8491,                0.76946,                0.56997,                0.61781,                 0.3812,                 1.1764,                 1.2138,                 2.0511,               0.009725,               0.009725,               0.009725
                      8,                 1.1685,                 1.4121,                 1.8182,                 0.8045,                0.59162,                0.64581,                0.40207,                 1.1692,                 1.1494,                 1.9943,                0.00967,                0.00967,                0.00967
                      9,                 1.1486,                 1.3483,                 1.7971,                0.83378,                0.58969,                0.66171,                0.41721,                 1.1223,                 1.0713,                 1.9684,               0.009615,               0.009615,               0.009615
                     10,                 1.1064,                  1.279,                 1.7643,                0.80346,                0.62456,                0.67748,                0.43037,                 1.1081,                 1.0323,                 1.9534,                0.00956,                0.00956,                0.00956
                     11,                 1.1013,                 1.2352,                 1.7562,                0.84952,                0.61482,                0.69771,                 0.4498,                 1.0336,                0.96463,                 1.8953,               0.009505,               0.009505,               0.009505
                     12,                 1.0755,                 1.1949,                 1.7378,                0.82673,                 0.6392,                0.69756,                0.45244,                 1.0454,                 0.9483,                 1.9007,                0.00945,                0.00945,                0.00945
                     13,                 1.0584,                 1.1537,                 1.7267,                0.77103,                0.66501,                 0.7146,                0.46661,                 1.0289,                 0.8897,                 1.8575,               0.009395,               0.009395,               0.009395
                     14,                 1.0511,                 1.1194,                 1.7173,                0.85829,                0.66328,                0.72438,                0.47273,                 1.0252,                0.86246,                 1.8738,                0.00934,                0.00934,                0.00934
                     15,                 1.0325,                 1.0892,                 1.7021,                0.85584,                0.66973,                0.73399,                0.48028,                 1.0106,                0.84965,                 1.8412,               0.009285,               0.009285,               0.009285
                     16,                 1.0295,                  1.067,                 1.6898,                0.87358,                0.67427,                 0.7405,                0.48542,                0.98754,                0.82765,                 1.8273,                0.00923,                0.00923,                0.00923
                     17,                 1.0041,                 1.0385,                 1.6796,                0.88936,                0.69877,                0.76919,                0.51303,                0.96093,                0.80098,                 1.8042,               0.009175,               0.009175,               0.009175
                     18,                 1.0022,                 1.0076,                 1.6735,                0.84659,                 0.7011,                0.77103,                0.50812,                0.96511,                 0.7957,                 1.7995,                0.00912,                0.00912,                0.00912
                     19,                0.99709,                 1.0038,                 1.6648,                0.87463,                0.70826,                0.77149,                0.51932,                0.95473,                 0.7617,                 1.7773,               0.009065,               0.009065,               0.009065
                     20,                0.98034,                0.98494,                 1.6573,                0.88792,                0.70141,                0.83689,                0.55626,                0.94996,                0.75354,                 1.7796,                0.00901,                0.00901,                0.00901
