                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2788,                 5.5888,                 3.8439,                0.53147,                0.07608,                0.03222,                0.00808,                 2.4055,                   4.06,                 3.4092,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.0655,                 3.5572,                 2.7369,                0.49334,                0.25562,                0.28366,                0.12753,                 1.6696,                 2.4011,                 2.6231,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.6027,                 2.5023,                 2.2641,                0.48814,                0.35166,                0.34388,                 0.1855,                  1.512,                 2.1111,                 2.4054,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.4425,                 2.0809,                 2.0827,                0.45226,                0.45504,                0.43686,                0.26152,                  1.317,                 1.7502,                 2.2164,               0.009835,               0.009835,               0.009835
                      5,                 1.3306,                 1.8142,                 1.9673,                0.64781,                0.48687,                0.54352,                0.32397,                 1.2782,                 1.4533,                 2.1456,               0.009835,               0.009835,               0.009835
                      6,                 1.2538,                 1.6364,                 1.9007,                0.74753,                0.52646,                0.57931,                0.35652,                 1.1939,                 1.3464,                 2.0399,                0.00978,                0.00978,                0.00978
                      7,                 1.2023,                 1.5134,                  1.849,                0.77925,                0.56912,                 0.6156,                0.38358,                 1.1811,                 1.2354,                 2.0398,               0.009725,               0.009725,               0.009725
                      8,                 1.1664,                 1.4212,                 1.8192,                0.80609,                0.59593,                0.66488,                0.42116,                 1.1362,                 1.1083,                 1.9763,                0.00967,                0.00967,                0.00967
                      9,                 1.1522,                 1.3552,                 1.8023,                 0.7919,                0.57944,                 0.6314,                0.39755,                 1.1092,                 1.1182,                 1.9565,               0.009615,               0.009615,               0.009615
                     10,                 1.1114,                 1.2914,                 1.7726,                0.81257,                0.60613,                0.66756,                0.42775,                  1.084,                 1.0518,                 1.9317,                0.00956,                0.00956,                0.00956
                     11,                 1.1021,                 1.2476,                 1.7592,                0.80275,                0.62621,                0.67945,                0.43406,                 1.0355,                 1.0034,                 1.8835,               0.009505,               0.009505,               0.009505
                     12,                  1.074,                 1.2053,                 1.7401,                  0.866,                0.61256,                0.70234,                0.45752,                 1.0597,                0.95498,                 1.9071,                0.00945,                0.00945,                0.00945
                     13,                 1.0571,                 1.1596,                 1.7265,                0.80739,                0.65169,                 0.7239,                0.47518,                 1.0151,                0.89158,                 1.8764,               0.009395,               0.009395,               0.009395
                     14,                 1.0483,                  1.127,                 1.7151,                0.82973,                0.68416,                0.73523,                0.48155,                 1.0424,                0.87569,                 1.8665,                0.00934,                0.00934,                0.00934
                     15,                 1.0345,                 1.0913,                 1.7011,                0.84502,                0.66699,                0.72683,                0.47725,                 1.0222,                0.87943,                 1.8494,               0.009285,               0.009285,               0.009285
                     16,                 1.0266,                 1.0736,                 1.6911,                0.87743,                0.67697,                0.77888,                0.50085,                 1.0154,                0.83352,                 1.8484,                0.00923,                0.00923,                0.00923
                     17,                 1.0048,                 1.0452,                 1.6788,                0.88212,                0.69015,                0.75897,                0.50482,                0.98751,                0.81024,                 1.8189,               0.009175,               0.009175,               0.009175
                     18,                0.99926,                 1.0169,                 1.6688,                0.86349,                0.68615,                0.75815,                0.50173,                 1.0012,                0.80574,                 1.8204,                0.00912,                0.00912,                0.00912
                     19,                0.99973,                 1.0086,                 1.6657,                0.86088,                0.72144,                0.80769,                0.53694,                0.97179,                0.77408,                 1.8105,               0.009065,               0.009065,               0.009065
                     20,                0.98322,                0.99193,                 1.6574,                 0.8833,                0.70029,                 0.8202,                0.54387,                0.95066,                0.76265,                 1.7805,                0.00901,                0.00901,                0.00901
