                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3256,                 5.6255,                 3.8319,                0.56185,                0.01693,                0.01904,                0.00481,                 2.8275,                 4.5663,                 3.6688,              0.0033305,              0.0033305,              0.0033305
                      2,                  2.378,                 3.8091,                 2.7933,                0.39452,                  0.212,                0.20489,                0.08335,                 2.0423,                 2.7145,                 2.7129,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.9106,                 2.7094,                 2.3119,                0.55003,                 0.3669,                0.39261,                 0.2123,                 1.8307,                 2.1416,                 2.4427,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.7329,                 2.2159,                 2.1074,                0.50384,                0.43066,                0.44567,                0.25433,                 1.6734,                 2.0103,                 2.2243,               0.009835,               0.009835,               0.009835
                      5,                 1.6284,                 1.9592,                 1.9886,                0.64178,                0.37887,                0.40869,                0.23893,                 1.7357,                 2.0602,                 2.2373,               0.009835,               0.009835,               0.009835
                      6,                 1.5581,                 1.7862,                 1.9272,                0.74583,                0.47791,                0.54181,                  0.327,                 1.5439,                 1.4662,                 2.0715,                0.00978,                0.00978,                0.00978
                      7,                 1.5068,                 1.6533,                 1.8785,                0.68515,                0.52058,                0.56105,                0.34527,                 1.5327,                 1.4545,                 2.0832,               0.009725,               0.009725,               0.009725
                      8,                 1.4737,                 1.5531,                 1.8526,                0.75066,                  0.538,                0.59435,                0.37037,                 1.4962,                  1.376,                 2.0274,                0.00967,                0.00967,                0.00967
                      9,                 1.4549,                 1.4714,                 1.8329,                0.72487,                0.55544,                0.61089,                0.36685,                 1.5096,                  1.377,                 2.0502,               0.009615,               0.009615,               0.009615
                     10,                 1.4159,                 1.4139,                 1.7997,                0.74904,                0.56402,                0.63098,                0.39811,                  1.453,                  1.202,                 2.0162,                0.00956,                0.00956,                0.00956
                     11,                  1.406,                 1.3626,                  1.797,                0.82095,                0.49626,                0.60133,                0.37742,                 1.4947,                 1.3348,                 2.0635,               0.009505,               0.009505,               0.009505
                     12,                 1.3823,                 1.3221,                 1.7754,                0.71423,                0.65539,                 0.6703,                0.42849,                 1.4401,                 1.1813,                 1.9746,                0.00945,                0.00945,                0.00945
                     13,                 1.3633,                 1.2791,                 1.7637,                0.79457,                0.56251,                0.62822,                0.40248,                 1.4566,                 1.2287,                 1.9945,               0.009395,               0.009395,               0.009395
                     14,                 1.3492,                  1.235,                 1.7456,                0.76081,                0.70182,                0.72811,                0.46274,                 1.3549,                0.96308,                 1.9058,                0.00934,                0.00934,                0.00934
                     15,                 1.3406,                 1.2094,                 1.7349,                0.80933,                  0.611,                0.68889,                 0.4418,                 1.3921,                 1.0595,                 1.9425,               0.009285,               0.009285,               0.009285
                     16,                 1.3334,                 1.1851,                 1.7296,                0.73126,                0.71397,                0.75095,                0.47435,                 1.3508,                0.95351,                 1.8956,                0.00923,                0.00923,                0.00923
                     17,                 1.3109,                 1.1562,                  1.715,                0.84392,                0.65761,                0.72471,                0.47739,                 1.3306,                0.91656,                 1.8737,               0.009175,               0.009175,               0.009175
                     18,                 1.3076,                  1.123,                 1.7069,                0.88022,                0.66849,                0.78175,                0.50195,                 1.3256,                0.89051,                  1.862,                0.00912,                0.00912,                0.00912
                     19,                 1.2989,                 1.1158,                 1.7005,                0.82275,                0.75074,                0.78177,                0.51797,                 1.3122,                 0.8497,                 1.8506,               0.009065,               0.009065,               0.009065
                     20,                 1.2889,                 1.0934,                 1.6927,                0.79008,                0.77358,                0.79114,                0.52329,                 1.2913,                0.84479,                 1.8203,                0.00901,                0.00901,                0.00901
                     21,                 1.2867,                 1.0699,                 1.6903,                0.89267,                0.69346,                 0.7665,                0.51689,                 1.2869,                0.83329,                 1.8217,               0.008955,               0.008955,               0.008955
                     22,                 1.2746,                 1.0476,                 1.6783,                0.88851,                0.70915,                0.79686,                 0.5362,                 1.2978,                0.78875,                 1.8229,                 0.0089,                 0.0089,                 0.0089
                     23,                 1.2678,                   1.04,                 1.6729,                0.89824,                0.71172,                0.82754,                0.56201,                 1.2814,                  0.772,                 1.8097,               0.008845,               0.008845,               0.008845
                     24,                 1.2625,                 1.0231,                 1.6691,                 0.8076,                0.76917,                0.80787,                0.53987,                 1.2647,                0.76288,                 1.7896,                0.00879,                0.00879,                0.00879
                     25,                 1.2474,                 1.0042,                 1.6539,                0.74142,                 0.8197,                0.82099,                0.55907,                 1.2674,                0.76128,                 1.7971,               0.008735,               0.008735,               0.008735
                     26,                 1.2485,                0.98645,                 1.6519,                0.81461,                0.77501,                0.79769,                0.54137,                 1.2716,                0.74735,                  1.809,                0.00868,                0.00868,                0.00868
                     27,                 1.2352,                0.98532,                 1.6434,                0.90946,                0.71469,                0.81595,                0.54395,                 1.2637,                0.74488,                 1.7912,               0.008625,               0.008625,               0.008625
                     28,                 1.2339,                0.97084,                 1.6421,                0.79819,                0.79565,                0.83044,                0.56439,                 1.2643,                0.73746,                 1.7917,                0.00857,                0.00857,                0.00857
                     29,                 1.2365,                0.95875,                 1.6411,                0.86338,                 0.8142,                0.84825,                0.57394,                 1.2495,                0.72036,                 1.7764,               0.008515,               0.008515,               0.008515
                     30,                  1.221,                  0.956,                 1.6279,                0.90913,                0.73838,                0.82776,                0.56209,                 1.2634,                0.71847,                 1.7884,                0.00846,                0.00846,                0.00846
                     31,                  1.221,                0.94093,                 1.6271,                 0.8916,                0.81258,                0.85004,                0.57984,                 1.2525,                0.70129,                 1.7779,               0.008405,               0.008405,               0.008405
