                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.263,                 5.5701,                 3.8254,                0.55915,                0.02814,                0.02362,                0.00637,                  2.643,                 4.2912,                 3.5922,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.1574,                 3.7201,                 2.7762,                 0.4056,                0.24318,                0.22215,                0.08718,                 1.9135,                 2.7017,                 2.7955,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.6686,                 2.6451,                 2.3117,                0.56549,                0.28577,                0.29107,                0.15205,                 1.6535,                 2.7515,                 2.5156,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.4944,                 2.1609,                 2.1213,                0.49316,                0.41708,                0.42372,                 0.2248,                 1.5711,                 1.9408,                 2.4178,               0.009835,               0.009835,               0.009835
                      5,                 1.3866,                 1.9003,                 2.0111,                0.60951,                0.40993,                0.45706,                0.26147,                 1.5023,                  1.924,                 2.3171,               0.009835,               0.009835,               0.009835
                      6,                 1.3113,                 1.7281,                 1.9508,                0.64891,                0.50383,                0.52044,                0.30524,                 1.3629,                 1.5772,                 2.1964,                0.00978,                0.00978,                0.00978
                      7,                 1.2552,                 1.6043,                 1.8967,                0.72714,                0.51747,                0.56784,                0.34585,                 1.2592,                 1.3858,                 2.1348,               0.009725,               0.009725,               0.009725
                      8,                 1.2196,                 1.5045,                 1.8683,                0.77672,                0.56856,                0.63058,                0.38723,                 1.1765,                 1.2242,                 2.0477,                0.00967,                0.00967,                0.00967
                      9,                 1.2018,                 1.4333,                 1.8466,                0.73843,                0.49147,                0.54849,                0.34127,                   1.25,                 1.5787,                 2.1104,               0.009615,               0.009615,               0.009615
                     10,                 1.1646,                 1.3665,                 1.8215,                0.75748,                0.56737,                0.64075,                0.40588,                 1.1901,                 1.1987,                 2.0619,                0.00956,                0.00956,                0.00956
                     11,                 1.1539,                 1.3238,                 1.8076,                0.74685,                0.55981,                0.65219,                0.40155,                 1.2027,                 1.2499,                 2.0577,               0.009505,               0.009505,               0.009505
                     12,                 1.1279,                 1.2757,                 1.7872,                0.79169,                0.65675,                0.73299,                 0.4675,                 1.0871,                 1.0217,                 1.9453,                0.00945,                0.00945,                0.00945
                     13,                 1.1126,                 1.2399,                  1.776,                0.73087,                0.71577,                0.73322,                0.46507,                 1.0714,                 1.0011,                 1.9277,               0.009395,               0.009395,               0.009395
                     14,                  1.104,                 1.1982,                 1.7625,                0.73152,                0.72166,                 0.7236,                0.46318,                 1.0659,                 0.9295,                 1.9138,                0.00934,                0.00934,                0.00934
                     15,                 1.0791,                 1.1739,                  1.743,                0.82131,                0.66034,                0.72814,                0.46853,                 1.0642,                0.93713,                 1.9078,               0.009285,               0.009285,               0.009285
                     16,                 1.0853,                 1.1515,                 1.7454,                0.73098,                0.70832,                  0.737,                0.48123,                 1.0598,                0.93052,                 1.9123,                0.00923,                0.00923,                0.00923
