                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4233,                 5.7889,                 3.9896,                0.80767,                0.02911,                0.01488,                0.00386,                  2.768,                 4.5557,                   3.66,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.3545,                 3.8685,                 2.8003,                0.33321,                0.23137,                0.20402,                 0.1002,                 2.0447,                 2.8377,                 2.6994,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.8632,                 2.6904,                 2.2763,                0.42137,                0.31044,                0.31153,                 0.1722,                 1.8293,                 2.3081,                 2.4549,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.7282,                 2.2515,                 2.1233,                0.56515,                 0.4205,                 0.4458,                0.26117,                 1.6474,                 1.7989,                 2.2427,               0.009835,               0.009835,               0.009835
                      5,                 1.6184,                 2.0012,                 1.9972,                0.58292,                0.44228,                0.48022,                0.28979,                 1.5978,                 1.7047,                 2.1732,               0.009835,               0.009835,               0.009835
                      6,                 1.5423,                 1.8197,                 1.9325,                0.75853,                0.46517,                0.52252,                0.30429,                 1.5758,                 1.5507,                 2.1612,                0.00978,                0.00978,                0.00978
                      7,                 1.4909,                 1.6853,                 1.8839,                0.81115,                0.47548,                0.56088,                0.34689,                 1.5052,                 1.4516,                 2.0705,               0.009725,               0.009725,               0.009725
                      8,                 1.4575,                 1.5752,                 1.8565,                0.72454,                0.54285,                0.59747,                0.37208,                 1.4754,                 1.3083,                 2.0341,                0.00967,                0.00967,                0.00967
                      9,                 1.4314,                 1.4934,                 1.8331,                0.75603,                0.58204,                0.62346,                0.38843,                 1.4336,                 1.2294,                 1.9983,               0.009615,               0.009615,               0.009615
                     10,                 1.3948,                 1.4301,                 1.7999,                0.81436,                0.56777,                0.63376,                0.40484,                 1.4177,                  1.138,                 1.9776,                0.00956,                0.00956,                0.00956
                     11,                 1.3852,                 1.3733,                 1.7916,                0.80605,                0.58327,                0.64573,                0.40637,                 1.4351,                 1.1497,                 2.0014,               0.009505,               0.009505,               0.009505
                     12,                 1.3591,                 1.3242,                 1.7733,                0.80036,                0.61964,                0.67293,                 0.4348,                 1.3833,                 1.0363,                 1.9466,                0.00945,                0.00945,                0.00945
                     13,                 1.3449,                 1.2825,                 1.7617,                0.83977,                0.63552,                0.69011,                0.44826,                 1.3634,                 1.0255,                 1.9179,               0.009395,               0.009395,               0.009395
                     14,                 1.3334,                 1.2411,                  1.747,                0.83853,                0.62715,                0.69579,                0.45528,                 1.3543,                0.96908,                 1.9058,                0.00934,                0.00934,                0.00934
                     15,                 1.3169,                 1.2185,                 1.7319,                0.82773,                 0.6574,                0.70823,                0.46159,                 1.3256,                0.94158,                  1.879,               0.009285,               0.009285,               0.009285
                     16,                 1.3125,                 1.1913,                 1.7269,                0.85078,                0.65915,                0.73246,                0.47997,                 1.3353,                0.90401,                 1.8921,                0.00923,                0.00923,                0.00923
                     17,                 1.2927,                 1.1542,                 1.7162,                0.84068,                0.66405,                0.72224,                0.47839,                 1.3242,                0.91361,                  1.878,               0.009175,               0.009175,               0.009175
                     18,                 1.2869,                 1.1278,                 1.7095,                0.86874,                0.65963,                0.74347,                0.49533,                 1.3179,                0.87365,                 1.8723,                0.00912,                0.00912,                0.00912
                     19,                 1.2778,                 1.1145,                 1.7002,                0.86536,                0.69511,                0.74511,                0.49455,                 1.3034,                0.82562,                 1.8603,               0.009065,               0.009065,               0.009065
                     20,                 1.2683,                 1.0928,                 1.6951,                0.84893,                 0.6843,                0.75021,                0.49964,                  1.302,                0.83643,                 1.8613,                0.00901,                0.00901,                0.00901
                     21,                 1.2698,                 1.0615,                 1.6945,                0.86495,                0.69641,                0.75393,                0.49835,                 1.3094,                0.81696,                 1.8558,               0.008955,               0.008955,               0.008955
                     22,                  1.254,                 1.0444,                 1.6796,                0.86341,                0.70867,                0.76665,                0.51036,                 1.2817,                0.80894,                 1.8342,                 0.0089,                 0.0089,                 0.0089
                     23,                 1.2523,                 1.0376,                 1.6801,                0.89579,                0.67855,                0.77045,                0.52076,                 1.2873,                0.79576,                 1.8367,               0.008845,               0.008845,               0.008845
                     24,                 1.2496,                 1.0222,                 1.6811,                0.87747,                0.70479,                0.80054,                0.53986,                 1.2804,                 0.7806,                 1.8336,                0.00879,                0.00879,                0.00879
                     25,                  1.244,                 1.0068,                 1.6724,                0.82324,                0.77327,                0.80783,                0.55605,                 1.2698,                0.74826,                 1.8258,               0.008735,               0.008735,               0.008735
                     26,                   1.23,                0.98825,                 1.6552,                0.90336,                0.72526,                0.81385,                0.55045,                 1.2676,                0.74276,                 1.8231,                0.00868,                0.00868,                0.00868
                     27,                 1.2251,                0.97693,                 1.6562,                0.86365,                0.76274,                0.82666,                0.57007,                 1.2516,                0.74076,                 1.8008,               0.008625,               0.008625,               0.008625
                     28,                 1.2177,                0.96587,                 1.6488,                0.88568,                0.78786,                0.83676,                 0.5764,                 1.2534,                0.71675,                 1.7994,                0.00857,                0.00857,                0.00857
                     29,                 1.2224,                0.94876,                 1.6488,                0.91477,                0.78205,                0.84671,                0.59115,                 1.2376,                0.70895,                  1.787,               0.008515,               0.008515,               0.008515
                     30,                 1.2061,                0.95194,                 1.6347,                0.90111,                0.76761,                0.84882,                0.58182,                 1.2476,                 0.7143,                 1.7892,                0.00846,                0.00846,                0.00846
                     31,                 1.2083,                0.93453,                 1.6344,                0.90928,                0.78034,                0.85042,                0.59067,                  1.238,                0.70101,                 1.7798,               0.008405,               0.008405,               0.008405
                     32,                 1.2008,                0.91973,                 1.6267,                0.90978,                0.78625,                0.84661,                0.58394,                 1.2414,                0.70075,                  1.784,                0.00835,                0.00835,                0.00835
                     33,                 1.1997,                0.91511,                 1.6333,                 0.8811,                0.80466,                0.85127,                0.58902,                 1.2388,                 0.6887,                  1.784,               0.008295,               0.008295,               0.008295
                     34,                  1.195,                0.90067,                  1.626,                0.89596,                0.80111,                 0.8569,                0.58682,                 1.2365,                0.68107,                 1.7803,                0.00824,                0.00824,                0.00824
                     35,                 1.2037,                0.90153,                 1.6297,                0.88895,                0.80308,                0.86181,                 0.5889,                 1.2344,                0.67585,                 1.7794,               0.008185,               0.008185,               0.008185
                     36,                 1.1921,                0.89152,                 1.6218,                0.90937,                0.79638,                0.86154,                0.59531,                 1.2243,                 0.6724,                 1.7701,                0.00813,                0.00813,                0.00813
                     37,                 1.1766,                0.87914,                 1.6091,                0.90425,                0.79476,                0.86029,                0.59716,                 1.2255,                 0.6692,                 1.7727,               0.008075,               0.008075,               0.008075
                     38,                 1.1756,                0.86686,                 1.6094,                0.90774,                0.80554,                0.86607,                0.59938,                 1.2196,                0.65823,                 1.7666,                0.00802,                0.00802,                0.00802
                     39,                 1.1749,                0.86697,                 1.6091,                0.89687,                0.81268,                0.86638,                0.60203,                 1.2196,                0.65229,                 1.7639,               0.007965,               0.007965,               0.007965
                     40,                 1.1737,                0.85889,                 1.6079,                0.90663,                 0.8029,                0.89254,                0.60179,                 1.2183,                0.64264,                 1.7652,                0.00791,                0.00791,                0.00791
                     41,                 1.1737,                0.85618,                 1.6033,                0.91254,                0.81161,                0.89129,                0.61034,                 1.2155,                0.63857,                 1.7602,               0.007855,               0.007855,               0.007855
                     42,                 1.1686,                0.84727,                 1.6024,                0.91198,                0.81245,                0.88251,                0.61413,                  1.215,                0.63321,                 1.7577,                 0.0078,                 0.0078,                 0.0078
                     43,                 1.1661,                0.83991,                 1.6013,                0.91555,                0.81986,                 0.8699,                0.61153,                 1.2149,                 0.6292,                 1.7539,               0.007745,               0.007745,               0.007745
                     44,                 1.1589,                0.82888,                  1.588,                0.91027,                 0.8182,                0.87324,                 0.6162,                 1.2155,                0.62438,                 1.7533,                0.00769,                0.00769,                0.00769
                     45,                 1.1623,                0.83164,                 1.5945,                0.91709,                0.81594,                 0.8811,                0.61381,                 1.2141,                0.61867,                 1.7528,               0.007635,               0.007635,               0.007635
                     46,                 1.1601,                0.82351,                  1.587,                0.91834,                0.81859,                0.90007,                0.61589,                 1.2149,                0.61566,                 1.7517,                0.00758,                0.00758,                0.00758
                     47,                 1.1569,                0.82116,                 1.5907,                0.92485,                0.82044,                0.90085,                   0.62,                  1.213,                0.61056,                 1.7493,               0.007525,               0.007525,               0.007525
                     48,                 1.1531,                0.81708,                 1.5853,                0.92034,                0.82339,                0.90159,                0.62129,                 1.2124,                0.60693,                 1.7476,                0.00747,                0.00747,                0.00747
                     49,                  1.151,                0.79977,                 1.5808,                0.92924,                0.81882,                0.90132,                 0.6137,                 1.2105,                0.60549,                 1.7444,               0.007415,               0.007415,               0.007415
                     50,                 1.1445,                0.79872,                  1.579,                0.93294,                0.81594,                0.90306,                0.61347,                 1.2095,                0.60332,                 1.7432,                0.00736,                0.00736,                0.00736
                     51,                 1.1353,                 0.7933,                 1.5686,                0.92431,                0.82031,                0.90301,                0.61386,                 1.2088,                0.60243,                 1.7421,               0.007305,               0.007305,               0.007305
                     52,                 1.1342,                0.78797,                 1.5684,                0.93062,                0.81659,                0.90214,                0.61391,                 1.2071,                0.60269,                 1.7401,                0.00725,                0.00725,                0.00725
                     53,                 1.1296,                0.79366,                 1.5675,                0.92731,                 0.8159,                 0.9017,                0.61387,                 1.2067,                0.60303,                 1.7401,               0.007195,               0.007195,               0.007195
                     54,                 1.1262,                0.77757,                  1.562,                0.92797,                0.81619,                 0.9019,                0.61162,                 1.2059,                0.60279,                 1.7388,                0.00714,                0.00714,                0.00714
                     55,                 1.1326,                0.78579,                 1.5635,                0.92886,                0.81595,                0.90193,                0.61279,                 1.2058,                0.60127,                 1.7385,               0.007085,               0.007085,               0.007085
                     56,                 1.1303,                0.77305,                   1.57,                0.92713,                0.81655,                0.90164,                0.60868,                 1.2052,                0.59935,                 1.7385,                0.00703,                0.00703,                0.00703
                     57,                 1.1243,                0.76307,                 1.5571,                  0.926,                0.81676,                0.90193,                0.60988,                 1.2056,                 0.5972,                 1.7396,               0.006975,               0.006975,               0.006975
                     58,                 1.1298,                0.76909,                 1.5604,                 0.9293,                0.81682,                0.90199,                0.61052,                 1.2051,                 0.5957,                 1.7395,                0.00692,                0.00692,                0.00692
                     59,                 1.1161,                0.75414,                 1.5543,                0.92847,                0.81644,                0.90176,                0.60995,                 1.2048,                0.59531,                 1.7388,               0.006865,               0.006865,               0.006865
                     60,                 1.1113,                0.74853,                 1.5512,                0.92286,                 0.8201,                0.90202,                0.61975,                 1.2035,                 0.5947,                 1.7379,                0.00681,                0.00681,                0.00681
                     61,                 1.1078,                0.74919,                 1.5442,                0.92389,                0.82065,                0.90219,                0.61992,                 1.2032,                0.59394,                 1.7373,               0.006755,               0.006755,               0.006755
                     62,                 1.1072,                0.74079,                 1.5449,                0.91736,                 0.8218,                0.90229,                0.61818,                 1.2021,                0.59263,                 1.7365,                 0.0067,                 0.0067,                 0.0067
                     63,                  1.105,                0.74124,                 1.5499,                 0.9198,                0.81988,                0.90208,                0.61791,                  1.202,                0.59309,                 1.7363,               0.006645,               0.006645,               0.006645
                     64,                 1.1028,                 0.7322,                 1.5434,                  0.914,                0.82256,                0.90206,                0.61595,                 1.2017,                0.59393,                 1.7356,                0.00659,                0.00659,                0.00659
                     65,                 1.1018,                0.73209,                 1.5373,                0.90982,                0.82251,                0.90162,                0.61642,                 1.2008,                0.59229,                 1.7347,               0.006535,               0.006535,               0.006535
