                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.347,                 5.8313,                 3.9504,                0.80324,                0.02549,                0.00664,                0.00163,                 2.4755,                 4.7603,                 3.5098,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.2379,                 4.0206,                 2.8342,                0.30366,                0.18731,                0.09867,                0.04036,                 2.0853,                  3.562,                 2.9163,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.7312,                 2.8877,                 2.3465,                 0.4946,                0.28955,                0.28457,                0.15075,                 1.6317,                 2.2971,                 2.5008,              0.0098872,              0.0098872,              0.0098872
                      4,                  1.576,                 2.4355,                 2.1744,                 0.5841,                0.30596,                0.38208,                0.21528,                  1.465,                 1.9918,                 2.3092,               0.009835,               0.009835,               0.009835
                      5,                 1.4495,                 2.1663,                   2.05,                0.49373,                0.41883,                0.42684,                 0.2452,                 1.4175,                 1.7746,                 2.2504,               0.009835,               0.009835,               0.009835
                      6,                 1.3668,                  1.969,                 1.9832,                0.62539,                0.45782,                0.47378,                0.27427,                 1.2921,                 1.6868,                 2.1561,                0.00978,                0.00978,                0.00978
                      7,                 1.3117,                 1.8306,                 1.9286,                0.65086,                0.47444,                0.49846,                0.29394,                 1.3591,                 1.6264,                 2.1876,               0.009725,               0.009725,               0.009725
                      8,                 1.2829,                 1.7355,                 1.9001,                0.70314,                0.53321,                0.56238,                0.33497,                 1.2126,                  1.427,                 2.0551,                0.00967,                0.00967,                0.00967
                      9,                 1.2555,                 1.6587,                 1.8718,                 0.6914,                0.54769,                0.56653,                 0.3356,                 1.2529,                 1.4465,                 2.0482,               0.009615,               0.009615,               0.009615
                     10,                 1.2132,                 1.5901,                 1.8411,                0.63949,                 0.5382,                0.57549,                 0.3528,                 1.2007,                 1.3575,                 2.0023,                0.00956,                0.00956,                0.00956
                     11,                 1.2077,                  1.529,                 1.8269,                0.70835,                0.54654,                0.58742,                0.35958,                 1.1973,                 1.2917,                 2.0103,               0.009505,               0.009505,               0.009505
                     12,                 1.1818,                 1.4821,                 1.8091,                0.77824,                0.55597,                0.63217,                0.39603,                 1.1427,                 1.2015,                 1.9723,                0.00945,                0.00945,                0.00945
                     13,                 1.1657,                 1.4268,                 1.7962,                0.81745,                0.58374,                0.65159,                0.40613,                 1.1121,                 1.1594,                 1.9274,               0.009395,               0.009395,               0.009395
                     14,                 1.1535,                 1.3928,                 1.7806,                 0.7966,                0.60564,                0.69905,                0.42897,                 1.1158,                 1.0928,                 1.9163,                0.00934,                0.00934,                0.00934
                     15,                 1.1394,                 1.3654,                 1.7651,                0.82331,                0.60007,                0.70377,                0.43036,                   1.11,                 1.1044,                 1.9158,               0.009285,               0.009285,               0.009285
                     16,                 1.1384,                 1.3341,                 1.7594,                0.77313,                0.64039,                0.67507,                0.42214,                 1.0881,                 1.0821,                 1.9143,                0.00923,                0.00923,                0.00923
                     17,                  1.111,                  1.302,                  1.748,                0.79757,                0.64109,                0.68154,                0.43304,                 1.0782,                  1.029,                 1.8885,               0.009175,               0.009175,               0.009175
                     18,                 1.1077,                 1.2709,                 1.7372,                0.81124,                0.64491,                0.70011,                0.45163,                 1.0642,                0.99567,                 1.8622,                0.00912,                0.00912,                0.00912
                     19,                 1.0985,                 1.2572,                 1.7284,                0.86649,                0.63395,                0.70311,                0.45377,                 1.0496,                0.97747,                 1.8575,               0.009065,               0.009065,               0.009065
                     20,                 1.0904,                 1.2334,                 1.7224,                0.84985,                0.65149,                0.71968,                 0.4671,                 1.0433,                0.95255,                 1.8273,                0.00901,                0.00901,                0.00901
                     21,                 1.0862,                 1.1923,                  1.713,                0.86256,                0.64648,                0.71361,                0.46062,                 1.0462,                0.94916,                   1.83,               0.008955,               0.008955,               0.008955
                     22,                 1.0753,                 1.1858,                 1.7022,                0.86333,                0.67744,                0.74755,                  0.482,                 1.0278,                0.92184,                 1.8192,                 0.0089,                 0.0089,                 0.0089
                     23,                  1.068,                 1.1721,                    1.7,                0.86934,                 0.6665,                0.74332,                0.48697,                 1.0261,                 0.9043,                 1.8003,               0.008845,               0.008845,               0.008845
                     24,                 1.0651,                 1.1562,                 1.6935,                0.89417,                0.65606,                0.75256,                0.49468,                  1.014,                0.88403,                 1.7798,                0.00879,                0.00879,                0.00879
                     25,                 1.0529,                 1.1331,                 1.6814,                0.88574,                0.67598,                  0.779,                0.51088,                 1.0259,                 0.8671,                 1.7873,               0.008735,               0.008735,               0.008735
                     26,                 1.0492,                 1.1168,                 1.6739,                0.86709,                0.69693,                0.77917,                0.50471,                 1.0031,                0.84366,                 1.7696,                0.00868,                0.00868,                0.00868
                     27,                  1.039,                 1.1114,                 1.6658,                0.91592,                0.67106,                0.76211,                0.50268,                 1.0031,                 0.8429,                 1.7665,               0.008625,               0.008625,               0.008625
                     28,                 1.0342,                 1.0903,                 1.6576,                0.89131,                0.69359,                0.76487,                0.50274,                0.98799,                  0.838,                 1.7433,                0.00857,                0.00857,                0.00857
                     29,                 1.0381,                 1.0873,                 1.6588,                0.81536,                0.76932,                0.80931,                 0.5185,                0.98632,                0.82132,                 1.7366,               0.008515,               0.008515,               0.008515
