                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3375,                 5.6144,                 3.8628,                0.83524,                 0.0734,                0.03868,                0.01073,                 2.5776,                 4.2238,                 3.3609,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.2647,                 3.5913,                 2.6893,                0.51548,                0.21771,                0.19871,                0.08356,                 2.0458,                 2.7412,                 2.6563,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.8413,                 2.5632,                  2.229,                0.44517,                0.33083,                0.28825,                0.15705,                 1.9146,                 2.3534,                 2.4915,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.6837,                 2.1223,                 2.0505,                0.63225,                0.45727,                0.47502,                 0.2836,                 1.5813,                 1.7942,                 2.1181,               0.009835,               0.009835,               0.009835
                      5,                 1.5688,                 1.8566,                 1.9336,                0.64261,                0.44654,                0.47455,                0.28839,                 1.6144,                 1.6878,                 2.1633,               0.009835,               0.009835,               0.009835
                      6,                 1.4994,                 1.6731,                 1.8751,                0.74533,                0.50672,                0.56912,                0.35621,                 1.4649,                 1.3597,                 2.0021,                0.00978,                0.00978,                0.00978
                      7,                 1.4494,                 1.5486,                 1.8253,                0.75265,                0.54921,                0.60706,                0.37239,                 1.4565,                 1.2848,                  1.998,               0.009725,               0.009725,               0.009725
                      8,                 1.4129,                 1.4451,                  1.794,                0.76168,                 0.5762,                0.63436,                0.40168,                 1.4132,                 1.1799,                 1.9298,                0.00967,                0.00967,                0.00967
                      9,                 1.3911,                  1.377,                 1.7722,                0.77707,                0.58447,                0.65067,                 0.4116,                 1.4056,                 1.1288,                 1.9136,               0.009615,               0.009615,               0.009615
                     10,                 1.3584,                 1.3054,                 1.7421,                0.80148,                0.61903,                 0.6829,                0.43773,                 1.3826,                  1.043,                 1.9179,                0.00956,                0.00956,                0.00956
                     11,                  1.345,                 1.2634,                 1.7274,                0.82272,                0.61627,                0.68741,                0.44768,                 1.3551,                  1.012,                 1.8828,               0.009505,               0.009505,               0.009505
                     12,                 1.3211,                 1.2174,                 1.7113,                 0.7259,                0.72623,                0.73611,                0.48279,                 1.3475,                0.96271,                 1.8635,                0.00945,                0.00945,                0.00945
                     13,                 1.3062,                 1.1784,                 1.6996,                0.72298,                 0.7437,                0.76682,                 0.4924,                 1.3122,                0.93579,                 1.8268,               0.009395,               0.009395,               0.009395
                     14,                 1.2941,                 1.1415,                 1.6833,                0.83945,                0.65175,                0.73353,                0.47884,                 1.3191,                0.90991,                 1.8259,                0.00934,                0.00934,                0.00934
                     15,                 1.2836,                 1.1165,                   1.67,                 0.8748,                0.64963,                0.75155,                0.49185,                 1.2962,                0.89746,                 1.7977,               0.009285,               0.009285,               0.009285
                     16,                 1.2767,                 1.0946,                 1.6616,                0.79415,                0.71915,                0.74859,                0.49152,                 1.2943,                0.88066,                  1.799,                0.00923,                0.00923,                0.00923
                     17,                 1.2514,                  1.064,                 1.6509,                0.88967,                0.67256,                0.74315,                 0.4945,                 1.2971,                0.84125,                 1.7993,               0.009175,               0.009175,               0.009175
                     18,                 1.2462,                 1.0369,                 1.6418,                0.87595,                0.69583,                0.76609,                0.51246,                 1.2778,                0.82046,                 1.7695,                0.00912,                0.00912,                0.00912
