                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.902,                 6.1166,                 3.9476,                0.68342,                0.06212,                0.03525,                0.00975,                  2.559,                 4.9083,                 3.6494,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.1962,                 4.3081,                   2.87,                0.39923,                0.21789,                0.16165,                0.05841,                 2.0328,                 3.0467,                   2.81,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.8454,                 3.0674,                 2.3907,                0.49308,                0.33541,                0.28639,                 0.1518,                 1.7495,                 2.3915,                 2.4091,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.6877,                 2.4677,                 2.1718,                0.60812,                0.37412,                0.41462,                0.24786,                 1.5564,                 2.0261,                 2.1183,               0.009835,               0.009835,               0.009835
                      5,                 1.5702,                 2.1421,                 2.0282,                0.56599,                0.44533,                0.48915,                0.30218,                 1.5488,                 1.7291,                 2.0925,               0.009835,               0.009835,               0.009835
                      6,                 1.4937,                 1.9233,                 1.9528,                0.64274,                0.47518,                0.52689,                0.33427,                 1.4568,                 1.5117,                 1.9809,                0.00978,                0.00978,                0.00978
                      7,                 1.4441,                 1.7814,                 1.8963,                0.75056,                0.53417,                0.58003,                0.36533,                 1.4555,                 1.4094,                 1.9651,               0.009725,               0.009725,               0.009725
                      8,                 1.4112,                 1.6622,                 1.8588,                0.65819,                0.58233,                0.60569,                0.38393,                 1.4294,                 1.2841,                  1.904,                0.00967,                0.00967,                0.00967
                      9,                  1.388,                 1.5797,                 1.8305,                0.78087,                0.56497,                0.61996,                0.39247,                 1.4058,                 1.2261,                 1.9024,               0.009615,               0.009615,               0.009615
                     10,                 1.3511,                 1.5009,                  1.786,                0.75918,                0.60401,                0.65211,                0.41947,                 1.3867,                  1.167,                 1.8755,                0.00956,                0.00956,                0.00956
                     11,                 1.3398,                 1.4426,                 1.7691,                 0.7824,                0.63108,                0.67032,                0.43443,                 1.3683,                 1.1013,                 1.8465,               0.009505,               0.009505,               0.009505
                     12,                   1.32,                 1.3843,                 1.7497,                 0.7095,                 0.6161,                 0.6572,                0.43514,                 1.3641,                 1.1043,                 1.8367,                0.00945,                0.00945,                0.00945
                     13,                 1.3015,                 1.3382,                 1.7324,                0.83235,                  0.653,                0.70965,                0.47148,                 1.3068,                0.97466,                 1.7753,               0.009395,               0.009395,               0.009395
                     14,                 1.2905,                 1.2945,                 1.7146,                0.82615,                0.66499,                0.71749,                0.47478,                 1.3095,                0.93077,                 1.7794,                0.00934,                0.00934,                0.00934
                     15,                 1.2759,                  1.259,                 1.6941,                0.68496,                0.74137,                0.73158,                0.47115,                 1.3126,                0.92879,                 1.7503,               0.009285,               0.009285,               0.009285
                     16,                 1.2692,                 1.2281,                 1.6823,                0.84092,                0.68569,                 0.7696,                0.50307,                 1.2731,                0.86787,                 1.7267,                0.00923,                0.00923,                0.00923
                     17,                 1.2479,                 1.1875,                 1.6665,                 0.8751,                0.68276,                0.74061,                0.49792,                 1.2761,                0.85918,                 1.7222,               0.009175,               0.009175,               0.009175
                     18,                 1.2414,                 1.1555,                 1.6544,                0.84876,                0.73067,                0.78782,                0.52003,                 1.2657,                0.83339,                 1.6926,                0.00912,                0.00912,                0.00912
                     19,                 1.2337,                 1.1416,                 1.6464,                 0.8963,                0.68815,                0.75626,                 0.5151,                  1.244,                0.80597,                 1.6668,               0.009065,               0.009065,               0.009065
                     20,                 1.2325,                 1.1226,                 1.6359,                0.89243,                0.68899,                0.77167,                0.52238,                 1.2476,                0.79258,                 1.6662,                0.00901,                0.00901,                0.00901
                     21,                 1.2226,                 1.0854,                 1.6254,                0.87609,                0.70366,                0.77632,                0.53144,                  1.232,                0.77497,                 1.6567,               0.008955,               0.008955,               0.008955
                     22,                 1.2154,                 1.0772,                 1.6131,                0.89999,                0.68948,                0.80372,                0.53852,                 1.2346,                0.76671,                 1.6366,                 0.0089,                 0.0089,                 0.0089
                     23,                   1.21,                  1.061,                 1.6034,                0.90448,                0.71955,                0.83943,                0.56074,                 1.2183,                0.74664,                 1.6193,               0.008845,               0.008845,               0.008845
                     24,                 1.2033,                 1.0476,                 1.5957,                0.80879,                0.72997,                0.78505,                0.53792,                  1.228,                0.74565,                  1.618,                0.00879,                0.00879,                0.00879
                     25,                 1.1947,                 1.0274,                 1.5871,                0.90894,                0.71706,                0.81667,                0.55968,                 1.2121,                0.72532,                 1.6154,               0.008735,               0.008735,               0.008735
                     26,                 1.1873,                 1.0034,                 1.5763,                0.90509,                0.74914,                0.81958,                0.55444,                 1.2231,                0.71723,                 1.6242,                0.00868,                0.00868,                0.00868
                     27,                  1.182,                0.99918,                 1.5746,                0.88122,                0.76013,                0.82837,                0.56408,                 1.2025,                0.70439,                 1.5982,               0.008625,               0.008625,               0.008625
                     28,                 1.1735,                0.98487,                 1.5635,                 0.9046,                0.72882,                0.83776,                0.57359,                 1.2053,                0.70273,                 1.5875,                0.00857,                0.00857,                0.00857
                     29,                  1.179,                0.96918,                 1.5642,                0.84769,                0.80242,                0.85175,                0.59764,                 1.1944,                0.69353,                 1.5794,               0.008515,               0.008515,               0.008515
                     30,                 1.1638,                0.97267,                  1.553,                0.87425,                0.80621,                 0.8564,                0.59551,                 1.2024,                 0.6794,                 1.5861,                0.00846,                0.00846,                0.00846
