                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3802,                 5.7095,                  3.906,                0.42434,                0.07451,                0.02976,                0.00842,                 2.6027,                 4.3188,                 3.4482,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.1753,                 3.5443,                 2.6146,                0.48259,                0.17498,                0.18289,                0.08708,                  2.049,                 2.8764,                 2.6723,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.8015,                 2.5375,                 2.1895,                0.47941,                0.29282,                0.27351,                0.14511,                 1.8732,                 2.3941,                 2.4468,              0.0098872,              0.0098872,              0.0098872
                      4,                  1.675,                  2.123,                 2.0505,                0.64587,                0.40759,                0.44072,                0.25649,                 1.6149,                 1.9548,                 2.1836,               0.009835,               0.009835,               0.009835
                      5,                 1.5641,                 1.8511,                 1.9362,                0.68097,                0.43354,                0.47689,                0.29166,                 1.6416,                 1.7415,                 2.2011,               0.009835,               0.009835,               0.009835
                      6,                 1.4915,                 1.6689,                 1.8732,                0.77977,                0.50225,                0.57218,                0.34996,                 1.5286,                 1.3657,                 2.0752,                0.00978,                0.00978,                0.00978
                      7,                 1.4442,                 1.5444,                 1.8287,                0.76934,                0.53236,                0.60387,                0.36909,                  1.521,                 1.2964,                 2.0801,               0.009725,               0.009725,               0.009725
                      8,                  1.408,                  1.445,                 1.8012,                0.79796,                0.57713,                0.62897,                0.39198,                 1.4561,                 1.2293,                 1.9963,                0.00967,                0.00967,                0.00967
                      9,                 1.3893,                 1.3737,                 1.7854,                0.81369,                0.60466,                0.65543,                0.40772,                 1.4521,                  1.104,                 1.9847,               0.009615,               0.009615,               0.009615
                     10,                 1.3495,                 1.2981,                 1.7528,                0.75555,                0.61454,                0.71047,                0.43897,                 1.4049,                 1.0493,                 1.9656,                0.00956,                0.00956,                0.00956
                     11,                 1.3463,                 1.2617,                 1.7498,                 0.8171,                0.61838,                0.68717,                0.42927,                 1.4232,                 1.0536,                 1.9755,               0.009505,               0.009505,               0.009505
                     12,                 1.3177,                 1.2137,                 1.7285,                0.82006,                0.66815,                0.70816,                0.46038,                 1.3557,                 0.9589,                 1.9226,                0.00945,                0.00945,                0.00945
                     13,                 1.2995,                 1.1775,                 1.7198,                0.83091,                0.66282,                0.71869,                0.47611,                 1.3347,                0.92644,                 1.8988,               0.009395,               0.009395,               0.009395
                     14,                 1.2904,                 1.1379,                 1.7101,                0.84371,                0.66823,                 0.7325,                0.46912,                 1.3486,                  0.905,                  1.908,                0.00934,                0.00934,                0.00934
                     15,                 1.2798,                  1.113,                 1.6986,                0.84939,                0.66434,                0.73878,                0.47723,                 1.3203,                0.88729,                 1.8808,               0.009285,               0.009285,               0.009285
                     16,                 1.2743,                 1.0847,                 1.6924,                0.85708,                0.65968,                0.73556,                 0.4848,                 1.3271,                0.87675,                  1.885,                0.00923,                0.00923,                0.00923
                     17,                 1.2522,                 1.0675,                 1.6811,                0.88148,                0.67884,                0.74651,                0.49896,                 1.2982,                0.82593,                 1.8596,               0.009175,               0.009175,               0.009175
                     18,                  1.245,                 1.0323,                 1.6737,                0.84863,                0.70445,                0.74946,                0.50066,                 1.2932,                0.82477,                 1.8668,                0.00912,                0.00912,                0.00912
                     19,                 1.2389,                  1.023,                 1.6659,                0.76505,                0.76075,                0.76808,                0.50695,                 1.2851,                0.79378,                 1.8575,               0.009065,               0.009065,               0.009065
                     20,                 1.2314,                0.99936,                 1.6643,                0.91234,                0.68873,                0.76334,                0.51072,                 1.2789,                 0.7869,                  1.851,                0.00901,                0.00901,                0.00901
                     21,                  1.226,                0.97136,                 1.6574,                0.86488,                0.70379,                0.79886,                0.51657,                 1.2763,                0.78062,                 1.8378,               0.008955,               0.008955,               0.008955
                     22,                 1.2166,                0.96302,                 1.6445,                0.87403,                0.71267,                0.77092,                0.52369,                 1.2632,                0.76278,                 1.8287,                 0.0089,                 0.0089,                 0.0089
                     23,                 1.2128,                0.95296,                 1.6466,                0.87408,                0.76815,                0.82656,                0.53911,                 1.2667,                0.73221,                 1.8223,               0.008845,               0.008845,               0.008845
                     24,                 1.2085,                0.94127,                  1.643,                0.89577,                0.74314,                0.81231,                0.54366,                 1.2636,                0.74081,                 1.8206,                0.00879,                0.00879,                0.00879
                     25,                 1.1969,                0.92132,                 1.6327,                0.92512,                0.71638,                0.81617,                0.55842,                 1.2411,                0.70424,                 1.8045,               0.008735,               0.008735,               0.008735
