                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2671,                 5.5383,                 3.8431,                0.54112,                0.04333,                0.02098,                0.00515,                 2.5315,                 4.3731,                 3.4743,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.0377,                 3.5333,                 2.7003,                0.50382,                0.19634,                0.19641,                0.08045,                 1.7845,                 2.7909,                 2.7431,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.5974,                 2.5295,                 2.2644,                0.40466,                0.35235,                0.33707,                0.18902,                 1.5168,                 2.2253,                 2.4186,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.4411,                 2.0921,                 2.0844,                0.64417,                0.43312,                0.46816,                0.28051,                 1.2712,                 1.7873,                 2.1745,               0.009835,               0.009835,               0.009835
                      5,                  1.332,                 1.8309,                 1.9667,                 0.7514,                0.50106,                0.54047,                0.32499,                 1.2351,                 1.4636,                 2.1349,               0.009835,               0.009835,               0.009835
                      6,                 1.2564,                 1.6496,                 1.9015,                0.68852,                0.53036,                0.56824,                0.35389,                 1.1827,                 1.3747,                 2.0554,                0.00978,                0.00978,                0.00978
                      7,                 1.2083,                 1.5218,                 1.8502,                0.76395,                0.58309,                0.62024,                0.38243,                 1.1658,                  1.245,                 2.0427,               0.009725,               0.009725,               0.009725
                      8,                 1.1698,                 1.4204,                 1.8236,                0.80467,                0.60112,                0.65993,                0.41332,                 1.1295,                 1.1265,                 1.9804,                0.00967,                0.00967,                0.00967
                      9,                 1.1527,                 1.3525,                 1.8023,                0.79603,                0.61871,                0.66761,                0.42019,                 1.1139,                 1.0846,                 1.9752,               0.009615,               0.009615,               0.009615
                     10,                 1.1108,                  1.284,                 1.7723,                0.80154,                0.61467,                0.67079,                0.42909,                  1.112,                 1.0574,                 1.9615,                0.00956,                0.00956,                0.00956
                     11,                 1.1047,                 1.2452,                 1.7603,                0.79845,                0.64718,                0.69399,                 0.4472,                  1.051,                0.99031,                 1.9168,               0.009505,               0.009505,               0.009505
                     12,                 1.0738,                 1.1948,                  1.738,                0.80103,                0.66854,                0.71293,                0.46688,                 1.0468,                0.94767,                 1.8924,                0.00945,                0.00945,                0.00945
                     13,                 1.0584,                 1.1606,                 1.7281,                 0.8432,                0.65871,                0.74685,                0.47666,                 1.0274,                0.93503,                 1.8755,               0.009395,               0.009395,               0.009395
                     14,                 1.0471,                 1.1204,                 1.7103,                0.84105,                0.66753,                0.71368,                0.46745,                 1.0256,                0.89038,                 1.8638,                0.00934,                0.00934,                0.00934
                     15,                 1.0303,                 1.0925,                 1.6932,                0.82827,                0.67997,                0.72519,                0.48094,                 1.0144,                0.88086,                 1.8437,               0.009285,               0.009285,               0.009285
                     16,                 1.0295,                  1.074,                 1.6897,                0.86628,                0.69061,                0.74625,                0.49346,                 1.0005,                0.83954,                 1.8344,                0.00923,                0.00923,                0.00923
                     17,                 1.0069,                 1.0457,                 1.6793,                 0.8739,                0.70344,                0.75395,                0.50659,                0.98608,                 0.8044,                 1.8198,               0.009175,               0.009175,               0.009175
                     18,                0.99721,                 1.0135,                 1.6684,                 0.8809,                0.68688,                0.75636,                   0.51,                 1.0017,                0.80011,                 1.8286,                0.00912,                0.00912,                0.00912
