                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2546,                 5.5443,                 3.8038,                0.64302,                0.05969,                0.03536,                0.01039,                 2.6948,                 4.5067,                  3.578,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.3135,                 3.5736,                 2.7511,                0.31333,                0.15792,                0.09865,                0.03618,                 2.2919,                 3.4092,                 3.0013,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.8962,                  2.622,                 2.3162,                0.45452,                  0.322,                0.32953,                0.17173,                 1.7994,                 2.2331,                 2.4395,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.7204,                 2.1831,                 2.1102,                0.50145,                0.38251,                0.41924,                0.25175,                 1.6456,                 1.8666,                 2.2245,               0.009835,               0.009835,               0.009835
                      5,                 1.5983,                 1.9096,                 1.9753,                0.64401,                0.47877,                0.51694,                 0.3105,                 1.5541,                  1.551,                 2.1209,               0.009835,               0.009835,               0.009835
                      6,                 1.5205,                 1.7231,                 1.9029,                0.74374,                 0.4684,                0.53594,                0.32424,                 1.4958,                 1.4351,                 2.0832,                0.00978,                0.00978,                0.00978
                      7,                 1.4684,                 1.6036,                 1.8536,                0.70868,                0.51403,                0.54567,                0.33151,                 1.5369,                 1.4629,                 2.0864,               0.009725,               0.009725,               0.009725
                      8,                 1.4304,                 1.4977,                 1.8201,                0.77278,                0.56074,                0.62392,                0.38657,                 1.4581,                 1.2177,                 1.9995,                0.00967,                0.00967,                0.00967
                      9,                 1.4138,                 1.4317,                 1.8017,                0.76571,                0.57778,                0.62451,                0.39005,                 1.4496,                 1.1831,                 1.9895,               0.009615,               0.009615,               0.009615
                     10,                 1.3746,                 1.3651,                 1.7658,                 0.7474,                0.57363,                0.62939,                0.39844,                 1.4224,                 1.2248,                 1.9817,                0.00956,                0.00956,                0.00956
                     11,                 1.3646,                 1.3196,                  1.758,                0.80676,                0.61544,                0.67081,                0.42808,                 1.3912,                 1.0814,                 1.9406,               0.009505,               0.009505,               0.009505
                     12,                 1.3388,                 1.2709,                  1.743,                0.80603,                0.62743,                 0.6762,                0.44608,                 1.3554,                0.99538,                 1.9118,                0.00945,                0.00945,                0.00945
                     13,                 1.3232,                 1.2298,                 1.7297,                0.83509,                0.63572,                0.69963,                0.46189,                 1.3376,                0.96357,                  1.881,               0.009395,               0.009395,               0.009395
                     14,                 1.3139,                 1.1918,                 1.7155,                0.83164,                   0.64,                0.71449,                0.46342,                 1.3323,                0.92342,                 1.8811,                0.00934,                0.00934,                0.00934
