                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1865,                 5.4725,                 3.8018,                0.78804,                0.05574,                0.05626,                0.01615,                 2.3922,                 3.8902,                 3.3591,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.0959,                 3.4807,                 2.7418,                0.31946,                0.15087,                0.13103,                0.05125,                 1.9567,                 3.1932,                 2.9036,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.6524,                 2.5471,                 2.3237,                0.32738,                0.31488,                0.28567,                0.15936,                  1.584,                 2.3353,                 2.5019,              0.0098872,              0.0098872,              0.0098872
                      4,                  1.462,                 2.1124,                 2.1148,                0.61117,                0.43413,                0.47688,                 0.2759,                  1.298,                 1.7681,                 2.2285,               0.009835,               0.009835,               0.009835
                      5,                 1.3437,                 1.8532,                 1.9906,                 0.6243,                0.46856,                0.51832,                0.31215,                 1.2947,                 1.5686,                 2.1959,               0.009835,               0.009835,               0.009835
                      6,                  1.267,                 1.6839,                 1.9293,                0.76477,                   0.51,                0.56621,                0.34346,                 1.1841,                 1.3619,                 2.0949,                0.00978,                0.00978,                0.00978
                      7,                 1.2189,                 1.5611,                 1.8769,                0.76886,                0.52899,                0.60253,                0.36864,                 1.1859,                 1.3197,                 2.0839,               0.009725,               0.009725,               0.009725
                      8,                  1.189,                  1.469,                  1.853,                0.77409,                0.56925,                 0.6237,                0.38759,                 1.1389,                  1.208,                 2.0211,                0.00967,                0.00967,                0.00967
                      9,                 1.1645,                 1.3918,                 1.8273,                0.80484,                0.60162,                0.65316,                0.40192,                 1.1143,                 1.1689,                 2.0131,               0.009615,               0.009615,               0.009615
                     10,                  1.126,                 1.3265,                  1.796,                0.81046,                0.59512,                0.65842,                0.42167,                 1.0897,                  1.067,                  1.981,                0.00956,                0.00956,                0.00956
                     11,                 1.1177,                 1.2895,                 1.7861,                0.79483,                0.62426,                0.66669,                 0.4268,                 1.0685,                 1.0383,                 1.9472,               0.009505,               0.009505,               0.009505
                     12,                 1.0875,                 1.2408,                 1.7647,                0.85583,                0.62362,                0.70476,                0.46173,                 1.0255,                0.95486,                 1.9133,                0.00945,                0.00945,                0.00945
                     13,                 1.0684,                  1.204,                 1.7526,                0.85562,                0.64944,                0.71273,                0.46532,                 1.0134,                0.94139,                 1.8959,               0.009395,               0.009395,               0.009395
                     14,                   1.06,                 1.1621,                  1.739,                 0.7424,                0.64955,                0.69671,                0.46258,                 1.0228,                 0.9221,                 1.8975,                0.00934,                0.00934,                0.00934
                     15,                 1.0413,                 1.1379,                 1.7221,                0.83083,                0.66534,                0.71444,                0.46721,                 1.0242,                0.91081,                 1.8965,               0.009285,               0.009285,               0.009285
                     16,                 1.0408,                  1.119,                 1.7182,                0.86952,                0.67134,                0.72679,                0.47887,                0.99595,                 0.8644,                 1.8783,                0.00923,                0.00923,                0.00923
                     17,                 1.0202,                  1.089,                 1.7073,                0.86525,                0.68609,                0.73272,                0.48223,                0.97198,                0.84238,                 1.8529,               0.009175,               0.009175,               0.009175
                     18,                 1.0077,                 1.0547,                 1.6965,                 0.8384,                0.68599,                0.73526,                0.48601,                0.99386,                  0.869,                 1.8569,                0.00912,                0.00912,                0.00912
                     19,                 1.0088,                 1.0512,                 1.6908,                0.90635,                0.67932,                0.75407,                 0.5079,                0.95043,                0.79737,                 1.8199,               0.009065,               0.009065,               0.009065
                     20,                  0.997,                 1.0337,                 1.6861,                0.87303,                0.68988,                0.75282,                0.50235,                0.97048,                0.79163,                 1.8334,                0.00901,                0.00901,                0.00901
