                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4003,                  5.748,                 3.9399,                0.66761,                0.08388,                0.03215,                0.00789,                 2.6844,                  4.488,                 3.5099,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.3491,                 3.7417,                 2.7805,                  0.397,                0.18936,                0.17106,                0.06898,                 2.1093,                 2.9055,                 2.7643,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.8688,                 2.6425,                 2.2679,                 0.4346,                0.32412,                0.32002,                0.17943,                 1.8247,                 2.1738,                 2.3949,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.7069,                 2.1854,                 2.0793,                0.47985,                0.43769,                0.44116,                0.25343,                 1.6334,                 1.8507,                 2.1916,               0.009835,               0.009835,               0.009835
                      5,                 1.5891,                 1.9256,                 1.9547,                0.62173,                0.45744,                 0.4749,                0.28594,                 1.6093,                 1.6509,                 2.1517,               0.009835,               0.009835,               0.009835
                      6,                 1.5109,                 1.7439,                 1.8853,                0.71592,                0.49452,                0.54921,                0.33552,                 1.4956,                 1.4023,                 2.0318,                0.00978,                0.00978,                0.00978
                      7,                  1.465,                 1.6216,                 1.8424,                0.73398,                0.55455,                0.58634,                0.35821,                 1.4781,                 1.3327,                 2.0358,               0.009725,               0.009725,               0.009725
                      8,                 1.4328,                 1.5068,                 1.8177,                0.80457,                0.56101,                 0.6229,                0.39942,                 1.4393,                 1.2185,                  1.974,                0.00967,                0.00967,                0.00967
                      9,                 1.4103,                 1.4462,                 1.7938,                0.74321,                0.57108,                0.61111,                0.38684,                  1.426,                  1.187,                 1.9596,               0.009615,               0.009615,               0.009615
                     10,                 1.3745,                 1.3681,                 1.7648,                0.69589,                0.60287,                0.64389,                0.40836,                 1.4123,                  1.162,                 1.9596,                0.00956,                0.00956,                0.00956
                     11,                 1.3667,                 1.3266,                 1.7568,                0.80117,                0.58199,                0.64557,                0.41514,                 1.3822,                 1.0908,                 1.9318,               0.009505,               0.009505,               0.009505
                     12,                 1.3396,                 1.2815,                 1.7375,                 0.8187,                0.60987,                0.66893,                0.43767,                 1.3624,                 1.0284,                 1.9092,                0.00945,                0.00945,                0.00945
                     13,                 1.3209,                 1.2368,                 1.7267,                0.83595,                0.63438,                0.70074,                0.46418,                 1.3246,                0.96599,                 1.8591,               0.009395,               0.009395,               0.009395
                     14,                 1.3115,                  1.202,                 1.7099,                0.84265,                0.62337,                 0.6946,                0.46097,                 1.3218,                0.95138,                 1.8552,                0.00934,                0.00934,                0.00934
                     15,                 1.2996,                 1.1784,                 1.6987,                0.83238,                0.67658,                0.71798,                0.47073,                 1.3162,                0.93665,                 1.8487,               0.009285,               0.009285,               0.009285
                     16,                 1.2926,                 1.1519,                 1.6903,                0.84825,                0.66722,                  0.725,                0.48059,                 1.3072,                0.88744,                 1.8468,                0.00923,                0.00923,                0.00923
                     17,                 1.2726,                 1.1195,                  1.681,                0.85261,                0.67546,                0.72835,                0.48702,                  1.288,                0.88319,                 1.8233,               0.009175,               0.009175,               0.009175
                     18,                  1.267,                 1.0847,                 1.6748,                0.85871,                0.66829,                 0.7319,                0.49774,                 1.2916,                0.85636,                 1.8172,                0.00912,                0.00912,                0.00912
                     19,                 1.2582,                 1.0784,                 1.6681,                0.84986,                0.68734,                0.74956,                0.50398,                 1.2739,                  0.819,                  1.812,               0.009065,               0.009065,               0.009065
                     20,                 1.2513,                 1.0595,                 1.6588,                0.87788,                0.68702,                0.75794,                0.50573,                 1.2673,                0.80857,                 1.8048,                0.00901,                0.00901,                0.00901
                     21,                 1.2454,                 1.0312,                  1.656,                0.85433,                0.69938,                0.74826,                0.50677,                 1.2767,                0.81415,                 1.8202,               0.008955,               0.008955,               0.008955
                     22,                  1.239,                 1.0258,                 1.6477,                0.85887,                0.70404,                0.75992,                0.51755,                 1.2518,                0.78127,                 1.7872,                 0.0089,                 0.0089,                 0.0089
                     23,                 1.2339,                  1.008,                 1.6407,                0.89928,                0.71069,                0.77752,                0.52934,                 1.2462,                0.75405,                 1.7861,               0.008845,               0.008845,               0.008845
                     24,                  1.226,                0.99642,                 1.6388,                0.88317,                0.70967,                 0.7835,                0.52876,                 1.2438,                0.75703,                 1.7651,                0.00879,                0.00879,                0.00879
