                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3638,                 5.6836,                 3.9262,                0.69882,                0.04099,                0.03112,                0.01017,                 2.4591,                 4.2221,                 3.4661,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.1722,                 3.7007,                 2.7938,                0.40807,                0.24942,                0.23135,                0.09718,                 1.7563,                 2.7053,                 2.7055,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.6303,                 2.6033,                 2.2927,                0.45979,                0.37015,                0.32347,                0.18141,                 1.5031,                 2.1648,                  2.411,              0.0098872,              0.0098872,              0.0098872
                      4,                  1.467,                 2.1551,                 2.1026,                0.57941,                0.44812,                0.43626,                  0.253,                 1.3425,                 1.8386,                 2.2347,               0.009835,               0.009835,               0.009835
                      5,                  1.338,                 1.8885,                 1.9765,                0.65035,                 0.4647,                0.50044,                 0.3051,                 1.2767,                 1.5667,                 2.1513,               0.009835,               0.009835,               0.009835
                      6,                 1.2539,                 1.7011,                 1.9071,                0.73589,                0.50144,                0.55018,                0.33085,                 1.2079,                 1.4027,                 2.0673,                0.00978,                0.00978,                0.00978
                      7,                 1.2123,                 1.5711,                 1.8652,                0.75089,                0.53166,                0.58711,                0.36672,                 1.1868,                 1.2993,                 2.0655,               0.009725,               0.009725,               0.009725
                      8,                 1.1763,                 1.4772,                 1.8408,                0.76734,                0.59156,                0.63607,                 0.3981,                 1.1216,                 1.1898,                 1.9949,                0.00967,                0.00967,                0.00967
                      9,                 1.1546,                 1.4054,                 1.8218,                0.76307,                0.59795,                0.63425,                0.39304,                 1.1131,                  1.156,                 2.0034,               0.009615,               0.009615,               0.009615
                     10,                 1.1142,                  1.335,                 1.7878,                 0.7341,                 0.6127,                0.67074,                0.42972,                 1.1153,                 1.0994,                 1.9872,                0.00956,                0.00956,                0.00956
                     11,                 1.1116,                 1.2919,                 1.7805,                0.73775,                0.59247,                0.65775,                0.41306,                 1.0852,                 1.0877,                 1.9595,               0.009505,               0.009505,               0.009505
                     12,                 1.0866,                 1.2539,                 1.7607,                0.80669,                0.64739,                  0.683,                 0.4424,                 1.0578,                0.97849,                 1.9208,                0.00945,                0.00945,                0.00945
                     13,                 1.0616,                 1.2159,                  1.748,                0.83639,                0.65717,                0.71102,                0.46547,                 1.0283,                0.93676,                 1.8921,               0.009395,               0.009395,               0.009395
                     14,                 1.0587,                 1.1732,                 1.7368,                0.86194,                0.64215,                0.70887,                0.46321,                 1.0371,                0.90656,                 1.9054,                0.00934,                0.00934,                0.00934
                     15,                 1.0437,                 1.1481,                 1.7231,                0.84195,                0.66413,                0.71293,                0.46373,                  1.031,                0.90805,                 1.8958,               0.009285,               0.009285,               0.009285
                     16,                 1.0409,                 1.1252,                 1.7187,                0.82264,                0.66238,                0.73608,                0.48122,                 1.0054,                0.87483,                 1.8846,                0.00923,                0.00923,                0.00923
                     17,                  1.018,                 1.0974,                 1.7076,                0.87081,                0.66572,                 0.7302,                 0.4779,                 1.0085,                0.85499,                 1.8778,               0.009175,               0.009175,               0.009175
                     18,                 1.0098,                 1.0638,                 1.7003,                0.83483,                 0.6917,                0.73962,                0.49528,                 1.0039,                0.86182,                  1.869,                0.00912,                0.00912,                0.00912
                     19,                 1.0031,                 1.0604,                 1.6928,                0.88646,                 0.6701,                0.75059,                0.49846,                0.96038,                0.80984,                 1.8292,               0.009065,               0.009065,               0.009065
                     20,                0.99147,                 1.0334,                  1.685,                  0.867,                0.68899,                0.74927,                0.49546,                0.96652,                0.78644,                 1.8169,                0.00901,                0.00901,                0.00901
                     21,                0.99423,                 1.0052,                  1.684,                0.87229,                0.69422,                0.75295,                0.50177,                0.98236,                0.78782,                  1.835,               0.008955,               0.008955,               0.008955
                     22,                0.98162,                0.99787,                 1.6731,                0.87437,                0.70782,                0.76763,                0.51439,                0.96872,                0.76566,                  1.834,                 0.0089,                 0.0089,                 0.0089
                     23,                0.97231,                0.98064,                 1.6681,                0.80552,                0.73035,                0.77765,                0.52772,                0.96733,                0.75768,                 1.8135,               0.008845,               0.008845,               0.008845
                     24,                0.97028,                0.97303,                 1.6658,                0.81166,                   0.72,                 0.7845,                0.53482,                0.96448,                0.76195,                 1.8069,                0.00879,                0.00879,                0.00879
                     25,                0.96201,                0.95526,                 1.6554,                0.87375,                0.71091,                0.79415,                0.54145,                0.95422,                0.73411,                 1.8032,               0.008735,               0.008735,               0.008735
                     26,                0.95567,                0.93509,                 1.6482,                0.88136,                0.72615,                 0.7842,                0.52602,                0.96589,                0.72587,                 1.8191,                0.00868,                0.00868,                0.00868
                     27,                0.94587,                0.93555,                 1.6395,                0.90053,                 0.7254,                0.78707,                0.54085,                0.94762,                0.71118,                  1.793,               0.008625,               0.008625,               0.008625
                     28,                0.94368,                0.91824,                 1.6368,                0.91793,                0.71462,                0.82747,                0.56617,                  0.927,                0.70373,                 1.7719,                0.00857,                0.00857,                0.00857
