                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3896,                  5.692,                 3.8945,                0.63475,                0.04576,                0.03283,                0.00685,                 2.8815,                 4.3792,                  3.628,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.3027,                 3.6808,                 2.7269,                0.44731,                0.20513,                 0.1811,                0.08273,                  2.057,                 2.8919,                 2.6944,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.8306,                 2.5593,                 2.2065,                0.48195,                0.36588,                 0.3596,                0.19181,                 1.8001,                 2.1511,                 2.3375,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.6823,                 2.1132,                 2.0409,                0.61929,                0.47476,                0.47816,                0.29135,                 1.5781,                  1.739,                 2.0892,               0.009835,               0.009835,               0.009835
                      5,                 1.5599,                 1.8469,                 1.9197,                0.69005,                0.45256,                0.48975,                0.30038,                  1.549,                 1.7185,                 2.0729,               0.009835,               0.009835,               0.009835
                      6,                  1.485,                 1.6668,                 1.8533,                0.71287,                0.50225,                0.58307,                0.36612,                  1.469,                 1.3843,                 1.9811,                0.00978,                0.00978,                0.00978
                      7,                 1.4327,                 1.5298,                 1.8026,                0.83408,                0.52877,                0.61858,                0.38698,                 1.4535,                 1.2515,                 1.9714,               0.009725,               0.009725,               0.009725
                      8,                 1.4032,                 1.4366,                 1.7788,                0.81599,                0.56766,                0.64194,                0.41617,                 1.3987,                 1.1605,                 1.8953,                0.00967,                0.00967,                0.00967
                      9,                 1.3789,                 1.3556,                 1.7569,                0.81133,                0.59307,                0.65952,                0.42166,                  1.397,                 1.1052,                  1.899,               0.009615,               0.009615,               0.009615
                     10,                  1.343,                 1.2925,                  1.728,                0.83411,                0.63782,                 0.7049,                0.45337,                 1.3635,                 1.0329,                 1.8797,                0.00956,                0.00956,                0.00956
                     11,                 1.3362,                 1.2454,                 1.7166,                0.82607,                0.63764,                0.70091,                0.45779,                 1.3293,                0.98786,                 1.8337,               0.009505,               0.009505,               0.009505
                     12,                 1.3138,                 1.1952,                 1.6992,                0.73178,                 0.6948,                0.73269,                0.47994,                 1.3286,                0.96322,                 1.8223,                0.00945,                0.00945,                0.00945
                     13,                 1.2959,                 1.1589,                 1.6877,                0.86965,                0.67833,                0.73547,                0.48845,                 1.3015,                0.90812,                 1.7853,               0.009395,               0.009395,               0.009395
                     14,                 1.2838,                 1.1168,                  1.669,                0.77672,                0.66536,                0.72574,                 0.4818,                 1.2934,                0.89107,                  1.785,                0.00934,                0.00934,                0.00934
                     15,                 1.2699,                 1.0926,                 1.6526,                0.85036,                0.67966,                0.73938,                0.49513,                 1.2899,                0.86516,                 1.7623,               0.009285,               0.009285,               0.009285
                     16,                  1.264,                 1.0678,                 1.6494,                 0.8809,                0.66319,                0.74536,                0.49681,                 1.2932,                0.84357,                 1.7782,                0.00923,                0.00923,                0.00923
                     17,                 1.2461,                 1.0366,                 1.6386,                0.88464,                0.69536,                0.77505,                0.50992,                 1.2632,                0.81206,                 1.7469,               0.009175,               0.009175,               0.009175
                     18,                 1.2357,                 1.0081,                 1.6243,                0.86208,                0.69625,                0.78378,                0.52024,                  1.253,                0.79226,                 1.7389,                0.00912,                0.00912,                0.00912
                     19,                 1.2291,                 1.0016,                 1.6202,                0.87949,                0.71136,                0.79106,                0.52697,                 1.2436,                 0.7627,                 1.7356,               0.009065,               0.009065,               0.009065
                     20,                 1.2213,                0.98417,                 1.6138,                0.78521,                0.78331,                0.80865,                 0.5355,                 1.2457,                0.75159,                 1.7276,                0.00901,                0.00901,                0.00901
                     21,                 1.2195,                0.95818,                 1.6126,                0.88325,                0.72932,                0.79139,                0.53223,                 1.2345,                0.73341,                 1.7211,               0.008955,               0.008955,               0.008955
                     22,                 1.2093,                 0.9462,                 1.6006,                0.89634,                0.70274,                0.81976,                0.54238,                  1.242,                0.74181,                 1.7298,                 0.0089,                 0.0089,                 0.0089
                     23,                 1.2073,                0.93335,                 1.6026,                0.80318,                 0.7928,                0.81778,                0.54559,                 1.2279,                0.70926,                 1.7245,               0.008845,               0.008845,               0.008845
                     24,                 1.2025,                0.92529,                 1.5926,                0.90751,                0.72333,                0.85469,                0.57114,                 1.2146,                0.69879,                 1.6766,                0.00879,                0.00879,                0.00879
                     25,                 1.1881,                0.90495,                 1.5781,                0.81764,                0.76601,                0.81774,                0.56497,                 1.2285,                0.68406,                 1.7131,               0.008735,               0.008735,               0.008735
                     26,                  1.183,                0.89418,                   1.58,                0.82874,                 0.7917,                0.84588,                0.56201,                 1.2154,                0.68355,                 1.7097,                0.00868,                0.00868,                0.00868
