                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2902,                 5.6057,                 3.8634,                0.62292,                0.07745,                0.04748,                0.01097,                 2.3826,                  4.035,                 3.3937,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.0243,                 3.5658,                 2.6903,                0.31195,                0.19674,                0.13719,                0.06302,                 1.8638,                 3.2367,                 2.7857,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.5882,                 2.5119,                 2.2413,                0.45387,                 0.3599,                0.36178,                0.19924,                 1.4729,                 1.9959,                 2.3763,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.4422,                 2.0648,                 2.0736,                0.66725,                0.45569,                0.48015,                0.28191,                 1.2689,                 1.7037,                 2.1527,               0.009835,               0.009835,               0.009835
                      5,                  1.315,                 1.7971,                 1.9469,                0.66097,                0.50884,                0.53411,                0.32161,                 1.2495,                 1.4635,                  2.114,               0.009835,               0.009835,               0.009835
                      6,                 1.2391,                 1.6188,                 1.8837,                0.78018,                0.53496,                 0.6076,                0.37188,                 1.2003,                 1.3194,                   2.05,                0.00978,                0.00978,                0.00978
                      7,                 1.1914,                 1.4988,                 1.8332,                0.78529,                0.58331,                0.64396,                0.40498,                 1.1566,                 1.1745,                 2.0108,               0.009725,               0.009725,               0.009725
                      8,                 1.1565,                  1.399,                 1.8076,                0.76389,                0.62656,                0.66343,                0.41719,                 1.1148,                  1.101,                 1.9673,                0.00967,                0.00967,                0.00967
                      9,                 1.1367,                 1.3315,                 1.7865,                0.78604,                0.61477,                0.65602,                 0.4121,                 1.0902,                 1.0829,                  1.946,               0.009615,               0.009615,               0.009615
                     10,                 1.0967,                 1.2616,                 1.7554,                0.83738,                0.63566,                0.71137,                0.45737,                 1.0554,                0.97807,                 1.9202,                0.00956,                0.00956,                0.00956
                     11,                 1.0905,                 1.2225,                 1.7491,                0.75376,                0.61686,                0.68311,                0.44769,                 1.0445,                 0.9921,                 1.9101,               0.009505,               0.009505,               0.009505
                     12,                 1.0635,                 1.1791,                 1.7275,                0.79857,                0.67871,                0.72165,                0.46832,                  1.016,                0.93274,                 1.8629,                0.00945,                0.00945,                0.00945
                     13,                 1.0491,                 1.1421,                 1.7187,                0.85069,                0.67732,                0.74584,                0.49751,                0.99818,                0.87148,                 1.8338,               0.009395,               0.009395,               0.009395
