                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3924,                 5.6559,                 3.9141,                0.87468,                0.03931,                 0.0275,                0.00508,                 2.9003,                 4.7701,                 3.8228,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.3101,                 3.6972,                 2.7222,                0.29231,                0.15761,                 0.1004,                0.03552,                 2.1862,                 3.4954,                 2.8737,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.8401,                 2.5602,                 2.2054,                0.41888,                0.33005,                0.34042,                0.18865,                  1.823,                 2.3208,                 2.3724,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.6792,                 2.1031,                 2.0276,                0.61892,                0.42393,                0.45985,                0.26602,                 1.6105,                 1.8176,                 2.1271,               0.009835,               0.009835,               0.009835
                      5,                  1.563,                 1.8418,                 1.9112,                0.68602,                0.44256,                 0.4977,                0.30137,                  1.601,                 1.6335,                 2.1192,               0.009835,               0.009835,               0.009835
                      6,                 1.4885,                 1.6723,                 1.8513,                0.70082,                0.51714,                0.56746,                0.34863,                 1.5087,                 1.3431,                 1.9743,                0.00978,                0.00978,                0.00978
                      7,                 1.4385,                 1.5419,                 1.8029,                0.73834,                0.55548,                0.60524,                0.37254,                  1.488,                 1.4034,                 1.9933,               0.009725,               0.009725,               0.009725
                      8,                 1.4014,                 1.4389,                 1.7722,                0.77063,                0.55599,                0.61778,                0.39145,                 1.4427,                 1.2309,                 1.9417,                0.00967,                0.00967,                0.00967
                      9,                 1.3815,                 1.3672,                 1.7552,                0.67617,                0.62145,                  0.659,                0.41541,                 1.4044,                 1.1084,                  1.899,               0.009615,               0.009615,               0.009615
                     10,                 1.3509,                 1.2959,                 1.7273,                0.75454,                0.63135,                0.68966,                0.44601,                 1.3796,                 1.0496,                  1.899,                0.00956,                0.00956,                0.00956
                     11,                 1.3388,                 1.2554,                 1.7129,                 0.8036,                0.63914,                0.69111,                0.45307,                 1.3337,                 1.0041,                  1.856,               0.009505,               0.009505,               0.009505
                     12,                 1.3207,                 1.2113,                  1.704,                0.85521,                0.64907,                0.71658,                0.47214,                 1.3237,                0.93895,                 1.8207,                0.00945,                0.00945,                0.00945
                     13,                 1.3018,                 1.1674,                 1.6871,                0.79023,                0.66202,                0.73145,                0.48291,                 1.3231,                0.92132,                 1.8107,               0.009395,               0.009395,               0.009395
                     14,                 1.2867,                 1.1322,                 1.6688,                0.84323,                0.67698,                0.72082,                0.48252,                 1.3035,                0.87922,                 1.8043,                0.00934,                0.00934,                0.00934
                     15,                 1.2749,                 1.1047,                 1.6588,                0.86894,                0.66105,                0.73841,                0.49059,                 1.3024,                0.86714,                 1.7823,               0.009285,               0.009285,               0.009285
                     16,                 1.2711,                 1.0812,                 1.6523,                0.84977,                0.69805,                0.75433,                0.49579,                 1.2962,                0.84086,                 1.7773,                0.00923,                0.00923,                0.00923
                     17,                 1.2503,                 1.0517,                 1.6393,                 0.8806,                0.69491,                0.75869,                 0.5102,                 1.2702,                0.82117,                 1.7613,               0.009175,               0.009175,               0.009175
                     18,                  1.244,                 1.0246,                  1.628,                0.87165,                 0.6927,                0.79736,                0.51426,                 1.2671,                0.80278,                 1.7503,                0.00912,                0.00912,                0.00912
                     19,                 1.2383,                 1.0179,                 1.6241,                0.89796,                0.68093,                0.80811,                0.53944,                 1.2501,                0.76999,                 1.7337,               0.009065,               0.009065,               0.009065
                     20,                   1.23,                0.99458,                 1.6152,                 0.8905,                0.69666,                0.81336,                  0.539,                 1.2485,                0.77753,                 1.7266,                0.00901,                0.00901,                0.00901
                     21,                 1.2239,                0.97164,                 1.6081,                0.89756,                0.70124,                0.76904,                0.52538,                 1.2316,                0.76316,                 1.7008,               0.008955,               0.008955,               0.008955
                     22,                 1.2131,                0.95887,                  1.601,                0.75486,                0.80624,                 0.8129,                0.55032,                 1.2425,                 0.7393,                 1.7333,                 0.0089,                 0.0089,                 0.0089
                     23,                  1.211,                0.94745,                 1.6021,                0.91432,                0.71625,                 0.8489,                0.57513,                 1.2277,                0.72461,                 1.7089,               0.008845,               0.008845,               0.008845
                     24,                 1.2053,                0.93449,                 1.5921,                0.82602,                0.77883,                0.88221,                0.57654,                 1.2266,                0.72092,                 1.6911,                0.00879,                0.00879,                0.00879
                     25,                 1.1955,                0.92372,                 1.5825,                 0.9159,                0.74743,                0.82731,                0.56887,                 1.2206,                0.70176,                 1.7093,               0.008735,               0.008735,               0.008735
                     26,                 1.1915,                0.90821,                 1.5795,                 0.8724,                0.74629,                0.83184,                0.56397,                 1.2246,                0.69791,                 1.7014,                0.00868,                0.00868,                0.00868
                     27,                 1.1821,                  0.891,                 1.5709,                0.83542,                0.77197,                0.80839,                0.55834,                 1.2167,                0.68431,                 1.6823,               0.008625,               0.008625,               0.008625
                     28,                 1.1812,                 0.8844,                 1.5723,                0.89639,                0.79607,                 0.8564,                0.58347,                 1.2142,                0.69162,                 1.6833,                0.00857,                0.00857,                0.00857
                     29,                 1.1813,                0.87168,                  1.567,                0.88629,                0.81455,                0.85599,                0.58986,                 1.2121,                0.66918,                 1.6823,               0.008515,               0.008515,               0.008515
