                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3232,                 5.5749,                 3.8815,                0.71117,                  0.039,                0.03447,                0.00876,                 2.5601,                 4.2236,                 3.5272,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.0793,                 3.5865,                 2.7359,                0.34935,                0.15401,                0.12313,                0.05475,                   2.14,                 3.9685,                 3.0385,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.6055,                 2.5021,                 2.2716,                0.48163,                  0.379,                0.34728,                0.17413,                  1.658,                 2.1665,                 2.5344,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.4506,                 2.0763,                 2.0968,                0.72459,                0.43061,                0.49677,                0.28952,                 1.3454,                  1.683,                 2.2222,               0.009835,               0.009835,               0.009835
                      5,                 1.3313,                  1.816,                 1.9675,                0.64278,                0.45185,                0.50039,                0.29843,                 1.3271,                 1.5973,                 2.1874,               0.009835,               0.009835,               0.009835
                      6,                 1.2481,                  1.631,                 1.8958,                0.76506,                0.53751,                0.58994,                 0.3686,                 1.1921,                 1.3159,                 2.0565,                0.00978,                0.00978,                0.00978
                      7,                  1.198,                 1.5037,                 1.8439,                0.76522,                0.57093,                0.62639,                 0.3893,                 1.1366,                 1.1857,                 1.9941,               0.009725,               0.009725,               0.009725
                      8,                 1.1627,                 1.4178,                 1.8188,                0.81371,                0.59936,                0.66684,                0.41701,                 1.1259,                 1.1206,                 1.9766,                0.00967,                0.00967,                0.00967
                      9,                 1.1381,                  1.336,                 1.7979,                 0.7711,                0.61321,                0.65273,                0.40596,                 1.0985,                  1.098,                  1.967,               0.009615,               0.009615,               0.009615
                     10,                 1.1019,                 1.2696,                 1.7673,                0.68593,                0.66385,                0.67392,                0.42916,                 1.0882,                 1.0507,                 1.9735,                0.00956,                0.00956,                0.00956
                     11,                 1.0952,                 1.2304,                 1.7575,                0.80115,                0.63832,                0.68781,                0.44304,                  1.046,                 1.0021,                 1.9183,               0.009505,               0.009505,               0.009505
