                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3653,                 5.6352,                 3.8729,                0.62113,                0.04097,                0.03377,                0.00842,                 2.8473,                 4.3718,                 3.5443,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.5418,                 3.8935,                 2.8788,                0.24313,                0.10269,                0.05234,                0.01477,                 2.6368,                 3.9741,                 3.1785,              0.0066272,              0.0066272,              0.0066272
                      3,                 2.1657,                 2.9374,                 2.4389,                0.41178,                0.27149,                 0.2331,                0.09565,                  2.129,                 2.8037,                 2.5383,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.9521,                 2.4942,                 2.1961,                0.43918,                0.37123,                0.36212,                0.18438,                 1.8942,                  2.192,                 2.2577,               0.009835,               0.009835,               0.009835
                      5,                 1.7904,                 2.1842,                 2.0215,                0.56687,                0.41874,                0.44889,                0.24935,                 1.7766,                 1.9124,                 2.1245,               0.009835,               0.009835,               0.009835
                      6,                 1.6955,                  1.975,                  1.929,                0.62295,                0.45962,                0.49152,                0.27915,                 1.6933,                 1.7141,                 2.0141,                0.00978,                0.00978,                0.00978
                      7,                 1.6195,                 1.8268,                 1.8427,                0.75861,                0.47206,                0.52963,                0.30188,                 1.6287,                 1.5965,                 1.9297,               0.009725,               0.009725,               0.009725
                      8,                 1.5705,                 1.7172,                 1.7954,                0.65768,                0.52204,                0.54888,                0.32218,                 1.5684,                  1.507,                 1.8516,                0.00967,                0.00967,                0.00967
                      9,                 1.5373,                 1.6274,                 1.7577,                0.68573,                 0.5592,                0.59504,                0.35703,                 1.5295,                 1.4132,                  1.792,               0.009615,               0.009615,               0.009615
                     10,                 1.4892,                 1.5519,                 1.7073,                0.74905,                0.55496,                0.60541,                0.36863,                  1.501,                 1.3369,                 1.7621,                0.00956,                0.00956,                0.00956
                     11,                 1.4746,                 1.4997,                 1.6809,                0.76698,                0.58135,                0.63552,                0.39018,                 1.4608,                  1.246,                 1.7063,               0.009505,               0.009505,               0.009505
                     12,                 1.4424,                 1.4562,                 1.6501,                0.80851,                0.59655,                0.65464,                0.41182,                 1.4308,                 1.1891,                  1.673,                0.00945,                0.00945,                0.00945
                     13,                 1.4229,                 1.4021,                 1.6376,                0.80128,                0.64037,                0.69332,                0.43341,                  1.428,                 1.1374,                 1.6478,               0.009395,               0.009395,               0.009395
                     14,                 1.4051,                 1.3494,                 1.6027,                0.79252,                0.64941,                0.68928,                0.43367,                 1.4114,                 1.0834,                 1.6265,                0.00934,                0.00934,                0.00934
                     15,                 1.3866,                 1.3159,                  1.584,                0.82639,                 0.6346,                 0.7138,                0.44829,                 1.3888,                 1.0573,                 1.5985,               0.009285,               0.009285,               0.009285
                     16,                  1.379,                 1.2879,                 1.5697,                0.73856,                0.72369,                0.74846,                0.46301,                 1.3506,                 1.0081,                  1.552,                0.00923,                0.00923,                0.00923
                     17,                  1.358,                 1.2555,                 1.5552,                  0.875,                0.65022,                0.73202,                0.46447,                 1.3454,                 1.0041,                 1.5585,               0.009175,               0.009175,               0.009175
                     18,                 1.3485,                 1.2201,                  1.543,                0.80467,                 0.7219,                0.76672,                 0.4856,                 1.3377,                0.96569,                 1.5412,                0.00912,                0.00912,                0.00912
                     19,                 1.3328,                 1.2093,                 1.5278,                0.75596,                0.71717,                0.74795,                0.48234,                 1.3172,                0.95833,                 1.5187,               0.009065,               0.009065,               0.009065
                     20,                 1.3243,                 1.1871,                 1.5161,                0.86342,                0.67844,                0.76293,                0.49089,                  1.322,                0.91455,                 1.5148,                0.00901,                0.00901,                0.00901
                     21,                 1.3156,                 1.1557,                 1.5035,                0.76956,                0.69395,                0.75083,                0.48652,                 1.3152,                0.90372,                 1.5114,               0.008955,               0.008955,               0.008955
                     22,                 1.3058,                 1.1321,                 1.4903,                0.82871,                0.74373,                0.78119,                0.51567,                 1.3062,                0.88411,                 1.4933,                 0.0089,                 0.0089,                 0.0089
                     23,                 1.3019,                 1.1237,                 1.4841,                0.87662,                0.70477,                0.80585,                0.52488,                 1.3002,                0.86082,                 1.4834,               0.008845,               0.008845,               0.008845
                     24,                 1.2919,                 1.1079,                 1.4745,                0.85599,                0.74806,                0.80895,                0.52964,                 1.2805,                0.85121,                 1.4565,                0.00879,                0.00879,                0.00879
                     25,                 1.2827,                 1.0885,                 1.4629,                0.77484,                0.77821,                0.81944,                0.53425,                 1.2814,                0.82392,                  1.457,               0.008735,               0.008735,               0.008735
                     26,                 1.2768,                 1.0666,                 1.4535,                0.77821,                  0.746,                0.81332,                0.52002,                 1.2732,                0.82026,                 1.4473,                0.00868,                0.00868,                0.00868
                     27,                 1.2661,                 1.0596,                 1.4463,                0.84921,                0.74196,                 0.8119,                0.53236,                 1.2547,                0.79624,                 1.4213,               0.008625,               0.008625,               0.008625
                     28,                 1.2639,                 1.0437,                 1.4444,                0.83652,                0.79655,                0.84146,                 0.5593,                 1.2486,                0.79789,                 1.4121,                0.00857,                0.00857,                0.00857
                     29,                 1.2636,                 1.0315,                 1.4332,                0.93799,                0.77871,                0.87265,                0.57328,                 1.2504,                0.78257,                 1.4112,               0.008515,               0.008515,               0.008515
                     30,                 1.2497,                 1.0309,                 1.4281,                0.92353,                0.76479,                0.84949,                0.56269,                 1.2483,                0.76781,                 1.4075,                0.00846,                0.00846,                0.00846
                     31,                 1.2506,                  1.014,                 1.4248,                0.89169,                0.78359,                0.86415,                0.57198,                 1.2526,                0.76384,                 1.4173,               0.008405,               0.008405,               0.008405
                     32,                 1.2442,                0.99641,                 1.4139,                0.89608,                0.78762,                0.87834,                0.57464,                 1.2379,                0.75414,                 1.3981,                0.00835,                0.00835,                0.00835
                     33,                 1.2398,                0.99283,                 1.4111,                0.89429,                0.79525,                0.86153,                0.56909,                  1.229,                0.73623,                  1.382,               0.008295,               0.008295,               0.008295
                     34,                 1.2294,                0.97626,                 1.3997,                0.88224,                0.79887,                0.91701,                 0.5872,                 1.2318,                0.73568,                 1.3813,                0.00824,                0.00824,                0.00824
                     35,                  1.238,                 0.9752,                 1.4064,                0.88386,                0.80675,                0.88446,                 0.5829,                 1.2359,                0.72546,                 1.3797,               0.008185,               0.008185,               0.008185
                     36,                 1.2276,                 0.9594,                 1.3956,                0.89841,                0.80359,                0.87233,                0.57863,                 1.2361,                0.71457,                 1.3768,                0.00813,                0.00813,                0.00813
                     37,                 1.2151,                0.94937,                 1.3841,                0.90414,                0.79366,                0.88552,                0.58481,                 1.2271,                0.71366,                   1.37,               0.008075,               0.008075,               0.008075
                     38,                 1.2122,                0.93769,                 1.3834,                0.90156,                0.80272,                0.92062,                0.59615,                 1.2252,                0.71631,                   1.37,                0.00802,                0.00802,                0.00802
                     39,                 1.2086,                0.93572,                 1.3796,                0.90951,                0.79698,                0.92353,                  0.594,                 1.2259,                0.70995,                 1.3696,               0.007965,               0.007965,               0.007965
                     40,                 1.2099,                0.93087,                 1.3803,                0.91171,                0.81014,                 0.9255,                0.60264,                 1.2247,                0.70104,                 1.3674,                0.00791,                0.00791,                0.00791
                     41,                  1.209,                0.92503,                 1.3726,                0.91898,                0.80655,                0.88874,                 0.5969,                 1.2202,                0.69385,                 1.3622,               0.007855,               0.007855,               0.007855
                     42,                 1.1992,                0.91564,                 1.3644,                0.92314,                0.80715,                0.89163,                0.60051,                 1.2173,                0.68523,                 1.3557,                 0.0078,                 0.0078,                 0.0078
                     43,                 1.1978,                0.91181,                 1.3645,                0.91837,                0.81678,                0.92708,                0.60618,                 1.2153,                 0.6781,                 1.3515,               0.007745,               0.007745,               0.007745
                     44,                 1.1921,                0.90152,                 1.3555,                0.92057,                0.81664,                0.93105,                0.60971,                 1.2146,                0.67179,                 1.3491,                0.00769,                0.00769,                0.00769
                     45,                 1.1957,                0.90098,                 1.3617,                0.92843,                 0.8187,                 0.8973,                0.59851,                 1.2099,                0.66402,                 1.3439,               0.007635,               0.007635,               0.007635
                     46,                 1.1909,                0.88527,                 1.3521,                0.92873,                0.82035,                 0.9341,                0.61222,                  1.209,                0.66135,                 1.3428,                0.00758,                0.00758,                0.00758
                     47,                 1.1865,                0.87973,                 1.3498,                0.92898,                0.81755,                0.93575,                0.61243,                 1.2079,                0.65845,                 1.3411,               0.007525,               0.007525,               0.007525
                     48,                 1.1873,                0.88153,                 1.3454,                0.92581,                0.81448,                0.93736,                0.61789,                 1.2068,                0.65429,                 1.3389,                0.00747,                0.00747,                0.00747
                     49,                 1.1777,                0.86186,                 1.3376,                0.91705,                0.81299,                0.93686,                0.61669,                  1.207,                0.65045,                 1.3371,               0.007415,               0.007415,               0.007415
                     50,                 1.1769,                0.86053,                 1.3388,                0.92496,                0.81719,                0.93744,                0.61658,                 1.2066,                0.64602,                 1.3362,                0.00736,                0.00736,                0.00736
                     51,                  1.167,                0.85305,                 1.3315,                0.92578,                 0.8158,                0.93812,                0.61604,                 1.2061,                0.64177,                 1.3342,               0.007305,               0.007305,               0.007305
                     52,                 1.1687,                0.84616,                 1.3283,                0.93239,                0.81369,                0.93823,                0.61695,                 1.2067,                0.64008,                 1.3334,                0.00725,                0.00725,                0.00725
                     53,                 1.1635,                0.84887,                 1.3253,                 0.9277,                0.81335,                0.93757,                0.61811,                 1.2064,                0.63766,                 1.3324,               0.007195,               0.007195,               0.007195
                     54,                 1.1583,                0.83193,                 1.3173,                0.92836,                0.81257,                0.93859,                0.61834,                 1.2067,                0.63726,                 1.3326,                0.00714,                0.00714,                0.00714
                     55,                 1.1613,                 0.8413,                 1.3138,                0.92574,                0.81345,                0.93902,                 0.6194,                 1.2057,                 0.6346,                 1.3308,               0.007085,               0.007085,               0.007085
                     56,                 1.1599,                0.83243,                 1.3135,                0.92228,                0.81943,                0.93926,                0.61805,                 1.2059,                0.63338,                 1.3298,                0.00703,                0.00703,                0.00703
                     57,                 1.1535,                0.82061,                 1.3048,                0.93042,                0.81466,                0.93943,                0.61978,                 1.2054,                0.63016,                 1.3283,               0.006975,               0.006975,               0.006975
                     58,                 1.1568,                0.82508,                 1.3114,                0.93134,                0.81601,                0.93988,                0.61865,                  1.205,                0.62781,                 1.3271,                0.00692,                0.00692,                0.00692
                     59,                 1.1496,                0.80755,                 1.3029,                0.93014,                0.81761,                0.93999,                0.62012,                 1.2053,                0.62645,                 1.3263,               0.006865,               0.006865,               0.006865
                     60,                 1.1389,                0.79733,                 1.2949,                0.92864,                 0.8176,                 0.9403,                0.62079,                 1.2049,                0.62543,                 1.3249,                0.00681,                0.00681,                0.00681
                     61,                 1.1378,                 0.8005,                 1.2941,                0.92673,                0.81779,                0.94028,                0.62063,                 1.2047,                0.62399,                 1.3235,               0.006755,               0.006755,               0.006755
                     62,                 1.1358,                0.79436,                  1.289,                0.93023,                0.81731,                0.94018,                0.62091,                 1.2046,                0.62282,                 1.3225,                 0.0067,                 0.0067,                 0.0067
                     63,                 1.1318,                0.79582,                 1.2912,                0.92951,                0.81755,                0.94046,                0.62104,                 1.2043,                0.62119,                 1.3215,               0.006645,               0.006645,               0.006645
                     64,                 1.1362,                0.78054,                 1.2904,                0.93107,                0.81804,                 0.9403,                0.62254,                 1.2037,                0.61928,                 1.3206,                0.00659,                0.00659,                0.00659
                     65,                 1.1333,                0.78593,                 1.2836,                0.93017,                0.81794,                0.94036,                0.62035,                 1.2033,                0.61794,                 1.3194,               0.006535,               0.006535,               0.006535
                     66,                 1.1278,                 0.7831,                 1.2822,                0.93113,                0.81808,                0.94039,                 0.6236,                 1.2019,                0.61755,                 1.3179,                0.00648,                0.00648,                0.00648
                     67,                 1.1186,                0.77376,                 1.2777,                0.93123,                0.81774,                0.94058,                0.62347,                 1.2016,                0.61648,                  1.317,               0.006425,               0.006425,               0.006425
                     68,                 1.1223,                0.77513,                 1.2783,                0.93255,                0.81775,                0.94078,                0.62276,                  1.201,                 0.6142,                 1.3161,                0.00637,                0.00637,                0.00637
                     69,                 1.1238,                0.77714,                 1.2782,                0.93344,                0.81759,                0.94087,                0.62298,                 1.2009,                0.61389,                 1.3152,               0.006315,               0.006315,               0.006315
                     70,                 1.1256,                0.77205,                 1.2771,                0.93507,                0.81781,                0.94108,                0.62134,                 1.2007,                0.61296,                 1.3149,                0.00626,                0.00626,                0.00626
                     71,                 1.1098,                0.75883,                 1.2701,                0.93435,                0.81833,                0.94125,                0.62117,                 1.2007,                0.61133,                 1.3144,               0.006205,               0.006205,               0.006205
                     72,                 1.1146,                0.75453,                 1.2664,                0.93386,                  0.818,                 0.9411,                0.62116,                    1.2,                0.61031,                 1.3136,                0.00615,                0.00615,                0.00615
                     73,                 1.1128,                0.75574,                  1.268,                0.93352,                0.81864,                0.94135,                0.62199,                 1.2001,                0.60878,                 1.3132,               0.006095,               0.006095,               0.006095
