                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2992,                 2.1429,                 1.4176,                0.65742,                0.58318,                0.64654,                0.43737,                 1.2832,                 1.0985,                 1.3757,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.2261,                  1.196,                 1.3356,                0.81922,                0.59134,                0.66356,                0.42827,                 1.3751,                 1.1089,                 1.4359,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.3191,                 1.3376,                 1.4011,                0.57994,                0.51101,                0.55972,                0.34589,                 1.4872,                 1.4633,                 1.5544,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.3849,                 1.4183,                 1.4565,                0.81324,                 0.5665,                0.63325,                0.39625,                  1.411,                 1.1589,                 1.4681,               0.009835,               0.009835,               0.009835
                      5,                 1.3308,                 1.2674,                 1.4115,                0.75771,                0.60258,                0.69431,                0.45537,                 1.3402,                0.99315,                 1.4174,               0.009835,               0.009835,               0.009835
                      6,                  1.282,                 1.1368,                  1.381,                0.84116,                0.62067,                0.73421,                0.47578,                 1.2935,                0.93336,                 1.3953,                0.00978,                0.00978,                0.00978
                      7,                 1.2584,                 1.0651,                 1.3588,                0.76379,                 0.7477,                0.80087,                0.52897,                 1.2699,                0.88243,                 1.3535,               0.009725,               0.009725,               0.009725
                      8,                 1.2343,                0.99104,                 1.3411,                0.81112,                0.76453,                 0.8017,                0.52347,                  1.246,                0.77228,                  1.323,                0.00967,                0.00967,                0.00967
                      9,                 1.2159,                0.94596,                 1.3311,                0.86621,                0.71039,                0.82269,                0.56246,                 1.2556,                0.76324,                 1.3313,               0.009615,               0.009615,               0.009615
                     10,                 1.1891,                0.90081,                  1.306,                0.84776,                0.77602,                0.81563,                0.56384,                 1.2079,                0.69517,                 1.3087,                0.00956,                0.00956,                0.00956
                     11,                 1.1856,                0.88456,                  1.302,                 0.8378,                0.78644,                0.89109,                0.57758,                 1.2172,                0.69619,                  1.308,               0.009505,               0.009505,               0.009505
                     12,                 1.1664,                0.85324,                 1.2926,                0.92349,                0.78939,                0.85628,                0.59725,                 1.2132,                0.65662,                 1.3017,                0.00945,                0.00945,                0.00945
                     13,                 1.1573,                0.83207,                 1.2841,                0.87502,                0.79784,                0.82048,                  0.576,                 1.1885,                0.61444,                 1.2828,               0.009395,               0.009395,               0.009395
                     14,                 1.1507,                0.80666,                 1.2784,                0.91277,                0.81392,                0.92678,                0.61489,                 1.1767,                 0.6275,                 1.2707,                0.00934,                0.00934,                0.00934
                     15,                  1.135,                0.78483,                 1.2671,                0.92639,                0.81797,                0.88473,                0.61242,                 1.1778,                0.60857,                 1.2775,               0.009285,               0.009285,               0.009285
