                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   3.47,                 5.8239,                 3.9905,                0.94655,                0.00697,                0.00952,                0.00159,                 2.9526,                 4.6605,                 3.6876,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.4463,                 3.9426,                 2.8387,                0.48745,                0.22108,                 0.1943,                0.08665,                 2.0065,                 2.6565,                 2.6398,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.8464,                 2.6282,                 2.2337,                0.41838,                0.31064,                0.28103,                0.16254,                 1.8603,                 2.3452,                 2.4329,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.6893,                 2.1713,                 2.0611,                 0.5465,                 0.4363,                0.46416,                0.27945,                 1.5818,                 1.7152,                 2.1379,               0.009835,               0.009835,               0.009835
                      5,                 1.5683,                 1.8943,                 1.9328,                0.56466,                0.44518,                0.48769,                 0.2957,                 1.5665,                 1.6166,                 2.0889,               0.009835,               0.009835,               0.009835
                      6,                 1.4881,                 1.7025,                 1.8654,                0.78985,                0.48566,                0.56684,                0.35437,                 1.4936,                 1.3419,                 2.0088,                0.00978,                0.00978,                0.00978
                      7,                 1.4388,                 1.5726,                 1.8138,                0.73996,                0.55452,                0.60427,                0.38171,                 1.4365,                 1.3126,                 1.9713,               0.009725,               0.009725,               0.009725
                      8,                 1.4072,                 1.4636,                 1.7913,                0.78461,                0.59232,                0.63198,                0.40456,                 1.4118,                 1.1679,                 1.9298,                0.00967,                0.00967,                0.00967
                      9,                 1.3891,                 1.3899,                 1.7758,                0.75023,                0.59788,                0.62698,                0.39632,                  1.399,                 1.1301,                 1.9263,               0.009615,               0.009615,               0.009615
                     10,                 1.3474,                 1.3176,                 1.7393,                0.77553,                0.63298,                0.66867,                0.43191,                 1.3746,                 1.0599,                  1.914,                0.00956,                0.00956,                0.00956
                     11,                  1.337,                 1.2673,                 1.7276,                0.81287,                0.62052,                0.68116,                0.43929,                 1.3458,                  1.023,                 1.8808,               0.009505,               0.009505,               0.009505
                     12,                 1.3173,                 1.2244,                  1.715,                0.75735,                0.65926,                0.70329,                0.46347,                 1.3475,                0.96657,                 1.8598,                0.00945,                0.00945,                0.00945
                     13,                 1.2975,                 1.1811,                 1.7006,                0.85641,                 0.6275,                0.70774,                0.47282,                 1.3306,                0.93329,                 1.8541,               0.009395,               0.009395,               0.009395
                     14,                 1.2865,                  1.145,                 1.6865,                0.82443,                0.69176,                0.74329,                0.47219,                 1.3184,                0.91511,                 1.8396,                0.00934,                0.00934,                0.00934
                     15,                 1.2766,                 1.1258,                 1.6731,                0.77035,                0.66827,                0.72999,                0.48719,                 1.2917,                0.90044,                 1.8139,               0.009285,               0.009285,               0.009285
                     16,                 1.2702,                 1.0904,                 1.6677,                0.87279,                0.67858,                0.76005,                0.50534,                 1.2789,                 0.8471,                 1.8106,                0.00923,                0.00923,                0.00923
                     17,                 1.2478,                 1.0645,                 1.6549,                0.87425,                0.69307,                0.74865,                0.50405,                 1.2616,                0.82201,                 1.7798,               0.009175,               0.009175,               0.009175
                     18,                 1.2398,                 1.0295,                 1.6464,                0.87501,                0.70449,                0.75809,                0.51001,                 1.2699,                0.81457,                 1.8049,                0.00912,                0.00912,                0.00912
                     19,                  1.235,                 1.0197,                 1.6441,                0.90249,                0.69248,                0.77304,                0.52231,                  1.257,                0.77293,                 1.7649,               0.009065,               0.009065,               0.009065
                     20,                 1.2262,                 1.0014,                 1.6322,                 0.8969,                0.70174,                0.76944,                0.52397,                 1.2331,                0.76769,                 1.7586,                0.00901,                0.00901,                0.00901
                     21,                 1.2214,                0.97054,                 1.6267,                0.90053,                 0.7059,                0.78734,                0.53851,                 1.2369,                0.76109,                 1.7594,               0.008955,               0.008955,               0.008955
                     22,                 1.2127,                0.96333,                  1.615,                0.91397,                0.71644,                0.78862,                0.54189,                 1.2414,                0.73332,                 1.7586,                 0.0089,                 0.0089,                 0.0089
                     23,                 1.2103,                0.95098,                  1.615,                0.89436,                0.75078,                 0.8162,                0.55609,                 1.2382,                0.73128,                 1.7555,               0.008845,               0.008845,               0.008845
                     24,                 1.2024,                0.94419,                 1.6089,                0.90539,                0.71651,                0.82524,                0.56498,                 1.2323,                0.71562,                 1.7379,                0.00879,                0.00879,                0.00879
                     25,                 1.1903,                0.92296,                 1.5977,                0.79828,                0.80375,                0.82013,                0.56194,                 1.2172,                0.69908,                 1.7248,               0.008735,               0.008735,               0.008735
                     26,                 1.1856,                0.90751,                 1.5889,                0.91795,                0.72104,                0.80351,                0.55244,                 1.2227,                0.69884,                 1.7324,                0.00868,                0.00868,                0.00868
                     27,                 1.1778,                0.90234,                 1.5833,                0.92356,                0.72812,                0.82567,                 0.5688,                 1.2137,                 0.6874,                 1.7193,               0.008625,               0.008625,               0.008625
                     28,                 1.1753,                0.88771,                 1.5847,                  0.912,                0.72553,                0.80904,                0.55826,                 1.2106,                0.67016,                 1.7129,                0.00857,                0.00857,                0.00857
                     29,                  1.179,                0.87349,                 1.5765,                0.92117,                0.73406,                0.86948,                0.59081,                 1.1973,                0.66781,                 1.6933,               0.008515,               0.008515,               0.008515
                     30,                 1.1618,                0.87671,                 1.5685,                0.93369,                0.73503,                0.84596,                 0.5894,                 1.2006,                0.65969,                 1.6976,                0.00846,                0.00846,                0.00846
                     31,                 1.1625,                0.86145,                 1.5619,                0.86364,                0.81192,                0.92657,                0.60339,                 1.2038,                0.65546,                 1.6909,               0.008405,               0.008405,               0.008405
                     32,                 1.1545,                0.84438,                 1.5538,                0.92115,                0.80866,                0.87748,                0.60459,                 1.1962,                0.65202,                 1.6861,                0.00835,                0.00835,                0.00835
                     33,                 1.1503,                0.84721,                 1.5547,                0.89418,                0.83517,                0.93016,                 0.6146,                 1.1981,                0.63975,                  1.687,               0.008295,               0.008295,               0.008295
                     34,                 1.1481,                0.82777,                 1.5526,                0.89932,                0.82165,                0.93147,                0.60213,                 1.1945,                0.63796,                 1.6811,                0.00824,                0.00824,                0.00824
                     35,                 1.1535,                0.83171,                 1.5539,                0.93204,                0.80881,                0.89747,                0.60444,                 1.1952,                0.62929,                 1.6799,               0.008185,               0.008185,               0.008185
                     36,                 1.1467,                0.82676,                 1.5503,                0.91244,                0.82944,                0.93629,                0.61297,                 1.1908,                0.62261,                  1.677,                0.00813,                0.00813,                0.00813
                     37,                   1.13,                 0.8112,                  1.536,                0.91784,                0.83076,                0.93717,                 0.6209,                 1.1829,                0.62075,                 1.6687,               0.008075,               0.008075,               0.008075
                     38,                 1.1256,                0.79977,                 1.5342,                0.91404,                  0.817,                0.93349,                0.61319,                 1.1775,                0.63005,                 1.6602,                0.00802,                0.00802,                0.00802
                     39,                 1.1281,                 0.8008,                 1.5356,                0.92356,                0.80636,                0.93376,                0.61321,                  1.176,                0.62092,                 1.6608,               0.007965,               0.007965,               0.007965
                     40,                 1.1265,                 0.8015,                 1.5329,                0.92072,                 0.8083,                0.93154,                0.61501,                 1.1748,                0.61807,                 1.6619,                0.00791,                0.00791,                0.00791
                     41,                 1.1254,                0.79483,                 1.5316,                0.91005,                0.81251,                0.93306,                0.61747,                 1.1709,                0.61526,                 1.6599,               0.007855,               0.007855,               0.007855
                     42,                 1.1197,                0.78531,                 1.5288,                0.91466,                0.81733,                0.93465,                0.61976,                  1.172,                0.61006,                 1.6596,                 0.0078,                 0.0078,                 0.0078
                     43,                 1.1173,                0.77997,                 1.5266,                 0.9279,                0.81953,                0.93371,                0.61884,                 1.1731,                0.60712,                 1.6604,               0.007745,               0.007745,               0.007745
                     44,                 1.1083,                0.76774,                 1.5139,                0.93218,                0.81959,                0.93685,                0.61996,                  1.173,                 0.6018,                 1.6605,                0.00769,                0.00769,                0.00769
                     45,                 1.1089,                0.77121,                 1.5176,                0.91746,                0.82736,                0.93784,                0.62322,                 1.1727,                0.59718,                 1.6604,               0.007635,               0.007635,               0.007635
                     46,                 1.1075,                0.75815,                 1.5088,                0.91699,                0.82732,                0.93765,                0.62022,                 1.1713,                0.59708,                  1.658,                0.00758,                0.00758,                0.00758
                     47,                 1.1047,                0.75598,                 1.5136,                0.92258,                0.83136,                 0.9397,                0.62876,                 1.1703,                0.59296,                 1.6564,               0.007525,               0.007525,               0.007525
                     48,                 1.1025,                0.75488,                  1.507,                0.92363,                0.82317,                0.93953,                0.62082,                 1.1711,                0.59026,                  1.658,                0.00747,                0.00747,                0.00747
                     49,                 1.1004,                 0.7387,                 1.5027,                0.92559,                0.82045,                 0.9396,                0.62164,                 1.1703,                0.58635,                 1.6566,               0.007415,               0.007415,               0.007415
                     50,                 1.0964,                0.74025,                 1.4982,                0.92437,                0.82092,                 0.9388,                0.62319,                 1.1685,                0.58393,                 1.6541,                0.00736,                0.00736,                0.00736
                     51,                 1.0849,                0.73292,                 1.4961,                0.92243,                0.82046,                0.93909,                0.62225,                 1.1674,                0.58268,                 1.6538,               0.007305,               0.007305,               0.007305
                     52,                  1.082,                0.72912,                 1.4882,                0.92185,                0.81883,                0.93942,                0.62218,                 1.1676,                0.58038,                 1.6534,                0.00725,                0.00725,                0.00725
                     53,                 1.0828,                0.73377,                 1.4936,                0.91923,                0.82276,                0.93956,                0.62375,                 1.1674,                0.57864,                 1.6529,               0.007195,               0.007195,               0.007195
                     54,                 1.0737,                0.71528,                 1.4848,                0.91959,                0.82497,                0.93979,                0.62347,                 1.1681,                0.57815,                 1.6531,                0.00714,                0.00714,                0.00714
                     55,                 1.0777,                0.72352,                 1.4853,                 0.9223,                0.82684,                0.93952,                0.62551,                 1.1686,                0.57611,                 1.6532,               0.007085,               0.007085,               0.007085
                     56,                 1.0785,                0.71561,                 1.4894,                0.92049,                0.82938,                 0.9397,                0.62395,                 1.1684,                0.57551,                 1.6534,                0.00703,                0.00703,                0.00703
                     57,                 1.0703,                0.70996,                  1.476,                0.92194,                 0.8287,                0.94006,                0.62453,                 1.1698,                0.57351,                 1.6555,               0.006975,               0.006975,               0.006975
                     58,                 1.0753,                0.71394,                 1.4841,                0.92333,                 0.8299,                0.94055,                0.62634,                 1.1703,                0.57234,                 1.6563,                0.00692,                0.00692,                0.00692
                     59,                 1.0614,                0.69868,                  1.473,                0.92453,                0.83034,                 0.9403,                0.62669,                  1.171,                0.57217,                  1.657,               0.006865,               0.006865,               0.006865
                     60,                 1.0569,                0.69574,                  1.469,                0.92378,                0.83005,                0.94082,                0.62753,                 1.1717,                0.57116,                 1.6571,                0.00681,                0.00681,                0.00681
                     61,                 1.0542,                0.69976,                 1.4637,                0.92631,                0.83031,                  0.941,                0.62748,                 1.1717,                0.57046,                 1.6567,               0.006755,               0.006755,               0.006755
                     62,                 1.0554,                0.69057,                 1.4695,                0.93795,                0.82039,                0.94101,                0.62776,                  1.172,                0.56989,                 1.6578,                 0.0067,                 0.0067,                 0.0067
                     63,                 1.0514,                0.68413,                 1.4663,                  0.929,                0.83034,                0.94122,                0.62754,                  1.173,                0.56878,                 1.6583,               0.006645,               0.006645,               0.006645
                     64,                 1.0475,                0.67903,                 1.4618,                0.93832,                0.82205,                0.94128,                0.62345,                 1.1733,                0.56869,                 1.6587,                0.00659,                0.00659,                0.00659
                     65,                 1.0486,                0.68121,                 1.4592,                0.93555,                0.82281,                0.94079,                0.62381,                 1.1732,                0.56887,                 1.6583,               0.006535,               0.006535,               0.006535
                     66,                 1.0448,                0.67587,                 1.4555,                0.92793,                0.83238,                0.94108,                0.62417,                 1.1734,                0.56736,                 1.6581,                0.00648,                0.00648,                0.00648
                     67,                 1.0348,                0.66963,                 1.4453,                0.92687,                0.83477,                0.94134,                0.62471,                 1.1725,                0.56715,                 1.6573,               0.006425,               0.006425,               0.006425
                     68,                 1.0393,                0.67513,                 1.4519,                0.92693,                0.83516,                 0.9415,                0.62539,                 1.1725,                0.56672,                 1.6579,                0.00637,                0.00637,                0.00637
                     69,                 1.0353,                0.67715,                 1.4494,                0.92746,                0.83552,                0.94147,                0.62544,                 1.1724,                0.56614,                 1.6584,               0.006315,               0.006315,               0.006315
                     70,                 1.0352,                0.66445,                 1.4443,                0.92934,                0.83572,                0.94142,                0.62535,                 1.1727,                0.56468,                 1.6586,                0.00626,                0.00626,                0.00626
                     71,                 1.0232,                0.65866,                 1.4405,                0.92931,                0.83601,                0.94124,                0.62562,                 1.1729,                0.56292,                 1.6593,               0.006205,               0.006205,               0.006205
                     72,                 1.0303,                0.65409,                  1.442,                0.92912,                0.83371,                0.94119,                0.62603,                  1.173,                0.56233,                  1.659,                0.00615,                0.00615,                0.00615
                     73,                 1.0216,                0.65162,                 1.4347,                0.93199,                0.83283,                0.94162,                0.62582,                 1.1734,                 0.5635,                 1.6589,               0.006095,               0.006095,               0.006095
                     74,                 1.0257,                0.64951,                 1.4364,                0.93152,                0.83325,                0.94203,                0.62618,                 1.1731,                0.56275,                 1.6586,                0.00604,                0.00604,                0.00604
                     75,                 1.0159,                0.64727,                 1.4293,                0.93201,                 0.8334,                0.94238,                0.62628,                 1.1733,                0.56204,                 1.6592,               0.005985,               0.005985,               0.005985
                     76,                 1.0205,                0.65078,                 1.4338,                0.93312,                0.83353,                0.94253,                0.62545,                 1.1736,                0.56204,                 1.6589,                0.00593,                0.00593,                0.00593
                     77,                 1.0186,                0.64252,                 1.4302,                0.93558,                0.83236,                0.94241,                0.62543,                 1.1735,                0.56208,                 1.6587,               0.005875,               0.005875,               0.005875
                     78,                 1.0172,                0.64924,                 1.4284,                0.93745,                0.83103,                0.94215,                0.62679,                 1.1735,                0.56148,                 1.6582,                0.00582,                0.00582,                0.00582
                     79,                 0.9964,                0.63126,                 1.4161,                0.93861,                0.83004,                0.94257,                0.62662,                 1.1735,                 0.5609,                 1.6579,               0.005765,               0.005765,               0.005765
                     80,                 1.0055,                0.64003,                 1.4203,                0.93921,                0.82942,                 0.9426,                0.62656,                 1.1736,                0.56113,                 1.6577,                0.00571,                0.00571,                0.00571
                     81,                 1.0016,                0.62756,                 1.4174,                0.94037,                0.82853,                  0.943,                0.62662,                 1.1739,                 0.5611,                 1.6577,               0.005655,               0.005655,               0.005655
                     82,                 1.0032,                 0.6362,                 1.4181,                0.94183,                0.82561,                0.94291,                0.62717,                 1.1739,                0.56055,                 1.6574,                 0.0056,                 0.0056,                 0.0056
                     83,                 1.0019,                0.62471,                 1.4141,                0.94127,                 0.8245,                0.94279,                0.62764,                 1.1736,                0.55996,                 1.6571,               0.005545,               0.005545,               0.005545
                     84,                0.98867,                0.62771,                 1.4108,                0.93488,                 0.8322,                0.94309,                 0.6273,                 1.1739,                0.55958,                 1.6571,                0.00549,                0.00549,                0.00549
                     85,                  0.992,                 0.6265,                 1.4099,                0.93756,                0.82727,                0.94282,                0.62715,                 1.1745,                 0.5588,                 1.6575,               0.005435,               0.005435,               0.005435
                     86,                0.98935,                0.62049,                 1.4063,                0.93927,                0.82504,                0.94272,                0.62672,                 1.1746,                  0.558,                 1.6574,                0.00538,                0.00538,                0.00538
                     87,                0.98728,                0.61925,                 1.4021,                0.93882,                0.82517,                0.94306,                 0.6275,                 1.1756,                0.55637,                 1.6583,               0.005325,               0.005325,               0.005325
                     88,                0.98454,                0.60896,                 1.3997,                0.93585,                0.82536,                0.94147,                0.62924,                 1.1758,                0.55555,                 1.6582,                0.00527,                0.00527,                0.00527
                     89,                0.98509,                0.61825,                 1.4028,                0.93503,                0.82616,                0.94215,                0.62866,                 1.1766,                 0.5554,                 1.6586,               0.005215,               0.005215,               0.005215
                     90,                0.98061,                0.61313,                 1.4002,                0.93732,                0.82688,                0.94372,                0.62739,                  1.177,                0.55457,                 1.6589,                0.00516,                0.00516,                0.00516
                     91,                0.97699,                0.60787,                 1.3938,                 0.9328,                0.82605,                0.94261,                0.62809,                 1.1777,                0.55325,                 1.6595,               0.005105,               0.005105,               0.005105
                     92,                0.96894,                0.60732,                 1.3848,                0.93207,                0.82971,                0.94247,                0.62848,                 1.1783,                0.55291,                   1.66,                0.00505,                0.00505,                0.00505
