                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2179,                 5.5127,                 3.8432,                0.41909,                0.06609,                0.05083,                0.01395,                 2.3054,                 3.6178,                 3.2762,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.1822,                 3.6726,                  2.815,                 0.2812,                0.20242,                0.14709,                0.05257,                 1.9375,                 3.0227,                 2.8481,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.7628,                 2.7317,                 2.4016,                0.46494,                0.32742,                 0.3032,                0.13802,                 1.7141,                 2.5034,                 2.5506,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.5775,                 2.2459,                 2.1869,                0.52762,                0.43887,                0.45244,                0.25159,                  1.407,                 1.8486,                 2.2902,               0.009835,               0.009835,               0.009835
                      5,                 1.4334,                 1.9534,                 2.0336,                0.67467,                0.46328,                0.52154,                0.30599,                 1.4027,                 1.6328,                 2.2189,               0.009835,               0.009835,               0.009835
                      6,                 1.3495,                 1.7575,                  1.957,                0.76227,                0.47036,                0.54519,                0.32031,                 1.3142,                 1.5028,                  2.143,                0.00978,                0.00978,                0.00978
                      7,                 1.2854,                 1.6269,                 1.8931,                0.80323,                0.51847,                0.58832,                0.34715,                 1.3037,                 1.3957,                 2.0998,               0.009725,               0.009725,               0.009725
                      8,                 1.2563,                 1.5141,                 1.8629,                 0.7711,                0.58138,                0.63806,                0.38366,                 1.2101,                  1.237,                 2.0331,                0.00967,                0.00967,                0.00967
                      9,                 1.2215,                  1.447,                 1.8341,                0.73155,                0.58815,                0.63739,                0.38689,                 1.1698,                 1.2087,                 1.9824,               0.009615,               0.009615,               0.009615
                     10,                 1.1775,                 1.3726,                 1.7982,                 0.7372,                 0.6207,                0.67174,                0.41484,                 1.1585,                 1.1113,                 1.9549,                0.00956,                0.00956,                0.00956
                     11,                 1.1727,                 1.3323,                 1.7871,                0.80188,                0.60606,                0.67483,                0.42103,                 1.1238,                 1.0977,                  1.926,               0.009505,               0.009505,               0.009505
                     12,                 1.1354,                 1.2816,                 1.7616,                 0.8095,                0.65107,                 0.7025,                0.45099,                 1.0955,                 1.0253,                 1.8917,                0.00945,                0.00945,                0.00945
                     13,                 1.1233,                 1.2362,                  1.753,                0.83946,                0.64852,                 0.7571,                0.48244,                 1.0672,                0.98344,                 1.8607,               0.009395,               0.009395,               0.009395
                     14,                 1.1048,                 1.1929,                 1.7302,                0.83153,                0.66652,                0.72664,                0.46505,                 1.0643,                0.94694,                 1.8629,                0.00934,                0.00934,                0.00934
                     15,                 1.0908,                 1.1667,                 1.7123,                0.87945,                 0.6502,                0.78845,                0.51272,                 1.0706,                0.93949,                 1.8513,               0.009285,               0.009285,               0.009285
                     16,                 1.0869,                 1.1458,                  1.701,                 0.8241,                0.78647,                0.81257,                0.51961,                 1.0305,                0.89554,                 1.8136,                0.00923,                0.00923,                0.00923
                     17,                 1.0647,                 1.1101,                 1.6906,                 0.8918,                0.68186,                0.80014,                0.52181,                 1.0514,                0.87762,                 1.8133,               0.009175,               0.009175,               0.009175
