                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3071,                 5.5382,                 3.8234,                0.44797,                0.06829,                0.05699,                0.01527,                 2.6278,                 3.9666,                 3.4472,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.2712,                 3.5241,                 2.6887,                0.43818,                0.21239,                  0.204,                0.09271,                 2.0768,                 2.7812,                 2.7745,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.8322,                   2.54,                 2.2277,                0.40825,                0.30776,                0.29255,                0.16689,                 1.8726,                 2.5125,                 2.4426,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.6809,                 2.1104,                 2.0529,                0.59701,                0.43894,                0.46686,                 0.2773,                 1.5801,                 1.7417,                 2.1355,               0.009835,               0.009835,               0.009835
                      5,                 1.5658,                 1.8484,                  1.929,                0.60923,                 0.4612,                 0.5181,                0.31319,                 1.5974,                  1.644,                 2.1372,               0.009835,               0.009835,               0.009835
                      6,                 1.4907,                 1.6632,                 1.8683,                0.78292,                0.49772,                0.57181,                0.35393,                 1.4931,                 1.4119,                 2.0227,                0.00978,                0.00978,                0.00978
                      7,                 1.4446,                 1.5387,                 1.8218,                0.77322,                0.52886,                0.61047,                0.37913,                 1.4639,                  1.262,                      2,               0.009725,               0.009725,               0.009725
                      8,                 1.4083,                 1.4539,                 1.7896,                0.79689,                0.55742,                0.62951,                0.40177,                 1.4221,                 1.2177,                 1.9337,                0.00967,                0.00967,                0.00967
                      9,                 1.3904,                 1.3753,                 1.7721,                0.77795,                0.59494,                0.63823,                0.40769,                 1.3985,                  1.157,                 1.8948,               0.009615,               0.009615,               0.009615
                     10,                 1.3556,                 1.3184,                  1.743,                0.83866,                0.59215,                0.68025,                0.44268,                 1.3648,                 1.0649,                 1.9029,                0.00956,                0.00956,                0.00956
                     11,                 1.3454,                 1.2662,                  1.734,                0.77562,                0.64246,                0.68237,                0.44539,                 1.3495,                 1.0419,                 1.8891,               0.009505,               0.009505,               0.009505
                     12,                 1.3231,                 1.2285,                 1.7166,                0.82267,                 0.6249,                0.70792,                0.45783,                 1.3629,                0.99697,                 1.8709,                0.00945,                0.00945,                0.00945
                     13,                  1.308,                 1.1868,                 1.7022,                0.84343,                0.64973,                0.70956,                0.47139,                  1.308,                0.93785,                 1.8192,               0.009395,               0.009395,               0.009395
                     14,                 1.2988,                 1.1475,                 1.6916,                0.83024,                0.65923,                0.71001,                0.47528,                 1.3218,                 0.9216,                 1.8296,                0.00934,                0.00934,                0.00934
                     15,                 1.2846,                 1.1203,                 1.6767,                0.84244,                0.66896,                0.76371,                0.48236,                  1.316,                0.89667,                 1.8258,               0.009285,               0.009285,               0.009285
                     16,                 1.2766,                 1.1019,                 1.6692,                0.86602,                0.66405,                0.74087,                0.49203,                 1.2894,                0.86347,                 1.8138,                0.00923,                0.00923,                0.00923
                     17,                 1.2547,                 1.0721,                 1.6554,                0.87561,                0.68261,                0.73983,                0.49482,                 1.2875,                0.84825,                 1.7957,               0.009175,               0.009175,               0.009175
                     18,                 1.2487,                 1.0357,                 1.6462,                 0.8447,                0.68323,                0.74564,                0.50247,                 1.2862,                 0.8437,                 1.7953,                0.00912,                0.00912,                0.00912
                     19,                 1.2422,                 1.0315,                 1.6393,                 0.8123,                0.76054,                0.78753,                 0.5127,                 1.2673,                0.80711,                 1.7735,               0.009065,               0.009065,               0.009065
                     20,                  1.233,                 1.0096,                 1.6334,                0.91825,                0.69518,                0.76842,                0.51875,                 1.2643,                0.77647,                 1.7681,                0.00901,                0.00901,                0.00901
                     21,                 1.2282,                0.98724,                 1.6292,                0.90204,                0.69315,                0.76483,                0.51918,                 1.2626,                0.77765,                 1.7685,               0.008955,               0.008955,               0.008955
                     22,                 1.2163,                0.98178,                 1.6168,                 0.8984,                0.71304,                0.79252,                0.53562,                 1.2582,                 0.7533,                 1.7698,                 0.0089,                 0.0089,                 0.0089
