                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1014,                 5.2024,                 3.6484,                0.43082,                0.08343,                0.04171,                0.01233,                 2.6184,                 4.2485,                 3.3775,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.1742,                 3.4015,                 2.6354,                0.39204,                0.17194,                0.11181,                0.04477,                  2.196,                  3.349,                 2.9354,              0.0066272,              0.0066272,              0.0066272
                      3,                  1.868,                 2.6011,                  2.279,                0.31844,                 0.2589,                0.17879,                0.08215,                 1.9989,                 3.4119,                 2.6306,              0.0098872,              0.0098872,              0.0098872
                      4,                  1.738,                  2.233,                 2.1283,                0.59169,                0.42249,                 0.4321,                0.23112,                 1.5788,                 1.8683,                 2.1795,               0.009835,               0.009835,               0.009835
                      5,                 1.6394,                 1.9787,                 2.0138,                0.70027,                0.40998,                0.45159,                0.25577,                 1.6199,                 1.8663,                 2.1881,               0.009835,               0.009835,               0.009835
                      6,                 1.5592,                  1.797,                 1.9443,                0.62313,                0.47663,                0.50886,                0.29585,                 1.5269,                 1.5373,                 2.0803,                0.00978,                0.00978,                0.00978
                      7,                 1.5114,                  1.676,                 1.8925,                0.70532,                0.50336,                0.55306,                0.32671,                 1.4874,                 1.4196,                 2.0767,               0.009725,               0.009725,               0.009725
                      8,                 1.4703,                 1.5801,                 1.8605,                0.75288,                0.54824,                 0.6047,                0.37224,                 1.4528,                 1.2957,                 2.0076,                0.00967,                0.00967,                0.00967
                      9,                  1.445,                 1.5074,                 1.8351,                0.76755,                0.53407,                 0.5988,                0.37882,                 1.4219,                 1.2433,                 1.9881,               0.009615,               0.009615,               0.009615
                     10,                 1.4022,                 1.4276,                  1.798,                0.76442,                0.57495,                0.63596,                 0.4115,                  1.421,                 1.1467,                 1.9917,                0.00956,                0.00956,                0.00956
                     11,                  1.385,                 1.3863,                 1.7788,                0.76929,                0.57415,                0.63775,                0.41281,                 1.3716,                 1.1267,                  1.937,               0.009505,               0.009505,               0.009505
                     12,                 1.3573,                 1.3263,                 1.7561,                0.80123,                0.61728,                0.66305,                0.43599,                 1.3577,                 1.0613,                 1.9108,                0.00945,                0.00945,                0.00945
                     13,                 1.3405,                 1.2906,                 1.7414,                0.83152,                0.59843,                0.67567,                0.44632,                 1.3326,                 1.0259,                 1.8685,               0.009395,               0.009395,               0.009395
