                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9366,                 5.1306,                 3.6262,                 0.4061,                0.16676,                0.10454,                0.03709,                  2.074,                 3.1848,                 3.0558,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.9497,                 3.3213,                 2.6379,                0.47629,                0.24225,                0.19627,                0.07996,                 1.8392,                 2.8738,                 2.7751,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.6249,                 2.5371,                 2.3026,                0.36524,                0.36428,                0.28435,                0.12683,                 1.6227,                 2.3669,                 2.5175,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.4971,                 2.1787,                 2.1443,                0.56091,                0.42243,                0.42797,                0.22718,                 1.2693,                 1.8101,                 2.2094,               0.009835,               0.009835,               0.009835
                      5,                 1.3894,                 1.9323,                 2.0301,                0.68195,                0.46888,                0.51104,                0.28747,                 1.2678,                 1.5867,                 2.1615,               0.009835,               0.009835,               0.009835
                      6,                  1.313,                 1.7624,                 1.9659,                0.75317,                0.48592,                0.54127,                0.30562,                 1.2591,                 1.5272,                 2.1301,                0.00978,                0.00978,                0.00978
                      7,                  1.263,                  1.643,                 1.9151,                0.71146,                 0.5165,                0.56489,                0.32172,                 1.1746,                 1.3892,                 2.0733,               0.009725,               0.009725,               0.009725
                      8,                 1.2291,                 1.5401,                 1.8837,                0.71428,                  0.558,                0.59943,                0.34783,                 1.1497,                 1.2562,                 2.0308,                0.00967,                0.00967,                0.00967
                      9,                 1.2024,                 1.4715,                 1.8591,                0.79384,                0.53981,                0.61641,                0.35974,                 1.1393,                 1.2375,                 2.0244,               0.009615,               0.009615,               0.009615
                     10,                 1.1572,                 1.3983,                 1.8232,                0.75242,                0.60568,                0.63926,                0.39088,                 1.0972,                 1.1512,                 1.9875,                0.00956,                0.00956,                0.00956
                     11,                 1.1478,                  1.363,                 1.8091,                0.78908,                0.58248,                0.65349,                0.39548,                 1.0755,                 1.0784,                 1.9475,               0.009505,               0.009505,               0.009505
                     12,                 1.1165,                 1.3079,                 1.7909,                0.79413,                  0.629,                0.68352,                0.42581,                   1.08,                 1.0207,                 1.9521,                0.00945,                0.00945,                0.00945
                     13,                 1.1024,                 1.2645,                 1.7748,                0.81889,                0.62111,                0.68856,                0.42545,                 1.0646,                 0.9856,                 1.9121,               0.009395,               0.009395,               0.009395
                     14,                  1.088,                 1.2318,                 1.7561,                 0.8445,                0.62012,                 0.7037,                0.45165,                 1.0467,                0.94918,                 1.9047,                0.00934,                0.00934,                0.00934
