                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5464,                 6.0734,                 3.9668,                0.50177,                0.05932,                0.04451,                0.01393,                 2.1441,                 4.3802,                 3.4784,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.9097,                 4.2345,                 2.9513,                0.40388,                0.26879,                0.20873,                 0.0835,                 1.6433,                 3.0417,                 2.8226,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.5243,                 3.0318,                 2.4693,                0.42017,                0.34449,                0.29405,                0.14248,                 1.3748,                 2.4712,                 2.5066,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.3801,                 2.4574,                 2.2675,                0.46125,                0.46954,                0.42296,                0.22491,                 1.2065,                 1.9144,                 2.2958,               0.009835,               0.009835,               0.009835
                      5,                 1.2741,                 2.1377,                 2.1317,                0.64943,                0.45815,                0.52658,                0.30756,                 1.1495,                 1.6189,                 2.2065,               0.009835,               0.009835,               0.009835
                      6,                   1.19,                  1.912,                 2.0455,                0.63812,                0.49411,                0.55736,                0.34434,                 1.0875,                 1.4656,                  2.146,                0.00978,                0.00978,                0.00978
                      7,                 1.1344,                 1.7696,                 1.9733,                0.65718,                0.56083,                0.58995,                0.36492,                 1.1075,                 1.3795,                 2.1281,               0.009725,               0.009725,               0.009725
                      8,                  1.093,                 1.6454,                 1.9343,                0.71285,                0.56363,                0.62854,                0.39524,                 1.0346,                 1.2421,                 2.0521,                0.00967,                0.00967,                0.00967
                      9,                 1.0705,                 1.5606,                 1.8996,                0.71272,                0.56915,                0.63015,                0.39128,                  1.041,                 1.2251,                 2.0444,               0.009615,               0.009615,               0.009615
                     10,                 1.0258,                 1.4678,                 1.8588,                 0.7407,                0.60357,                0.67224,                 0.4358,                 1.0051,                 1.0761,                 2.0032,                0.00956,                0.00956,                0.00956
                     11,                 1.0193,                 1.4083,                 1.8429,                0.79792,                0.63497,                0.69084,                0.44386,                0.98179,                 1.0532,                 1.9827,               0.009505,               0.009505,               0.009505
                     12,                0.99105,                 1.3569,                 1.8131,                0.81306,                 0.6391,                0.69212,                0.45404,                0.96163,                 1.0171,                 1.9417,                0.00945,                0.00945,                0.00945
                     13,                0.97881,                 1.3061,                 1.7983,                0.85954,                0.62483,                0.70871,                0.46722,                 0.9274,                0.96891,                 1.8904,               0.009395,               0.009395,               0.009395
                     14,                 0.9661,                 1.2577,                 1.7813,                0.84025,                0.65925,                0.75508,                0.48525,                0.93888,                0.90598,                 1.8879,                0.00934,                0.00934,                0.00934
                     15,                0.95074,                 1.2231,                 1.7635,                0.85786,                0.68605,                0.74772,                0.48851,                0.93894,                0.89369,                 1.8966,               0.009285,               0.009285,               0.009285
                     16,                0.94293,                  1.197,                 1.7526,                0.79583,                0.67665,                0.74454,                0.49023,                0.93352,                0.87156,                 1.8869,                0.00923,                0.00923,                0.00923
                     17,                0.92506,                 1.1572,                 1.7413,                0.83637,                0.66831,                0.74657,                0.50041,                0.89137,                0.83297,                 1.8464,               0.009175,               0.009175,               0.009175
                     18,                   0.92,                 1.1147,                 1.7272,                0.86105,                0.70819,                 0.7544,                0.50506,                0.89987,                0.83222,                 1.8451,                0.00912,                0.00912,                0.00912
                     19,                0.91338,                 1.1117,                  1.718,                0.88184,                0.69774,                0.76049,                 0.5115,                0.87026,                 0.7859,                  1.812,               0.009065,               0.009065,               0.009065
                     20,                0.90336,                  1.088,                 1.7095,                0.87028,                0.75497,                0.80248,                0.51595,                 0.8708,                0.78146,                  1.816,                0.00901,                0.00901,                0.00901
                     21,                0.89761,                 1.0517,                 1.6998,                0.88441,                0.72103,                0.77116,                0.52221,                0.87031,                0.76587,                 1.7965,               0.008955,               0.008955,               0.008955
                     22,                0.88913,                 1.0456,                   1.69,                0.88356,                0.72763,                0.78829,                0.52713,                0.87043,                0.74859,                  1.803,                 0.0089,                 0.0089,                 0.0089
                     23,                0.88468,                 1.0283,                 1.6829,                0.89027,                0.74897,                0.81147,                0.53711,                0.86591,                0.72707,                 1.7964,               0.008845,               0.008845,               0.008845
                     24,                0.87617,                  1.012,                 1.6766,                0.89042,                 0.7732,                0.83756,                0.56672,                0.86328,                0.72233,                 1.7906,                0.00879,                0.00879,                0.00879
                     25,                0.86643,                0.99718,                 1.6641,                0.85049,                0.78596,                0.82894,                0.55902,                0.85632,                0.71835,                 1.7882,               0.008735,               0.008735,               0.008735
                     26,                0.85754,                0.97325,                 1.6532,                0.90843,                0.75528,                0.83827,                0.55755,                0.87006,                0.69438,                 1.7938,                0.00868,                0.00868,                0.00868
                     27,                0.85038,                0.96819,                 1.6474,                0.85993,                0.81251,                0.83529,                0.56517,                0.84006,                0.69572,                 1.7633,               0.008625,               0.008625,               0.008625
                     28,                0.84835,                 0.9534,                  1.642,                0.90276,                0.77404,                 0.8222,                0.55175,                0.85348,                0.68919,                 1.7723,                0.00857,                0.00857,                0.00857
                     29,                0.85026,                0.93739,                 1.6377,                0.90098,                0.77673,                 0.8284,                0.55915,                 0.8509,                0.67774,                 1.7672,               0.008515,               0.008515,               0.008515
                     30,                0.83367,                0.94389,                 1.6318,                0.89535,                0.77765,                0.82104,                0.55354,                0.84289,                0.67053,                 1.7677,                0.00846,                0.00846,                0.00846
                     31,                0.84047,                0.93018,                 1.6319,                0.89397,                0.76338,                0.84339,                0.57725,                0.83952,                0.66663,                 1.7614,               0.008405,               0.008405,               0.008405
                     32,                0.82826,                0.90433,                 1.6142,                 0.9217,                0.80704,                0.86034,                0.57699,                0.85218,                0.65453,                 1.7602,                0.00835,                0.00835,                0.00835
                     33,                0.82684,                0.90085,                 1.6192,                0.90007,                0.82929,                0.85955,                0.57571,                 0.8474,                0.63697,                 1.7619,               0.008295,               0.008295,               0.008295
                     34,                0.82109,                0.88922,                 1.6119,                0.90909,                0.80796,                0.85714,                0.58281,                0.84269,                0.64407,                 1.7501,                0.00824,                0.00824,                0.00824
                     35,                0.82555,                0.88506,                 1.6134,                0.90892,                0.81356,                0.85912,                0.58629,                0.83387,                0.63169,                 1.7421,               0.008185,               0.008185,               0.008185
                     36,                0.81817,                0.87921,                 1.6063,                0.90667,                0.82782,                0.86014,                0.58308,                0.83509,                0.62437,                 1.7407,                0.00813,                0.00813,                0.00813
                     37,                0.80738,                 0.8695,                  1.592,                0.91303,                0.82419,                0.86676,                0.58337,                0.83124,                0.63013,                 1.7385,               0.008075,               0.008075,               0.008075
                     38,                0.80224,                0.85328,                 1.5948,                0.93108,                0.81613,                0.87097,                 0.5921,                0.82371,                0.61449,                 1.7374,                0.00802,                0.00802,                0.00802
                     39,                0.80133,                0.85248,                 1.5934,                0.92873,                0.81426,                 0.8682,                0.58689,                0.82582,                  0.618,                 1.7368,               0.007965,               0.007965,               0.007965
                     40,                0.79781,                0.85026,                 1.5868,                0.90446,                0.81472,                0.85538,                0.58306,                0.82982,                0.61849,                 1.7391,                0.00791,                0.00791,                0.00791
                     41,                0.79717,                0.84983,                 1.5894,                0.91878,                0.82603,                0.86766,                0.58318,                0.82278,                0.61324,                 1.7354,               0.007855,               0.007855,               0.007855
                     42,                0.79325,                0.83453,                 1.5835,                0.92781,                0.82368,                 0.8687,                 0.5943,                0.81731,                0.61074,                 1.7305,                 0.0078,                 0.0078,                 0.0078
                     43,                0.79325,                0.82785,                 1.5834,                0.93685,                0.81781,                0.86587,                0.59463,                0.81455,                0.60439,                 1.7252,               0.007745,               0.007745,               0.007745
                     44,                0.78646,                0.81477,                 1.5717,                0.93671,                0.81732,                0.86604,                 0.5986,                0.81715,                0.59852,                 1.7259,                0.00769,                0.00769,                0.00769
                     45,                0.78616,                0.81465,                 1.5711,                0.92777,                0.82685,                0.86608,                0.59556,                0.81752,                0.59914,                 1.7243,               0.007635,               0.007635,               0.007635
                     46,                0.78273,                0.81034,                 1.5638,                0.92652,                0.83025,                0.87278,                 0.5964,                0.81922,                0.59822,                 1.7256,                0.00758,                0.00758,                0.00758
                     47,                0.77865,                0.79988,                 1.5678,                0.92621,                0.82978,                0.87462,                0.59379,                0.81824,                0.59863,                 1.7246,               0.007525,               0.007525,               0.007525
                     48,                0.77583,                0.79939,                 1.5608,                 0.9294,                0.82178,                0.87289,                0.59504,                0.81723,                0.59699,                 1.7243,                0.00747,                0.00747,                0.00747
                     49,                0.77274,                0.78496,                 1.5577,                0.93112,                0.82119,                0.87278,                0.59514,                0.81699,                0.59387,                 1.7227,               0.007415,               0.007415,               0.007415
                     50,                0.76942,                0.78621,                 1.5578,                0.92984,                0.81882,                0.87162,                 0.5966,                0.81903,                0.59034,                 1.7222,                0.00736,                0.00736,                0.00736
                     51,                0.76063,                0.78164,                 1.5448,                0.93184,                0.81984,                0.87414,                0.59726,                0.81729,                0.58812,                 1.7214,               0.007305,               0.007305,               0.007305
                     52,                0.75571,                0.77381,                 1.5452,                0.93347,                0.81975,                0.87372,                0.59808,                0.81799,                0.58663,                 1.7234,                0.00725,                0.00725,                0.00725
