                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63448,                0.65887,                 1.4842,                0.89801,                0.82527,                 0.9328,                0.60369,                0.87548,                0.61524,                 1.7583,              0.0033305,              0.0033305,              0.0033305
                      2,                0.69767,                0.67766,                 1.4879,                0.87436,                0.81886,                0.90044,                 0.5883,                0.89692,                0.63785,                 1.7854,              0.0066272,              0.0066272,              0.0066272
                      3,                0.74034,                0.74527,                 1.5282,                0.85288,                0.82162,                0.85039,                0.54416,                0.97137,                0.73569,                 1.8566,              0.0098872,              0.0098872,              0.0098872
                      4,                0.80139,                0.84057,                 1.5803,                0.89858,                0.73261,                0.83439,                0.55169,                0.92809,                0.71574,                 1.8254,               0.009835,               0.009835,               0.009835
                      5,                0.80757,                0.87006,                 1.5854,                 0.9135,                0.75437,                0.82849,                0.53412,                0.94109,                0.75402,                 1.8267,               0.009835,               0.009835,               0.009835
                      6,                0.79932,                  0.853,                 1.5783,                0.89895,                0.71828,                0.80341,                0.53092,                0.94119,                0.75109,                 1.8282,                0.00978,                0.00978,                0.00978
                      7,                0.79893,                0.85004,                 1.5723,                0.88606,                0.71589,                0.85554,                0.53904,                0.91361,                0.71513,                 1.7977,               0.009725,               0.009725,               0.009725
                      8,                0.79721,                0.84245,                 1.5712,                0.88611,                0.75627,                0.84198,                0.54755,                0.96025,                0.72778,                 1.8302,                0.00967,                0.00967,                0.00967
                      9,                0.79766,                0.83578,                 1.5721,                 0.9127,                0.71114,                0.81857,                0.54086,                0.91111,                0.70397,                 1.7817,               0.009615,               0.009615,               0.009615
                     10,                0.78437,                0.82589,                 1.5598,                 0.9111,                0.78437,                 0.8446,                0.54872,                0.92354,                 0.7211,                 1.7996,                0.00956,                0.00956,                0.00956
                     11,                0.79001,                0.83478,                 1.5574,                0.88103,                0.78366,                0.84635,                 0.5497,                0.91408,                0.70557,                 1.7852,               0.009505,               0.009505,               0.009505
                     12,                0.77955,                0.81626,                 1.5568,                0.88294,                0.79601,                0.92292,                0.57932,                 0.8982,                 0.6854,                 1.7866,                0.00945,                0.00945,                0.00945
                     13,                0.77673,                0.81323,                 1.5569,                 0.9242,                0.72631,                0.81678,                0.54582,                0.89607,                0.65808,                  1.768,               0.009395,               0.009395,               0.009395
