                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.60576,                0.65862,                 1.4837,                0.89979,                0.82978,                0.93311,                0.60125,                0.87055,                0.61281,                 1.7629,              0.0033305,              0.0033305,              0.0033305
                      2,                0.69681,                0.67846,                 1.4878,                0.90911,                0.78422,                0.92077,                 0.5863,                0.89032,                0.63759,                 1.7718,              0.0066272,              0.0066272,              0.0066272
                      3,                0.73917,                0.74634,                 1.5233,                  0.912,                0.79149,                0.91085,                 0.5544,                0.94216,                0.73316,                 1.8321,              0.0098872,              0.0098872,              0.0098872
                      4,                0.80036,                0.83979,                 1.5818,                0.90364,                0.76582,                0.83915,                0.54139,                0.92929,                0.72695,                 1.8293,               0.009835,               0.009835,               0.009835
                      5,                0.80859,                0.86709,                  1.581,                0.88023,                0.73969,                0.80679,                0.51794,                0.92986,                 0.7815,                 1.8189,               0.009835,               0.009835,               0.009835
                      6,                0.79694,                0.85046,                 1.5772,                0.90382,                 0.7161,                0.81069,                0.53256,                 0.9294,                0.73032,                 1.8172,                0.00978,                0.00978,                0.00978
                      7,                0.79945,                0.84996,                 1.5738,                0.89573,                0.78929,                0.90789,                0.56199,                0.93423,                0.71913,                 1.8344,               0.009725,               0.009725,               0.009725
                      8,                0.79549,                0.84117,                 1.5729,                0.85739,                0.81139,                0.83782,                0.55295,                0.95211,                0.74511,                 1.8187,                0.00967,                0.00967,                0.00967
                      9,                0.79391,                0.83934,                 1.5762,                0.81554,                0.76705,                0.79475,                0.53287,                0.91378,                0.71914,                 1.8171,               0.009615,               0.009615,               0.009615
                     10,                0.78073,                0.82716,                 1.5626,                 0.8902,                0.80132,                0.90745,                0.56609,                0.89439,                0.69355,                 1.7915,                0.00956,                0.00956,                0.00956
                     11,                0.78939,                0.82985,                 1.5604,                 0.8903,                0.81681,                0.84854,                0.54972,                0.89616,                0.69841,                  1.795,               0.009505,               0.009505,               0.009505
                     12,                0.77989,                0.82033,                 1.5551,                0.89702,                0.79226,                0.85013,                0.56084,                 0.9059,                0.68677,                 1.7929,                0.00945,                0.00945,                0.00945
                     13,                0.77956,                0.81262,                 1.5603,                0.84383,                0.79288,                 0.8352,                0.55555,                0.87238,                0.65267,                 1.7586,               0.009395,               0.009395,               0.009395
                     14,                0.78093,                0.80383,                 1.5602,                0.88219,                0.81129,                0.83514,                0.55742,                0.91069,                0.66474,                 1.7804,                0.00934,                0.00934,                0.00934
                     15,                0.77278,                0.80316,                 1.5476,                 0.9022,                0.82398,                0.85178,                0.56914,                0.90968,                 0.6596,                 1.8164,               0.009285,               0.009285,               0.009285
                     16,                0.77721,                0.80222,                 1.5511,                0.76143,                0.83718,                0.85065,                0.56279,                 0.8794,                0.64765,                 1.7653,                0.00923,                0.00923,                0.00923
                     17,                0.76554,                0.79213,                 1.5474,                0.84784,                0.83335,                0.86682,                 0.5911,                0.87137,                0.63627,                 1.7412,               0.009175,               0.009175,               0.009175
                     18,                0.76138,                0.77943,                 1.5361,                0.90035,                 0.8247,                0.88018,                0.59268,                0.89134,                0.65291,                 1.7685,                0.00912,                0.00912,                0.00912
                     19,                 0.7614,                0.78598,                 1.5351,                0.91831,                 0.7745,                0.86969,                0.57762,                0.85854,                0.63938,                 1.7569,               0.009065,               0.009065,               0.009065
                     20,                0.75619,                0.78131,                 1.5329,                0.85154,                0.85057,                0.86339,                0.59157,                0.86782,                0.61726,                 1.7466,                0.00901,                0.00901,                0.00901
                     21,                0.76052,                0.77453,                 1.5362,                0.86386,                0.80822,                0.85819,                0.58376,                0.86306,                0.61888,                 1.7433,               0.008955,               0.008955,               0.008955
                     22,                0.75357,                0.77305,                 1.5293,                0.91284,                0.83118,                0.87009,                0.59191,                0.86014,                0.61465,                 1.7429,                 0.0089,                 0.0089,                 0.0089
                     23,                0.75009,                0.76748,                 1.5283,                0.90671,                0.82636,                0.87663,                0.60252,                0.86983,                0.59872,                 1.7433,               0.008845,               0.008845,               0.008845
                     24,                 0.7511,                  0.765,                 1.5288,                0.88539,                0.83745,                0.86312,                0.60693,                0.85635,                0.61038,                 1.7222,                0.00879,                0.00879,                0.00879
                     25,                0.74347,                0.75633,                 1.5202,                0.90248,                0.82733,                 0.8655,                0.59155,                0.85666,                 0.6059,                 1.7427,               0.008735,               0.008735,               0.008735
                     26,                0.74203,                0.74795,                 1.5163,                0.92883,                0.80209,                0.87145,                0.58182,                 0.8657,                0.60416,                 1.7489,                0.00868,                0.00868,                0.00868
                     27,                0.73816,                0.74624,                 1.5136,                0.91145,                0.83818,                0.87023,                0.59485,                 0.8599,                0.59074,                 1.7365,               0.008625,               0.008625,               0.008625
                     28,                  0.737,                0.74138,                 1.5166,                0.87254,                0.80381,                0.85849,                0.59615,                0.84735,                0.59139,                  1.738,                0.00857,                0.00857,                0.00857
                     29,                0.73939,                0.74166,                 1.5125,                0.89977,                0.83574,                0.88876,                0.59384,                0.83985,                0.58251,                 1.7216,               0.008515,               0.008515,               0.008515
                     30,                0.73043,                0.74569,                 1.5048,                0.91686,                0.83806,                0.93716,                0.61071,                  0.854,                0.58275,                 1.7408,                0.00846,                0.00846,                0.00846
                     31,                0.73193,                0.74084,                  1.506,                0.91097,                0.83619,                0.89225,                0.61253,                0.85114,                0.58355,                 1.7435,               0.008405,               0.008405,               0.008405
