                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7196,                 6.0868,                 3.9645,                0.87881,                0.02646,                 0.0319,                0.00569,                 2.3206,                 5.0437,                 3.5752,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.9394,                 4.2182,                 2.9099,                0.39393,                0.22748,                0.16754,                0.06594,                 1.6776,                 2.9189,                 2.7951,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.5404,                 2.9968,                 2.4298,                0.32179,                0.34704,                0.25336,                0.11657,                 1.4319,                 2.7086,                 2.5283,              0.0098872,              0.0098872,              0.0098872
                      4,                  1.386,                 2.4181,                 2.2308,                0.53108,                0.38812,                0.42137,                0.23161,                 1.2032,                 1.9837,                 2.2449,               0.009835,               0.009835,               0.009835
                      5,                 1.2633,                 2.1055,                 2.0899,                0.58801,                0.47143,                0.49669,                 0.2979,                 1.1993,                 1.6215,                 2.1924,               0.009835,               0.009835,               0.009835
                      6,                 1.1743,                 1.8789,                  1.998,                0.59753,                0.52061,                0.54688,                0.33906,                 1.0954,                 1.4811,                 2.0828,                0.00978,                0.00978,                0.00978
                      7,                   1.12,                 1.7348,                 1.9341,                0.69251,                0.52268,                0.58924,                0.36886,                 1.0355,                 1.3895,                 2.0212,               0.009725,               0.009725,               0.009725
                      8,                 1.0839,                 1.6056,                 1.8974,                0.67431,                0.55896,                0.62392,                0.39954,                 1.0535,                 1.2233,                 2.0205,                0.00967,                0.00967,                0.00967
                      9,                 1.0627,                 1.5295,                 1.8744,                0.70099,                0.59616,                0.64718,                0.40951,                 1.0412,                 1.1484,                 2.0045,               0.009615,               0.009615,               0.009615
                     10,                 1.0206,                 1.4377,                 1.8329,                0.78247,                0.59699,                0.64767,                0.42166,                 1.0257,                 1.1183,                  1.991,                0.00956,                0.00956,                0.00956
                     11,                 1.0162,                 1.4015,                 1.8203,                0.78771,                0.62536,                0.67009,                0.42926,                0.98768,                 1.0662,                 1.9318,               0.009505,               0.009505,               0.009505
