                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3648,                 5.6436,                  3.896,                0.37617,                0.05347,                0.01387,                0.00322,                 2.4569,                 4.5264,                 3.4816,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.1231,                 3.6259,                 2.7791,                 0.4205,                0.24898,                0.20378,                0.08209,                 1.8123,                  2.835,                 2.7353,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.6384,                 2.5783,                  2.302,                 0.3998,                0.38699,                0.33469,                0.15751,                 1.5432,                  2.114,                 2.4378,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.4833,                  2.164,                 2.1212,                0.57015,                0.38436,                0.44037,                 0.2473,                 1.3218,                 1.8296,                 2.2048,               0.009835,               0.009835,               0.009835
                      5,                 1.3556,                  1.896,                 1.9891,                0.48116,                0.44141,                0.45429,                0.26091,                 1.3866,                 1.7267,                 2.2166,               0.009835,               0.009835,               0.009835
                      6,                 1.2724,                 1.6892,                 1.9145,                0.75497,                  0.483,                0.53951,                0.33582,                  1.196,                 1.3498,                 2.0755,                0.00978,                0.00978,                0.00978
                      7,                 1.2107,                 1.5656,                 1.8575,                0.70206,                 0.5165,                0.56806,                 0.3538,                 1.1895,                 1.3341,                 2.0684,               0.009725,               0.009725,               0.009725
                      8,                 1.1745,                 1.4615,                  1.829,                0.72165,                0.58444,                0.62548,                0.39533,                 1.1499,                 1.2031,                 2.0111,                0.00967,                0.00967,                0.00967
                      9,                 1.1521,                  1.377,                  1.806,                0.78045,                0.58709,                0.62821,                0.39385,                  1.132,                 1.1112,                 1.9828,               0.009615,               0.009615,               0.009615
                     10,                 1.1175,                 1.3057,                 1.7752,                0.77312,                0.58143,                0.66414,                0.43022,                 1.1013,                 1.0744,                 1.9512,                0.00956,                0.00956,                0.00956
                     11,                 1.1054,                 1.2645,                 1.7621,                0.80539,                0.61362,                0.67804,                0.43463,                  1.073,                 1.0256,                 1.9334,               0.009505,               0.009505,               0.009505
                     12,                 1.0785,                 1.2149,                 1.7438,                 0.7452,                0.69722,                0.71962,                0.46427,                 1.0737,                0.98482,                  1.926,                0.00945,                0.00945,                0.00945
                     13,                 1.0655,                 1.1713,                 1.7318,                0.84851,                0.65233,                0.70807,                0.47023,                 1.0247,                0.91469,                 1.8693,               0.009395,               0.009395,               0.009395
                     14,                 1.0534,                 1.1377,                 1.7163,                 0.8342,                 0.6823,                0.73018,                0.48042,                 1.0299,                0.87662,                 1.8692,                0.00934,                0.00934,                0.00934
                     15,                 1.0377,                 1.1087,                 1.7039,                 0.8467,                0.67229,                0.73136,                0.48338,                 1.0227,                0.87439,                 1.8584,               0.009285,               0.009285,               0.009285
                     16,                 1.0392,                 1.0848,                 1.6968,                0.85074,                0.67435,                  0.731,                  0.481,                0.99966,                0.85559,                 1.8465,                0.00923,                0.00923,                0.00923
                     17,                 1.0099,                 1.0548,                  1.682,                0.87452,                  0.662,                0.75803,                0.50351,                 0.9686,                0.82743,                 1.8123,               0.009175,               0.009175,               0.009175
                     18,                  1.001,                  1.026,                 1.6701,                0.87661,                0.69244,                0.76181,                0.49807,                 1.0193,                0.85288,                  1.818,                0.00912,                0.00912,                0.00912
                     19,                 1.0005,                 1.0244,                 1.6637,                0.87763,                0.70091,                0.76206,                0.51267,                0.96765,                0.78303,                 1.7843,               0.009065,               0.009065,               0.009065
                     20,                 0.9906,                 0.9987,                 1.6582,                0.88311,                0.70705,                0.77585,                0.51972,                0.96494,                0.77106,                 1.7894,                0.00901,                0.00901,                0.00901
                     21,                0.98477,                0.97097,                 1.6532,                0.90127,                0.71987,                0.77238,                0.52119,                 0.9624,                0.74066,                 1.7854,               0.008955,               0.008955,               0.008955
                     22,                0.97061,                0.95956,                  1.641,                0.90265,                0.69824,                0.80353,                0.53653,                0.95456,                0.74086,                  1.785,                 0.0089,                 0.0089,                 0.0089
                     23,                0.96196,                0.95197,                 1.6367,                0.90449,                0.72561,                0.78347,                 0.5243,                 0.9505,                0.72893,                 1.7703,               0.008845,               0.008845,               0.008845
                     24,                0.96294,                0.93813,                 1.6356,                0.91809,                0.71373,                0.82118,                0.54637,                 0.9513,                0.71866,                 1.7586,                0.00879,                0.00879,                0.00879
                     25,                0.94734,                0.92114,                 1.6204,                0.90021,                0.72489,                0.82656,                0.55681,                0.94749,                0.69982,                 1.7592,               0.008735,               0.008735,               0.008735
                     26,                0.94228,                 0.9021,                  1.615,                0.88617,                0.76127,                0.81303,                0.54418,                0.95779,                0.69884,                 1.7679,                0.00868,                0.00868,                0.00868
                     27,                0.93612,                0.89985,                 1.6088,                0.81741,                0.79773,                  0.826,                0.55274,                0.93373,                0.68213,                 1.7396,               0.008625,               0.008625,               0.008625
                     28,                0.93403,                0.88319,                  1.609,                0.91728,                0.72435,                0.83198,                0.56011,                0.93524,                0.67987,                  1.742,                0.00857,                0.00857,                0.00857
                     29,                0.93441,                0.87288,                 1.6059,                0.79701,                0.84592,                0.85651,                 0.5666,                0.93894,                0.66281,                 1.7456,               0.008515,               0.008515,               0.008515
                     30,                0.91923,                0.87647,                 1.5968,                0.88003,                0.80914,                0.86553,                0.59498,                0.93546,                 0.6613,                 1.7487,                0.00846,                0.00846,                0.00846
                     31,                0.91978,                0.86008,                 1.5933,                0.92673,                0.78497,                0.86215,                0.59246,                0.93002,                0.65757,                 1.7389,               0.008405,               0.008405,               0.008405
                     32,                0.90954,                0.84409,                 1.5799,                0.90694,                0.80913,                0.86457,                0.59279,                0.92018,                 0.6469,                 1.7271,                0.00835,                0.00835,                0.00835
                     33,                 0.9063,                0.84387,                 1.5805,                0.91974,                0.79168,                 0.8644,                0.59526,                0.92397,                0.64282,                 1.7124,               0.008295,               0.008295,               0.008295
                     34,                0.90236,                0.82682,                 1.5733,                0.93145,                 0.7853,                0.86549,                 0.6007,                0.92252,                   0.64,                 1.7117,                0.00824,                0.00824,                0.00824
                     35,                0.91153,                0.83019,                  1.579,                0.90575,                0.80652,                0.86738,                0.60187,                 0.9171,                 0.6301,                  1.708,               0.008185,               0.008185,               0.008185
                     36,                0.90259,                0.82353,                  1.577,                0.92229,                0.79935,                 0.8706,                0.60246,                0.91846,                0.62686,                 1.7151,                0.00813,                0.00813,                0.00813
                     37,                0.88476,                 0.8087,                 1.5618,                0.92106,                0.80641,                 0.8733,                0.60222,                0.91398,                0.62721,                 1.7091,               0.008075,               0.008075,               0.008075
                     38,                0.87898,                0.79899,                 1.5551,                0.91937,                0.81082,                0.86946,                0.60357,                0.90608,                0.62291,                 1.7001,                0.00802,                0.00802,                0.00802
