                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6908,                 6.0436,                 3.9411,                0.59014,                0.05418,                0.04214,                0.01127,                 2.2406,                 4.4697,                 3.4268,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.9478,                 4.1913,                 2.9103,                0.36347,                0.16523,                0.12045,                0.05114,                 1.7787,                 3.4573,                 2.9507,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.5411,                 3.0106,                 2.4467,                0.37906,                0.36372,                0.27869,                0.13126,                 1.4091,                  2.613,                 2.5103,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.3827,                 2.4391,                 2.2528,                0.45789,                 0.4451,                0.41756,                0.23984,                 1.1793,                 1.8404,                 2.2772,               0.009835,               0.009835,               0.009835
                      5,                 1.2642,                 2.1199,                 2.1066,                0.58442,                0.48393,                0.50233,                0.30205,                 1.1956,                 1.6632,                 2.1977,               0.009835,               0.009835,               0.009835
                      6,                 1.1811,                 1.9062,                 2.0206,                0.66342,                0.48414,                0.53794,                0.33579,                 1.0774,                 1.4606,                 2.1039,                0.00978,                0.00978,                0.00978
                      7,                 1.1278,                 1.7603,                 1.9553,                0.72743,                0.49409,                0.59745,                0.37746,                 1.0461,                 1.3543,                 2.0796,               0.009725,               0.009725,               0.009725
                      8,                 1.0898,                 1.6416,                  1.918,                0.71479,                0.57484,                0.64065,                0.40505,                 1.0275,                 1.2683,                 2.0233,                0.00967,                0.00967,                0.00967
                      9,                 1.0702,                 1.5556,                 1.8946,                0.69336,                0.60914,                0.64243,                0.40529,                 1.0324,                 1.1525,                 2.0041,               0.009615,               0.009615,               0.009615
                     10,                 1.0258,                 1.4609,                 1.8521,                0.71976,                0.59414,                0.65354,                0.42491,                0.99967,                 1.1089,                 1.9897,                0.00956,                0.00956,                0.00956
                     11,                 1.0254,                 1.4191,                 1.8333,                0.68969,                0.61023,                0.66917,                0.42652,                0.98322,                 1.0728,                 1.9466,               0.009505,               0.009505,               0.009505
                     12,                0.99644,                 1.3603,                 1.8068,                0.72768,                0.64488,                 0.6957,                0.45453,                0.96266,                 1.0007,                 1.9319,                0.00945,                0.00945,                0.00945
                     13,                0.97737,                 1.3012,                 1.7916,                0.81485,                0.65245,                 0.7081,                0.46444,                0.93808,                0.95947,                 1.9115,               0.009395,               0.009395,               0.009395
                     14,                0.96758,                 1.2605,                 1.7736,                0.75841,                0.66486,                0.71554,                 0.4722,                0.94426,                0.92037,                 1.9002,                0.00934,                0.00934,                0.00934
                     15,                0.95327,                 1.2285,                 1.7592,                0.77456,                0.66145,                0.72965,                0.47929,                0.94535,                  0.912,                 1.8894,               0.009285,               0.009285,               0.009285
                     16,                0.94671,                 1.2013,                 1.7504,                0.79459,                0.67839,                0.73213,                0.48114,                  0.923,                0.87703,                 1.8842,                0.00923,                0.00923,                0.00923
                     17,                0.92325,                  1.159,                 1.7314,                0.86138,                0.68103,                0.75243,                 0.4958,                0.89434,                0.85465,                 1.8433,               0.009175,               0.009175,               0.009175
                     18,                 0.9177,                 1.1224,                 1.7241,                0.89366,                0.67887,                 0.7646,                0.50218,                0.91576,                0.83275,                 1.8544,                0.00912,                0.00912,                0.00912
                     19,                 0.9148,                 1.1221,                 1.7176,                0.88894,                0.70948,                 0.7794,                0.52128,                0.87356,                0.78357,                   1.82,               0.009065,               0.009065,               0.009065
                     20,                0.90279,                 1.0965,                 1.7078,                0.85829,                0.73089,                 0.7723,                0.51462,                0.89502,                0.79411,                 1.8333,                0.00901,                0.00901,                0.00901
                     21,                0.90189,                 1.0664,                 1.7025,                0.88772,                0.72069,                0.76916,                 0.5236,                0.88124,                 0.7695,                 1.8128,               0.008955,               0.008955,               0.008955
