                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4038,                 6.0662,                 3.9562,                0.55947,                0.05601,                0.02794,                0.00554,                 2.1205,                 4.9228,                 3.6821,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.7792,                 4.1878,                 2.9091,                0.39442,                0.22733,                0.15969,                0.06274,                 1.5441,                 2.8615,                 2.7879,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.4567,                 2.9991,                 2.4427,                0.42742,                0.34756,                0.32206,                0.15757,                 1.3917,                  2.358,                 2.5171,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.3585,                 2.4361,                 2.2523,                0.58198,                 0.4223,                0.43993,                0.24579,                 1.1606,                 1.8814,                 2.2556,               0.009835,               0.009835,               0.009835
                      5,                 1.2542,                 2.1264,                 2.1163,                0.57819,                0.47365,                0.50092,                 0.3017,                 1.1483,                 1.6624,                 2.1805,               0.009835,               0.009835,               0.009835
                      6,                 1.1753,                  1.906,                 2.0247,                0.64012,                0.47907,                0.54166,                0.33459,                  1.076,                 1.4518,                 2.1066,                0.00978,                0.00978,                0.00978
                      7,                  1.121,                 1.7547,                 1.9491,                0.75401,                0.51247,                0.59069,                0.36762,                 1.0522,                 1.3812,                 2.0797,               0.009725,               0.009725,               0.009725
                      8,                 1.0836,                 1.6298,                 1.9082,                0.73468,                0.57948,                0.65073,                0.40964,                 1.0259,                  1.189,                 1.9855,                0.00967,                0.00967,                0.00967
                      9,                 1.0641,                 1.5455,                 1.8773,                0.78824,                0.59487,                0.64287,                0.40196,                   1.02,                 1.1722,                 2.0016,               0.009615,               0.009615,               0.009615
                     10,                 1.0271,                 1.4572,                 1.8461,                0.82621,                0.59845,                0.67485,                0.43683,                 1.0112,                 1.0867,                 1.9819,                0.00956,                0.00956,                0.00956
                     11,                 1.0191,                 1.4011,                 1.8238,                0.70835,                 0.6439,                0.67222,                0.42917,                0.97515,                 1.0723,                 1.9363,               0.009505,               0.009505,               0.009505
                     12,                 0.9956,                  1.347,                 1.7974,                0.82364,                0.64766,                0.70111,                0.45976,                0.95748,                 0.9899,                 1.8988,                0.00945,                0.00945,                0.00945
                     13,                0.97638,                 1.2929,                  1.783,                0.85907,                0.64776,                0.71714,                0.47214,                0.92267,                0.92551,                 1.8857,               0.009395,               0.009395,               0.009395
                     14,                0.96467,                 1.2578,                 1.7633,                0.86174,                0.67396,                0.76451,                0.48991,                0.94213,                 0.9018,                 1.8834,                0.00934,                0.00934,                0.00934
                     15,                0.95616,                   1.22,                  1.755,                 0.7682,                0.69926,                0.74782,                0.48981,                0.93114,                0.90994,                 1.8619,               0.009285,               0.009285,               0.009285
                     16,                0.94358,                 1.1914,                  1.741,                0.78775,                0.70898,                0.74794,                0.49684,                0.91722,                0.84655,                 1.8561,                0.00923,                0.00923,                0.00923
                     17,                0.92691,                 1.1545,                 1.7255,                0.86222,                0.66217,                0.73811,                0.49146,                0.90462,                0.84285,                 1.8358,               0.009175,               0.009175,               0.009175
                     18,                0.91975,                 1.1158,                 1.7149,                0.86524,                0.68337,                0.75262,                0.49754,                0.88974,                0.83486,                 1.8291,                0.00912,                0.00912,                0.00912
                     19,                0.91391,                 1.1105,                 1.7107,                0.78774,                0.77029,                0.79526,                0.52232,                 0.8694,                0.77969,                 1.8046,               0.009065,               0.009065,               0.009065
                     20,                0.90672,                 1.0901,                  1.699,                0.78042,                0.77338,                0.77872,                0.51651,                0.88407,                0.78389,                 1.8118,                0.00901,                0.00901,                0.00901
                     21,                0.90081,                 1.0557,                 1.6908,                0.84522,                0.75193,                0.80681,                0.52992,                0.86125,                0.76073,                 1.7814,               0.008955,               0.008955,               0.008955
                     22,                 0.8912,                  1.046,                 1.6765,                0.89802,                0.71415,                0.78357,                 0.5284,                0.85988,                0.75355,                 1.7722,                 0.0089,                 0.0089,                 0.0089
                     23,                0.88727,                 1.0318,                 1.6756,                0.87248,                0.75117,                0.81388,                0.54125,                0.84727,                0.74592,                   1.78,               0.008845,               0.008845,               0.008845
                     24,                0.88111,                 1.0142,                  1.672,                0.77339,                0.79518,                0.81262,                0.54891,                0.85329,                0.72146,                 1.7651,                0.00879,                0.00879,                0.00879
                     25,                0.86383,                0.99331,                 1.6581,                0.90467,                0.74637,                 0.8294,                0.55464,                0.84829,                0.71236,                 1.7801,               0.008735,               0.008735,               0.008735
                     26,                0.85957,                0.97213,                 1.6438,                0.85492,                0.78923,                0.83445,                0.56396,                0.84665,                0.69258,                 1.7598,                0.00868,                0.00868,                0.00868
                     27,                0.85464,                0.96675,                 1.6392,                0.89353,                0.77837,                0.82364,                0.55201,                0.83203,                0.68579,                 1.7449,               0.008625,               0.008625,               0.008625
                     28,                0.85073,                0.95835,                 1.6378,                0.82072,                0.81101,                0.83637,                 0.5601,                0.82841,                0.68745,                 1.7406,                0.00857,                0.00857,                0.00857
                     29,                0.84883,                0.94309,                 1.6317,                 0.9326,                0.73141,                0.84973,                0.57177,                0.83021,                0.67481,                 1.7439,               0.008515,               0.008515,               0.008515
                     30,                0.84076,                0.94331,                 1.6278,                  0.897,                0.77894,                0.82958,                0.55917,                0.83077,                 0.6797,                   1.75,                0.00846,                0.00846,                0.00846
                     31,                 0.8375,                0.92805,                 1.6179,                0.93267,                0.75565,                0.84299,                0.57438,                0.82481,                0.66221,                 1.7311,               0.008405,               0.008405,               0.008405
                     32,                0.83049,                0.90949,                 1.6089,                0.90268,                0.82049,                 0.8614,                0.56176,                0.82367,                0.66828,                 1.7207,                0.00835,                0.00835,                0.00835
                     33,                0.82765,                0.90588,                 1.6132,                0.89692,                0.81811,                0.86692,                0.57651,                0.83882,                0.65945,                 1.7377,               0.008295,               0.008295,               0.008295
                     34,                0.81907,                0.88966,                 1.6042,                0.90417,                 0.8162,                0.87267,                0.58806,                0.82356,                0.64939,                 1.7301,                0.00824,                0.00824,                0.00824
                     35,                0.82709,                0.89868,                 1.6092,                0.92315,                0.81652,                0.86951,                0.58349,                 0.8275,                0.64157,                 1.7336,               0.008185,               0.008185,               0.008185
                     36,                0.82194,                0.88069,                  1.603,                0.93389,                0.79895,                0.87264,                0.59267,                0.82946,                 0.6342,                 1.7303,                0.00813,                0.00813,                0.00813
                     37,                0.80681,                0.86687,                 1.5914,                0.92551,                0.81091,                0.87225,                0.59067,                0.82875,                0.63037,                 1.7339,               0.008075,               0.008075,               0.008075
                     38,                0.80588,                 0.8593,                 1.5897,                0.93928,                0.80475,                0.88487,                0.59816,                 0.8301,                0.62433,                 1.7368,                0.00802,                0.00802,                0.00802
                     39,                 0.8015,                0.85382,                  1.584,                0.91917,                0.82076,                0.88421,                0.59762,                0.83424,                0.61684,                 1.7387,               0.007965,               0.007965,               0.007965
                     40,                0.79983,                0.85342,                 1.5839,                 0.9433,                 0.7892,                0.89028,                0.60031,                0.83297,                0.61112,                 1.7361,                0.00791,                0.00791,                0.00791
                     41,                0.79735,                0.85222,                 1.5817,                0.92186,                0.82369,                0.90278,                0.60178,                0.83135,                0.60882,                 1.7374,               0.007855,               0.007855,               0.007855
                     42,                0.79304,                0.83755,                 1.5812,                 0.9226,                0.77503,                0.89246,                0.60171,                0.82884,                0.60689,                  1.738,                 0.0078,                 0.0078,                 0.0078
                     43,                0.79184,                 0.8344,                 1.5784,                0.90944,                0.82996,                0.90336,                0.60326,                0.83005,                0.60337,                 1.7395,               0.007745,               0.007745,               0.007745
                     44,                0.78494,                0.82139,                 1.5647,                0.92024,                0.82973,                  0.905,                0.60245,                0.82813,                0.60008,                 1.7365,                0.00769,                0.00769,                0.00769
                     45,                0.78599,                0.82496,                 1.5702,                0.93211,                0.82317,                0.90648,                0.60348,                0.82332,                0.59433,                 1.7315,               0.007635,               0.007635,               0.007635
                     46,                0.78415,                0.81555,                 1.5649,                0.93138,                0.82791,                 0.9085,                0.61375,                0.82396,                0.59093,                 1.7318,                0.00758,                0.00758,                0.00758
                     47,                0.77817,                0.81049,                 1.5644,                0.92496,                0.82949,                0.90815,                0.61226,                0.82104,                0.59235,                 1.7293,               0.007525,               0.007525,               0.007525
                     48,                0.78174,                 0.8065,                 1.5618,                 0.9375,                0.82369,                0.90801,                0.61312,                0.81889,                0.58993,                 1.7278,                0.00747,                0.00747,                0.00747
                     49,                0.77551,                0.79434,                 1.5557,                0.93768,                0.82628,                0.94352,                0.61081,                0.81869,                0.58686,                 1.7255,               0.007415,               0.007415,               0.007415
                     50,                 0.7725,                0.78794,                  1.558,                0.94354,                0.82282,                0.94421,                0.61833,                0.81673,                0.58417,                 1.7246,                0.00736,                0.00736,                0.00736
