                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2337,                 5.5544,                 3.8178,                0.56029,                0.04574,                0.03832,                0.00752,                 2.4759,                 4.7071,                 3.4121,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.0433,                 3.5254,                 2.7027,                0.51496,                  0.206,                0.24807,                0.10432,                 1.7895,                 2.5183,                 2.7127,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.6053,                 2.5265,                  2.265,                0.46837,                0.38192,                0.36887,                 0.2108,                 1.4886,                  2.075,                 2.4046,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.4478,                 2.0822,                 2.0848,                0.56686,                0.44697,                0.48196,                0.28502,                 1.2748,                 1.7141,                 2.1642,               0.009835,               0.009835,               0.009835
                      5,                   1.33,                 1.8222,                 1.9587,                0.67901,                0.50899,                0.54319,                0.32797,                 1.2752,                 1.4777,                  2.135,               0.009835,               0.009835,               0.009835
                      6,                  1.247,                 1.6303,                  1.893,                0.78894,                0.52455,                0.59453,                0.37242,                 1.1582,                 1.2932,                 2.0316,                0.00978,                0.00978,                0.00978
                      7,                  1.194,                 1.5012,                 1.8378,                0.74744,                0.60432,                0.63712,                0.39939,                 1.1224,                 1.1756,                 1.9953,               0.009725,               0.009725,               0.009725
                      8,                 1.1646,                 1.4082,                  1.812,                0.79644,                0.59138,                0.65232,                0.41637,                 1.1206,                   1.12,                 1.9593,                0.00967,                0.00967,                0.00967
                      9,                 1.1455,                  1.333,                 1.7958,                0.78159,                 0.6232,                0.65538,                0.41275,                 1.1122,                 1.0678,                 1.9661,               0.009615,               0.009615,               0.009615
                     10,                 1.1079,                 1.2707,                 1.7665,                0.81689,                0.63489,                0.68627,                0.44169,                 1.1124,                 1.0118,                 1.9651,                0.00956,                0.00956,                0.00956
                     11,                 1.1054,                 1.2294,                 1.7594,                 0.8173,                0.63023,                 0.6891,                0.44556,                 1.0529,                0.97119,                 1.9223,               0.009505,               0.009505,               0.009505
                     12,                 1.0764,                 1.1881,                 1.7365,                0.73492,                0.70482,                0.72808,                0.47066,                 1.0572,                0.93017,                 1.8947,                0.00945,                0.00945,                0.00945
                     13,                 1.0615,                 1.1451,                 1.7243,                0.78225,                0.67441,                0.73153,                0.48968,                  1.014,                0.90099,                 1.8508,               0.009395,               0.009395,               0.009395
                     14,                 1.0468,                 1.1073,                 1.7074,                0.86341,                 0.6621,                0.72983,                0.48194,                   1.02,                0.85907,                 1.8672,                0.00934,                0.00934,                0.00934
                     15,                 1.0323,                 1.0849,                 1.6941,                0.77856,                 0.6798,                0.73589,                0.48575,                 1.0193,                0.84554,                 1.8588,               0.009285,               0.009285,               0.009285
                     16,                 1.0274,                 1.0614,                 1.6873,                0.87809,                0.68577,                 0.7518,                0.49385,                 1.0053,                0.81982,                 1.8451,                0.00923,                0.00923,                0.00923
                     17,                 1.0079,                 1.0344,                 1.6759,                0.88823,                0.66922,                0.76555,                0.50728,                0.99241,                0.80628,                 1.8169,               0.009175,               0.009175,               0.009175
                     18,                 1.0013,                 1.0069,                 1.6651,                0.85903,                0.70458,                0.76746,                0.51524,                 1.0046,                0.77889,                 1.8121,                0.00912,                0.00912,                0.00912
                     19,                 0.9947,                 0.9969,                 1.6572,                0.89624,                0.69822,                0.82456,                0.54821,                0.97383,                0.75849,                    1.8,               0.009065,               0.009065,               0.009065
                     20,                0.97903,                0.97774,                   1.65,                0.90197,                0.69951,                 0.8031,                0.52686,                0.97118,                 0.7456,                 1.8004,                0.00901,                0.00901,                0.00901
                     21,                0.97747,                0.95199,                 1.6432,                0.88087,                0.71441,                0.82387,                0.55403,                0.97186,                0.74827,                 1.7848,               0.008955,               0.008955,               0.008955
                     22,                0.96758,                0.94559,                 1.6361,                0.85091,                0.76121,                 0.8238,                 0.5636,                0.95806,                0.72311,                 1.7911,                 0.0089,                 0.0089,                 0.0089
                     23,                 0.9626,                0.93182,                 1.6318,                0.80292,                0.75693,                0.84359,                0.56902,                0.95703,                0.70242,                 1.7774,               0.008845,               0.008845,               0.008845
