                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3752,                 5.6577,                 3.8835,                0.81195,                0.02832,                0.03691,                0.00835,                 2.8302,                 4.5031,                 3.7149,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.3813,                 3.8209,                 2.8048,                 0.3039,                0.19368,                0.15394,                0.05752,                 2.1726,                  2.962,                 2.7748,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.9048,                  2.685,                 2.2911,                0.43665,                0.32284,                0.30908,                0.16257,                 1.8601,                 2.4416,                 2.4281,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.7203,                 2.1953,                 2.0756,                0.55058,                0.45813,                0.46126,                0.27108,                 1.5957,                 1.7276,                 2.1317,               0.009835,               0.009835,               0.009835
                      5,                 1.5998,                 1.9287,                 1.9488,                 0.5681,                 0.4795,                0.49115,                0.29228,                 1.6305,                   1.69,                 2.1474,               0.009835,               0.009835,               0.009835
                      6,                  1.517,                   1.73,                 1.8791,                0.76403,                 0.4862,                 0.5415,                0.33763,                 1.5286,                 1.5024,                 2.0479,                0.00978,                0.00978,                0.00978
                      7,                 1.4656,                 1.6045,                 1.8264,                0.76035,                0.54742,                 0.5894,                0.36532,                 1.4897,                 1.3348,                 1.9932,               0.009725,               0.009725,               0.009725
                      8,                 1.4279,                 1.5021,                 1.7948,                0.77356,                0.57143,                0.62811,                0.40061,                 1.4404,                  1.227,                 1.9265,                0.00967,                0.00967,                0.00967
                      9,                 1.4069,                 1.4263,                 1.7764,                0.76957,                0.56872,                 0.6316,                 0.3982,                 1.4385,                 1.2072,                 1.9283,               0.009615,               0.009615,               0.009615
                     10,                  1.373,                 1.3612,                 1.7479,                0.74027,                0.59789,                0.66108,                0.42474,                 1.4058,                 1.1154,                 1.9051,                0.00956,                0.00956,                0.00956
                     11,                 1.3627,                 1.3124,                 1.7361,                0.76088,                0.58026,                0.63732,                0.40848,                 1.3746,                 1.1239,                  1.856,               0.009505,               0.009505,               0.009505
