                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3162,                 5.6065,                 3.8736,                0.76158,                0.05362,                0.02676,                0.00585,                 2.7517,                 4.4508,                 3.7235,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.1784,                 3.7432,                  2.807,                0.28683,                0.19254,                0.13027,                0.04826,                 1.9069,                 3.0155,                 2.8287,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.6821,                 2.6386,                 2.3238,                 0.3909,                0.36251,                0.32167,                  0.161,                 1.5986,                 2.2512,                 2.4621,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.4965,                 2.1695,                 2.1122,                0.52902,                0.43123,                0.43023,                0.24626,                 1.3629,                 1.8451,                 2.2239,               0.009835,               0.009835,               0.009835
                      5,                 1.3654,                 1.8926,                   1.98,                 0.6513,                0.46733,                  0.493,                 0.2924,                 1.3854,                 1.6029,                 2.2151,               0.009835,               0.009835,               0.009835
                      6,                 1.2878,                 1.7018,                 1.9171,                0.77307,                0.47056,                0.54751,                0.33533,                  1.227,                 1.4312,                 2.0702,                0.00978,                0.00978,                0.00978
                      7,                 1.2289,                 1.5701,                 1.8567,                0.79618,                0.55928,                0.61426,                 0.3734,                  1.202,                 1.2704,                 2.0593,               0.009725,               0.009725,               0.009725
                      8,                 1.1901,                 1.4728,                 1.8287,                0.78032,                0.58157,                0.64106,                0.40284,                 1.1493,                 1.1807,                 1.9895,                0.00967,                0.00967,                0.00967
                      9,                 1.1706,                 1.3967,                 1.8077,                0.74387,                0.60905,                0.62426,                0.38426,                 1.1732,                 1.1479,                 2.0093,               0.009615,               0.009615,               0.009615
                     10,                 1.1271,                  1.322,                 1.7743,                0.82711,                0.59472,                 0.6623,                0.42299,                 1.1225,                 1.0728,                 1.9464,                0.00956,                0.00956,                0.00956
                     11,                 1.1194,                  1.282,                 1.7642,                0.81796,                 0.5998,                0.66576,                0.42332,                 1.0967,                 1.0539,                 1.9299,               0.009505,               0.009505,               0.009505
                     12,                 1.0912,                 1.2367,                 1.7437,                0.69911,                0.71483,                0.70256,                0.45513,                 1.0701,                0.99804,                 1.9035,                0.00945,                0.00945,                0.00945
                     13,                 1.0706,                 1.1942,                 1.7319,                0.83894,                0.65382,                0.70905,                0.46383,                 1.0465,                0.94053,                 1.8767,               0.009395,               0.009395,               0.009395
                     14,                 1.0629,                 1.1507,                 1.7164,                0.80919,                0.67825,                0.71199,                0.47223,                 1.0364,                0.89122,                 1.8675,                0.00934,                0.00934,                0.00934
                     15,                 1.0442,                 1.1265,                 1.7064,                0.82988,                0.66688,                0.72103,                0.47932,                 1.0257,                0.89806,                 1.8545,               0.009285,               0.009285,               0.009285
                     16,                 1.0408,                 1.1029,                 1.6939,                0.85327,                0.68147,                0.73966,                0.48754,                 1.0019,                0.85782,                 1.8361,                0.00923,                0.00923,                0.00923
                     17,                 1.0177,                 1.0758,                 1.6835,                0.84376,                0.68816,                0.74876,                0.49388,                0.97803,                  0.844,                 1.8149,               0.009175,               0.009175,               0.009175
                     18,                 1.0106,                 1.0443,                 1.6737,                 0.8504,                0.68191,                0.78491,                0.50872,                 1.0002,                0.83152,                 1.8057,                0.00912,                0.00912,                0.00912
                     19,                 1.0058,                 1.0346,                 1.6706,                0.89466,                0.69162,                0.76528,                0.51395,                0.97315,                0.79424,                 1.7995,               0.009065,               0.009065,               0.009065
                     20,                0.99108,                  1.011,                 1.6611,                0.90035,                0.69422,                0.80442,                0.53918,                 0.9546,                0.77524,                 1.7726,                0.00901,                0.00901,                0.00901
                     21,                0.99132,                0.98794,                 1.6544,                0.82254,                0.75068,                0.78514,                 0.5207,                0.96373,                0.77298,                 1.7769,               0.008955,               0.008955,               0.008955
                     22,                0.97659,                0.97859,                 1.6455,                0.79349,                0.78317,                0.82201,                0.54328,                0.96068,                0.74461,                 1.7776,                 0.0089,                 0.0089,                 0.0089
                     23,                0.96631,                0.96249,                 1.6386,                0.88294,                0.74507,                0.81638,                 0.5375,                0.95225,                0.74085,                 1.7683,               0.008845,               0.008845,               0.008845
                     24,                  0.962,                0.94989,                 1.6325,                 0.8912,                0.78484,                0.84361,                0.57184,                0.94541,                0.72173,                 1.7491,                0.00879,                0.00879,                0.00879
                     25,                0.95109,                0.93399,                 1.6211,                 0.8639,                0.78632,                 0.8322,                0.56732,                0.94024,                0.71993,                 1.7582,               0.008735,               0.008735,               0.008735
                     26,                0.94465,                0.91915,                 1.6152,                0.89888,                0.72405,                0.82907,                0.55801,                 0.9458,                0.71299,                 1.7507,                0.00868,                0.00868,                0.00868
                     27,                0.94067,                0.91504,                 1.6061,                0.91846,                0.77417,                0.84321,                0.57603,                 0.9396,                 0.6992,                 1.7401,               0.008625,               0.008625,               0.008625
