                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2914,                 5.5818,                 3.8208,                0.54893,                0.09709,                0.04376,                0.01301,                 2.6309,                  4.174,                 3.3707,              0.0033305,              0.0033305,              0.0033305
                      2,                  2.247,                 3.5563,                 2.6863,                 0.4426,                0.21208,                0.21974,                0.09288,                 2.0108,                 2.6532,                 2.6378,              0.0066272,              0.0066272,              0.0066272
                      3,                  1.838,                 2.5699,                 2.2307,                0.55508,                0.35637,                0.38443,                0.21519,                 1.7577,                 2.0721,                 2.3333,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.6771,                 2.1171,                 2.0424,                0.50172,                0.43021,                0.43789,                0.25874,                 1.6097,                  1.853,                 2.1165,               0.009835,               0.009835,               0.009835
                      5,                 1.5651,                 1.8693,                 1.9199,                0.69794,                0.34364,                0.41366,                0.24635,                 1.6834,                 1.9315,                 2.2159,               0.009835,               0.009835,               0.009835
                      6,                 1.4843,                  1.685,                 1.8521,                0.75288,                0.51857,                0.56533,                0.34971,                 1.4822,                 1.3775,                 2.0008,                0.00978,                0.00978,                0.00978
                      7,                 1.4424,                 1.5643,                  1.808,                0.84219,                0.53589,                0.63331,                0.39063,                 1.4322,                 1.2499,                 1.9692,               0.009725,               0.009725,               0.009725
                      8,                 1.4083,                 1.4569,                 1.7824,                0.80913,                0.57928,                0.64675,                0.41092,                 1.4264,                 1.1706,                 1.9256,                0.00967,                0.00967,                0.00967
                      9,                 1.3888,                 1.3798,                 1.7627,                0.80312,                0.58505,                0.65202,                0.40719,                 1.4297,                  1.161,                 1.9384,               0.009615,               0.009615,               0.009615
                     10,                  1.352,                 1.3116,                 1.7344,                0.75072,                0.64155,                0.69358,                0.44433,                  1.358,                 1.0521,                  1.889,                0.00956,                0.00956,                0.00956
                     11,                 1.3473,                 1.2718,                 1.7269,                0.82048,                0.62066,                0.68177,                 0.4409,                 1.3481,                 1.0243,                 1.8621,               0.009505,               0.009505,               0.009505
                     12,                 1.3185,                 1.2234,                 1.7056,                0.85941,                0.65412,                0.71136,                0.47185,                 1.3395,                0.93396,                 1.8566,                0.00945,                0.00945,                0.00945
                     13,                 1.3044,                 1.1787,                 1.6932,                0.86084,                0.66906,                0.72797,                0.48438,                 1.3101,                0.89332,                 1.8087,               0.009395,               0.009395,               0.009395
                     14,                 1.2946,                 1.1493,                 1.6806,                0.76796,                0.66621,                0.72419,                 0.4788,                 1.3203,                0.88693,                 1.8213,                0.00934,                0.00934,                0.00934
                     15,                 1.2785,                 1.1219,                 1.6627,                0.77081,                0.70054,                0.73785,                0.49082,                 1.2993,                0.87012,                 1.8016,               0.009285,               0.009285,               0.009285
                     16,                  1.276,                 1.0944,                 1.6607,                0.87168,                0.68306,                 0.7476,                0.50017,                 1.2822,                0.82415,                 1.7799,                0.00923,                0.00923,                0.00923
                     17,                 1.2514,                 1.0679,                 1.6451,                0.90719,                0.66658,                0.76239,                0.51388,                  1.269,                0.81777,                 1.7606,               0.009175,               0.009175,               0.009175
                     18,                 1.2473,                 1.0349,                 1.6372,                0.89857,                0.68217,                 0.8162,                0.53122,                 1.2729,                0.80404,                 1.7751,                0.00912,                0.00912,                0.00912
                     19,                 1.2422,                 1.0336,                 1.6319,                0.88593,                0.68407,                0.78376,                0.52589,                 1.2484,                0.78629,                 1.7399,               0.009065,               0.009065,               0.009065
                     20,                 1.2308,                  1.011,                 1.6233,                0.76112,                0.81492,                0.82862,                0.56005,                 1.2547,                0.76547,                 1.7389,                0.00901,                0.00901,                0.00901
                     21,                 1.2314,                0.98661,                 1.6196,                0.78733,                0.76234,                0.78168,                0.52422,                 1.2509,                0.75765,                 1.7186,               0.008955,               0.008955,               0.008955
                     22,                 1.2181,                0.97707,                 1.6054,                0.89863,                 0.7423,                 0.8207,                0.56168,                 1.2455,                0.74136,                 1.7224,                 0.0089,                 0.0089,                 0.0089
                     23,                 1.2096,                0.95927,                 1.6018,                0.83872,                0.77854,                0.83806,                0.56814,                 1.2368,                0.71815,                 1.7144,               0.008845,               0.008845,               0.008845
                     24,                 1.2059,                0.94914,                 1.6035,                0.85858,                0.77121,                0.82767,                0.56944,                 1.2386,                0.71685,                 1.7236,                0.00879,                0.00879,                0.00879
                     25,                  1.196,                0.92819,                 1.5882,                0.90514,                0.79248,                0.84486,                0.57224,                 1.2328,                0.70407,                 1.7199,               0.008735,               0.008735,               0.008735
                     26,                 1.1914,                0.91471,                  1.583,                0.89271,                0.78898,                0.84869,                0.56665,                 1.2403,                0.69529,                 1.7167,                0.00868,                0.00868,                0.00868
                     27,                  1.185,                0.91358,                 1.5739,                0.92057,                0.79267,                0.85753,                0.58757,                 1.2178,                0.68634,                 1.6865,               0.008625,               0.008625,               0.008625
                     28,                 1.1792,                0.89018,                 1.5784,                0.88674,                0.79852,                0.84753,                0.57966,                  1.218,                  0.692,                 1.6989,                0.00857,                0.00857,                0.00857
                     29,                 1.1792,                0.88636,                 1.5691,                0.90569,                 0.7665,                0.85103,                0.58473,                 1.2232,                0.67479,                 1.6992,               0.008515,               0.008515,               0.008515
                     30,                  1.166,                0.88664,                 1.5615,                0.91829,                0.77646,                0.86244,                0.59297,                 1.2142,                0.66018,                 1.6931,                0.00846,                0.00846,                0.00846
                     31,                 1.1683,                0.87149,                 1.5581,                 0.8708,                0.80927,                 0.8573,                0.58654,                 1.1988,                0.66348,                 1.6731,               0.008405,               0.008405,               0.008405
                     32,                 1.1632,                0.85589,                 1.5503,                0.90315,                0.78743,                0.85499,                0.58969,                 1.1984,                0.65347,                 1.6744,                0.00835,                0.00835,                0.00835
                     33,                 1.1582,                0.86025,                 1.5512,                0.86441,                0.81343,                0.85921,                0.59382,                 1.2074,                0.65034,                 1.6752,               0.008295,               0.008295,               0.008295
                     34,                 1.1532,                0.84094,                 1.5501,                0.88459,                0.80576,                0.89237,                0.59823,                 1.2007,                0.64493,                 1.6708,                0.00824,                0.00824,                0.00824
                     35,                 1.1594,                0.84283,                 1.5539,                0.86284,                 0.8218,                0.88566,                 0.5959,                 1.1987,                0.63787,                 1.6685,               0.008185,               0.008185,               0.008185
                     36,                 1.1499,                 0.8357,                 1.5518,                0.88755,                0.81706,                0.87427,                0.59396,                 1.1999,                0.63128,                 1.6784,                0.00813,                0.00813,                0.00813
                     37,                 1.1393,                0.82491,                 1.5388,                 0.9095,                0.80548,                 0.8732,                0.60039,                    1.2,                0.63191,                 1.6769,               0.008075,               0.008075,               0.008075
                     38,                 1.1337,                0.81279,                 1.5363,                0.91034,                0.80524,                 0.8773,                0.60394,                 1.1955,                0.62973,                 1.6715,                0.00802,                0.00802,                0.00802
                     39,                 1.1335,                0.80671,                 1.5347,                0.91075,                0.81149,                0.88583,                0.60544,                 1.1919,                0.62074,                  1.667,               0.007965,               0.007965,               0.007965
                     40,                 1.1343,                0.80498,                 1.5309,                0.91906,                0.81189,                0.87638,                0.60413,                 1.1918,                0.61619,                 1.6653,                0.00791,                0.00791,                0.00791
                     41,                 1.1305,                0.79982,                 1.5257,                0.93759,                0.80119,                 0.8837,                 0.6064,                 1.1921,                0.61274,                 1.6637,               0.007855,               0.007855,               0.007855
                     42,                 1.1255,                0.79182,                 1.5249,                0.93929,                0.80238,                0.88221,                0.60529,                 1.1894,                 0.6073,                 1.6583,                 0.0078,                 0.0078,                 0.0078
