                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6404,                 5.9982,                 3.9166,                0.48763,                0.07623,                0.05751,                0.01726,                 2.2098,                  4.253,                 3.3844,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.9098,                 4.1918,                 2.8833,                0.41089,                0.28401,                0.20422,                0.08735,                 1.5509,                 2.7701,                 2.6543,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.5314,                 3.0272,                 2.4331,                0.34604,                0.36341,                 0.3078,                0.16583,                 1.4053,                 2.3671,                 2.4573,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.3714,                 2.4158,                 2.2117,                0.48916,                0.37812,                0.43743,                0.25973,                 1.1612,                 1.9935,                 2.1389,               0.009835,               0.009835,               0.009835
                      5,                 1.2539,                 2.0973,                 2.0773,                0.67367,                0.42508,                0.49129,                0.29796,                 1.1902,                 1.6577,                  2.134,               0.009835,               0.009835,               0.009835
                      6,                 1.1736,                 1.8799,                 1.9845,                0.70217,                0.49232,                 0.5534,                0.33864,                  1.119,                 1.4688,                 2.0666,                0.00978,                0.00978,                0.00978
                      7,                 1.1257,                 1.7304,                 1.9208,                 0.7453,                0.51909,                0.59074,                0.36704,                 1.1054,                 1.3919,                 2.0537,               0.009725,               0.009725,               0.009725
                      8,                 1.0844,                    1.6,                 1.8796,                0.68907,                0.54904,                0.61698,                 0.3878,                 1.0376,                 1.2264,                 1.9359,                0.00967,                0.00967,                0.00967
                      9,                 1.0651,                 1.5289,                 1.8538,                0.76326,                0.59814,                0.63757,                0.40158,                 1.0603,                 1.2183,                 1.9695,               0.009615,               0.009615,               0.009615
                     10,                 1.0255,                 1.4447,                 1.8132,                0.80843,                0.57802,                0.66228,                0.42916,                 1.0314,                 1.1215,                 1.9299,                0.00956,                0.00956,                0.00956
                     11,                 1.0218,                 1.4009,                 1.7996,                 0.7398,                0.59452,                0.66881,                0.42961,                0.99138,                 1.0938,                 1.8963,               0.009505,               0.009505,               0.009505
                     12,                0.99383,                 1.3346,                 1.7763,                0.82216,                0.65087,                0.70516,                0.46067,                0.97152,                0.99313,                 1.8549,                0.00945,                0.00945,                0.00945
                     13,                0.97531,                 1.2874,                   1.76,                0.85634,                0.66303,                0.72131,                0.47071,                 0.9476,                0.95504,                 1.8176,               0.009395,               0.009395,               0.009395
                     14,                0.96443,                 1.2496,                 1.7413,                0.77399,                0.66431,                0.73308,                0.47421,                0.95468,                0.92359,                 1.8528,                0.00934,                0.00934,                0.00934
                     15,                0.94912,                 1.2215,                 1.7244,                0.84832,                 0.6762,                0.75069,                0.48377,                0.93788,                0.90756,                 1.7945,               0.009285,               0.009285,               0.009285
                     16,                0.94255,                 1.1956,                 1.7146,                0.76612,                0.68052,                0.73352,                0.48458,                0.90396,                0.86189,                 1.7672,                0.00923,                0.00923,                0.00923
                     17,                0.91877,                 1.1544,                 1.6939,                0.88985,                0.68604,                0.75739,                0.50378,                0.88878,                0.84047,                 1.7457,               0.009175,               0.009175,               0.009175
                     18,                0.91342,                 1.1185,                 1.6847,                0.85947,                0.70384,                0.75324,                0.50509,                0.88586,                0.82689,                 1.7482,                0.00912,                0.00912,                0.00912
                     19,                0.91077,                 1.1152,                 1.6764,                0.88221,                0.69337,                0.75759,                0.51029,                0.86982,                0.79543,                 1.7235,               0.009065,               0.009065,               0.009065
                     20,                0.90037,                 1.0956,                 1.6661,                0.89443,                0.69917,                0.77271,                0.52098,                0.86874,                0.77439,                 1.7112,                0.00901,                0.00901,                0.00901
                     21,                0.89612,                 1.0591,                 1.6624,                0.88446,                0.71328,                 0.7689,                0.52396,                0.87354,                0.78216,                 1.7267,               0.008955,               0.008955,               0.008955
                     22,                0.88058,                 1.0488,                 1.6473,                0.90804,                0.72244,                 0.7775,                0.53344,                0.86549,                0.75128,                 1.7159,                 0.0089,                 0.0089,                 0.0089
                     23,                0.87801,                 1.0361,                 1.6446,                 0.8652,                0.76528,                0.81296,                0.53776,                0.84112,                0.72413,                 1.6875,               0.008845,               0.008845,               0.008845
                     24,                0.87188,                 1.0168,                 1.6325,                0.90539,                0.75313,                0.81778,                0.55146,                0.82687,                0.71554,                 1.6566,                0.00879,                0.00879,                0.00879
                     25,                0.85996,                0.99929,                  1.625,                0.89898,                0.75367,                0.81659,                0.54537,                0.83243,                0.71261,                 1.6803,               0.008735,               0.008735,               0.008735
                     26,                0.85586,                0.97549,                 1.6136,                0.90766,                0.73659,                0.82838,                0.55317,                0.85113,                 0.6984,                 1.6824,                0.00868,                0.00868,                0.00868
                     27,                0.84917,                0.97414,                 1.6087,                0.91475,                 0.7688,                0.81481,                0.55208,                0.83958,                0.69553,                 1.6696,               0.008625,               0.008625,               0.008625
                     28,                0.84812,                0.95607,                 1.6064,                0.82449,                0.79534,                0.82791,                0.55726,                0.84242,                0.69067,                  1.676,                0.00857,                0.00857,                0.00857
                     29,                0.84618,                0.94323,                 1.5938,                0.92317,                0.73999,                0.82636,                0.57163,                0.82703,                0.68064,                 1.6514,               0.008515,               0.008515,               0.008515
                     30,                0.83364,                0.94296,                 1.5876,                0.84638,                0.79567,                 0.8273,                0.57009,                0.83585,                0.67405,                 1.6677,                0.00846,                0.00846,                0.00846
                     31,                0.83214,                0.92975,                 1.5818,                0.92486,                 0.7353,                0.81605,                0.56693,                0.82729,                0.66627,                 1.6509,               0.008405,               0.008405,               0.008405
                     32,                 0.8283,                0.91212,                 1.5718,                0.84815,                0.80476,                0.83956,                0.58263,                0.82795,                0.66066,                  1.637,                0.00835,                0.00835,                0.00835
                     33,                0.81854,                0.91308,                 1.5693,                0.82445,                0.80409,                0.82905,                0.58748,                0.82779,                0.64903,                 1.6307,               0.008295,               0.008295,               0.008295
                     34,                0.81741,                0.88673,                 1.5648,                0.88973,                0.77899,                0.83879,                0.57005,                0.81918,                0.65397,                 1.6266,                0.00824,                0.00824,                0.00824
                     35,                0.82546,                0.89686,                 1.5675,                0.91581,                0.77957,                0.84661,                0.58748,                0.81712,                0.64118,                 1.6199,               0.008185,               0.008185,               0.008185
                     36,                0.81365,                0.88452,                 1.5625,                0.90857,                0.80645,                0.87636,                  0.595,                0.81587,                0.63612,                 1.6247,                0.00813,                0.00813,                0.00813
                     37,                0.80141,                0.87089,                 1.5472,                0.91294,                0.80053,                0.87223,                0.59314,                0.80531,                0.63621,                 1.6166,               0.008075,               0.008075,               0.008075
                     38,                0.79873,                0.85749,                 1.5451,                0.92152,                0.80879,                0.87187,                0.59929,                0.80967,                0.62091,                 1.6166,                0.00802,                0.00802,                0.00802
                     39,                  0.796,                0.85515,                 1.5385,                0.92856,                0.80888,                0.86117,                0.60031,                0.80788,                0.62023,                 1.6141,               0.007965,               0.007965,               0.007965
                     40,                0.79965,                0.85113,                   1.54,                0.93412,                 0.8116,                 0.8698,                0.59981,                0.81254,                0.61904,                 1.6205,                0.00791,                0.00791,                0.00791
                     41,                0.79425,                0.84837,                 1.5337,                0.93482,                0.81012,                0.86989,                 0.6007,                0.80715,                0.61988,                 1.6176,               0.007855,               0.007855,               0.007855
                     42,                0.78706,                0.83593,                   1.53,                0.93314,                0.81516,                  0.872,                0.60348,                 0.8047,                0.61377,                  1.612,                 0.0078,                 0.0078,                 0.0078
                     43,                0.78492,                0.82954,                 1.5237,                0.93756,                0.81768,                0.86972,                0.60265,                0.81145,                0.61296,                 1.6095,               0.007745,               0.007745,               0.007745
                     44,                0.78063,                0.81841,                 1.5155,                0.93344,                0.81978,                0.86388,                0.60933,                0.80972,                0.60948,                 1.6076,                0.00769,                0.00769,                0.00769
                     45,                0.78247,                0.82464,                 1.5262,                  0.937,                0.82656,                0.87582,                0.61304,                0.81458,                  0.604,                 1.6131,               0.007635,               0.007635,               0.007635
                     46,                0.77912,                0.81651,                 1.5213,                0.93691,                0.82924,                0.88033,                0.60873,                0.81093,                0.60366,                 1.6133,                0.00758,                0.00758,                0.00758
                     47,                0.77307,                0.80713,                 1.5205,                0.93366,                0.83285,                0.87654,                0.60703,                0.81374,                0.59862,                 1.6174,               0.007525,               0.007525,               0.007525
                     48,                0.77626,                0.80167,                 1.5082,                0.92674,                0.83157,                0.87683,                0.61163,                0.80853,                0.59472,                 1.6135,                0.00747,                0.00747,                0.00747
                     49,                0.76931,                0.78775,                 1.5033,                0.93542,                0.82719,                0.87827,                0.61126,                0.81009,                0.59075,                 1.6104,               0.007415,               0.007415,               0.007415
                     50,                0.76499,                0.78937,                 1.5043,                0.93633,                0.83064,                0.87593,                0.61247,                0.81021,                0.59013,                 1.6094,                0.00736,                0.00736,                0.00736
