                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1349,                  5.339,                 3.7443,                0.46784,                0.08643,                0.05323,                0.01714,                 2.3189,                 4.0209,                 3.3504,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.9839,                 3.4168,                 2.6469,                0.43931,                0.29189,                0.29809,                 0.1281,                  1.725,                  2.594,                 2.6302,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.5782,                 2.4511,                 2.2329,                0.51515,                0.37932,                0.40303,                0.22782,                 1.4586,                 1.9493,                 2.3657,              0.0098872,              0.0098872,              0.0098872
                      4,                  1.448,                 2.0403,                 2.0842,                0.62383,                 0.4573,                0.48223,                0.28095,                 1.2982,                 1.7095,                 2.1761,               0.009835,               0.009835,               0.009835
                      5,                 1.3315,                 1.7768,                  1.968,                0.74312,                0.47716,                0.54193,                0.32305,                 1.3173,                 1.4996,                 2.1819,               0.009835,               0.009835,               0.009835
                      6,                 1.2469,                 1.5862,                 1.9028,                0.76155,                0.53129,                0.58749,                0.36403,                 1.2003,                 1.3042,                 2.0857,                0.00978,                0.00978,                0.00978
                      7,                  1.201,                 1.4581,                  1.859,                0.71867,                0.56762,                0.60676,                 0.3577,                  1.263,                 1.3132,                 2.1329,               0.009725,               0.009725,               0.009725
                      8,                 1.1662,                 1.3671,                 1.8345,                0.84861,                 0.5755,                0.66288,                0.41411,                 1.1552,                 1.1178,                 2.0303,                0.00967,                0.00967,                0.00967
                      9,                 1.1416,                 1.2952,                 1.8096,                0.81932,                0.59779,                0.66678,                0.41511,                 1.1179,                 1.1006,                 1.9963,               0.009615,               0.009615,               0.009615
                     10,                  1.103,                 1.2324,                 1.7783,                0.72205,                 0.6053,                 0.6571,                0.41155,                 1.1094,                 1.0976,                 1.9939,                0.00956,                0.00956,                0.00956
