                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5969,                 8.4127,                 1.2894,                0.78614,                0.00871,                0.00033,                  6e-05,                 1.2875,                0.79881,                 1.0287,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.1303,                0.88014,                0.71612,                0.31529,                0.04681,                0.01485,                0.00773,                 1.2918,                0.80376,                 1.6004,              0.0066272,              0.0066272,              0.0066272
                      3,                0.72907,                 1.0872,                0.36081,                0.32732,                0.10255,                0.05582,                0.03254,                 1.0037,                0.94407,                0.68943,              0.0098872,              0.0098872,              0.0098872
                      4,                0.63247,                 0.9932,                0.29814,                0.48457,                0.37934,                0.33649,                0.20513,                0.50169,                0.97518,                0.26895,               0.009835,               0.009835,               0.009835
                      5,                0.58171,                0.91291,                0.26555,                0.60412,                0.38052,                0.40869,                0.24602,                0.51557,                0.89683,                0.28695,               0.009835,               0.009835,               0.009835
                      6,                0.55089,                0.85127,                0.25162,                0.74774,                0.46411,                0.54072,                0.35137,                0.47254,                0.77452,                0.25142,                0.00978,                0.00978,                0.00978
                      7,                0.52897,                0.80686,                0.23564,                0.79923,                0.54748,                0.61768,                0.39905,                0.45129,                0.71284,                0.24091,               0.009725,               0.009725,               0.009725
                      8,                0.51678,                0.76635,                0.22983,                0.74162,                0.55547,                0.64865,                0.42096,                0.45075,                0.70316,                 0.2407,                0.00967,                0.00967,                0.00967
                      9,                 0.5059,                0.74081,                0.22659,                0.69345,                0.64801,                0.63469,                0.42519,                0.43288,                0.67538,                0.23106,               0.009615,               0.009615,               0.009615
                     10,                 0.4931,                0.71194,                 0.2178,                 0.7375,                0.69959,                0.68926,                0.46258,                0.43552,                0.63772,                0.23172,                0.00956,                0.00956,                0.00956
                     11,                 0.4922,                0.69329,                0.21653,                0.82359,                 0.6475,                0.70318,                 0.4679,                0.42997,                0.60974,                0.22588,               0.009505,               0.009505,               0.009505
