                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3559,                 5.6478,                 3.8836,                0.60767,                 0.0489,                0.01995,                0.00527,                 2.7827,                 4.4169,                 3.5864,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.2834,                 3.6293,                 2.7218,                 0.4574,                   0.22,                 0.2245,                0.09852,                 1.9973,                 2.5946,                 2.6362,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.8592,                 2.5847,                  2.246,                0.39791,                0.40196,                0.33258,                0.17066,                 1.7886,                 2.1147,                 2.3554,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.7027,                 2.1268,                 2.0683,                0.53387,                0.42554,                0.43677,                0.25922,                 1.6137,                 1.8398,                 2.1544,               0.009835,               0.009835,               0.009835
                      5,                 1.5801,                 1.8716,                 1.9359,                0.69279,                0.45871,                0.51803,                0.31428,                  1.577,                 1.5952,                 2.1026,               0.009835,               0.009835,               0.009835
                      6,                 1.4991,                 1.6914,                 1.8648,                0.74949,                0.46347,                0.55105,                 0.3443,                 1.5123,                 1.4211,                 2.0301,                0.00978,                0.00978,                0.00978
                      7,                  1.452,                 1.5675,                 1.8223,                0.75094,                0.54195,                0.60466,                0.38453,                 1.4572,                 1.2653,                 1.9795,               0.009725,               0.009725,               0.009725
                      8,                 1.4139,                 1.4667,                 1.7914,                0.78582,                0.58709,                0.64501,                0.41106,                  1.404,                 1.1784,                 1.9206,                0.00967,                0.00967,                0.00967
                      9,                  1.396,                 1.3875,                 1.7716,                 0.7601,                0.58221,                0.62921,                0.40209,                 1.4093,                 1.1758,                 1.9018,               0.009615,               0.009615,               0.009615
                     10,                 1.3606,                 1.3194,                 1.7434,                0.81812,                0.60073,                0.67286,                0.43296,                  1.379,                 1.0549,                 1.9045,                0.00956,                0.00956,                0.00956
                     11,                 1.3502,                 1.2719,                 1.7297,                 0.7206,                0.65007,                0.68467,                0.44335,                 1.3494,                 0.9933,                 1.8659,               0.009505,               0.009505,               0.009505
                     12,                 1.3243,                 1.2274,                 1.7097,                0.74141,                0.64241,                0.69052,                0.45421,                 1.3403,                0.97948,                 1.8349,                0.00945,                0.00945,                0.00945
                     13,                 1.3084,                 1.1856,                 1.6999,                0.83951,                0.63658,                0.71197,                 0.4775,                 1.2894,                0.91857,                 1.7937,               0.009395,               0.009395,               0.009395
                     14,                 1.2967,                 1.1433,                 1.6837,                0.83154,                0.65022,                0.71134,                0.47036,                 1.3138,                0.89593,                 1.8268,                0.00934,                0.00934,                0.00934
                     15,                 1.2794,                 1.1154,                 1.6691,                0.82804,                0.67021,                0.72396,                0.47761,                 1.3117,                0.89214,                 1.8203,               0.009285,               0.009285,               0.009285
                     16,                 1.2747,                 1.0928,                 1.6666,                0.86363,                0.67238,                0.73709,                0.49251,                 1.3024,                0.85072,                 1.7973,                0.00923,                0.00923,                0.00923
                     17,                 1.2551,                 1.0614,                 1.6535,                0.84741,                0.67992,                0.73881,                0.50001,                 1.2702,                0.83391,                 1.7755,               0.009175,               0.009175,               0.009175
                     18,                 1.2473,                 1.0319,                 1.6427,                0.75749,                0.72755,                0.75814,                0.50195,                 1.2663,                0.82211,                 1.7731,                0.00912,                0.00912,                0.00912
                     19,                 1.2373,                 1.0206,                 1.6341,                0.90124,                0.68127,                 0.7609,                0.50949,                   1.26,                0.78542,                 1.7621,               0.009065,               0.009065,               0.009065
                     20,                 1.2282,                 1.0002,                 1.6268,                 0.8931,                0.68406,                0.75584,                0.50783,                 1.2437,                0.79141,                 1.7491,                0.00901,                0.00901,                0.00901
                     21,                 1.2267,                0.97481,                 1.6222,                 0.8193,                  0.708,                0.76339,                0.51664,                  1.232,                0.75424,                 1.7351,               0.008955,               0.008955,               0.008955
                     22,                 1.2147,                0.95993,                 1.6111,                0.90277,                0.70357,                0.77612,                0.53075,                 1.2308,                0.74024,                 1.7299,                 0.0089,                 0.0089,                 0.0089
                     23,                  1.213,                0.94626,                 1.6098,                0.84515,                0.72289,                0.78728,                0.54095,                 1.2276,                0.70861,                 1.7295,               0.008845,               0.008845,               0.008845
                     24,                 1.2099,                0.93865,                 1.6106,                0.85161,                0.77199,                0.80896,                0.54688,                 1.2249,                0.70421,                 1.7219,                0.00879,                0.00879,                0.00879
                     25,                 1.1957,                0.92128,                 1.5945,                0.90517,                0.72079,                0.82446,                0.56121,                  1.215,                0.68734,                   1.72,               0.008735,               0.008735,               0.008735
                     26,                 1.1931,                0.90252,                 1.5906,                0.89504,                0.75606,                 0.8238,                0.55728,                 1.2334,                0.68719,                 1.7308,                0.00868,                0.00868,                0.00868
                     27,                 1.1827,                0.89888,                 1.5845,                0.89799,                0.75583,                 0.8232,                0.56326,                 1.2152,                0.68202,                 1.7285,               0.008625,               0.008625,               0.008625
                     28,                  1.179,                0.88429,                  1.584,                0.82431,                0.79539,                 0.8489,                0.57411,                 1.2106,                0.67071,                 1.7128,                0.00857,                0.00857,                0.00857
                     29,                 1.1814,                0.87436,                 1.5848,                0.87284,                0.77632,                0.83991,                 0.5826,                   1.21,                0.66959,                 1.7213,               0.008515,               0.008515,               0.008515
                     30,                 1.1665,                0.87543,                 1.5734,                0.87999,                0.80194,                0.83995,                0.59054,                 1.2053,                0.65916,                 1.7082,                0.00846,                0.00846,                0.00846
                     31,                 1.1647,                0.85612,                 1.5671,                0.89542,                0.79783,                0.85995,                0.59435,                  1.196,                0.65784,                 1.6906,               0.008405,               0.008405,               0.008405
                     32,                 1.1629,                0.84724,                 1.5623,                0.89739,                0.80137,                0.85769,                0.60041,                 1.1933,                0.65479,                 1.6919,                0.00835,                0.00835,                0.00835
                     33,                 1.1575,                0.84592,                 1.5688,                0.90993,                 0.8024,                0.85891,                0.60243,                 1.1937,                0.63468,                 1.7014,               0.008295,               0.008295,               0.008295
                     34,                 1.1526,                0.82659,                 1.5602,                 0.9034,                0.79182,                0.85857,                0.60041,                 1.1962,                0.62998,                  1.706,                0.00824,                0.00824,                0.00824
                     35,                 1.1599,                   0.83,                 1.5653,                0.90591,                0.81201,                0.86106,                0.60999,                 1.1893,                0.63233,                 1.6986,               0.008185,               0.008185,               0.008185
                     36,                 1.1495,                0.81929,                 1.5595,                  0.902,                0.80939,                0.86052,                0.60499,                 1.1915,                0.62791,                 1.7031,                0.00813,                0.00813,                0.00813
                     37,                 1.1353,                  0.807,                  1.545,                0.89449,                0.82347,                0.86278,                0.60661,                 1.1903,                0.62273,                 1.6986,               0.008075,               0.008075,               0.008075
                     38,                 1.1306,                 0.8027,                 1.5425,                0.91278,                0.81039,                0.87036,                 0.6115,                 1.1876,                0.61753,                 1.6966,                0.00802,                0.00802,                0.00802
                     39,                 1.1301,                0.79943,                 1.5376,                0.89682,                 0.8257,                0.88013,                0.61277,                 1.1851,                0.61416,                 1.6891,               0.007965,               0.007965,               0.007965
                     40,                 1.1303,                0.79073,                 1.5371,                0.89263,                0.82746,                0.88724,                0.61843,                 1.1846,                0.60959,                 1.6898,                0.00791,                0.00791,                0.00791
                     41,                 1.1261,                0.79218,                 1.5326,                0.89424,                0.81991,                0.87567,                0.61658,                 1.1829,                0.60428,                  1.688,               0.007855,               0.007855,               0.007855
                     42,                 1.1243,                0.78138,                 1.5342,                0.89669,                0.82182,                0.88186,                0.61941,                 1.1788,                0.60159,                  1.681,                 0.0078,                 0.0078,                 0.0078
                     43,                 1.1216,                 0.7792,                 1.5291,                0.89178,                0.83148,                0.88446,                0.61973,                 1.1769,                0.60026,                 1.6789,               0.007745,               0.007745,               0.007745
                     44,                 1.1127,                0.76442,                 1.5201,                0.90261,                 0.8275,                0.88621,                0.62145,                 1.1755,                0.59651,                   1.68,                0.00769,                0.00769,                0.00769
                     45,                 1.1172,                0.77008,                 1.5282,                0.89823,                0.82828,                0.88747,                0.62103,                 1.1768,                0.59311,                 1.6816,               0.007635,               0.007635,               0.007635
                     46,                 1.1156,                0.75732,                 1.5202,                0.89842,                0.82892,                0.88645,                0.62277,                  1.178,                0.59252,                 1.6832,                0.00758,                0.00758,                0.00758
                     47,                 1.1107,                0.75556,                 1.5226,                0.90538,                0.83308,                0.88737,                0.62256,                 1.1784,                0.59312,                 1.6831,               0.007525,               0.007525,               0.007525
                     48,                 1.1095,                0.75412,                  1.517,                0.90299,                0.83574,                0.88789,                0.62194,                 1.1776,                0.59141,                 1.6814,                0.00747,                0.00747,                0.00747
                     49,                 1.1012,                 0.7372,                 1.5129,                0.91724,                0.81998,                0.88269,                0.62052,                 1.1765,                0.58979,                  1.682,               0.007415,               0.007415,               0.007415
                     50,                  1.103,                 0.7405,                 1.5161,                0.91997,                0.81832,                 0.8794,                0.61929,                 1.1768,                0.58686,                 1.6836,                0.00736,                0.00736,                0.00736
                     51,                 1.0897,                0.73638,                 1.5013,                0.92001,                0.82352,                0.87883,                0.61734,                 1.1766,                0.58567,                 1.6841,               0.007305,               0.007305,               0.007305
                     52,                 1.0896,                0.72881,                 1.5059,                 0.9224,                0.82246,                0.87955,                0.61867,                 1.1761,                0.58255,                 1.6855,                0.00725,                0.00725,                0.00725
                     53,                 1.0875,                0.73537,                   1.51,                0.91925,                0.82501,                0.88247,                0.61837,                  1.176,                0.58078,                 1.6868,               0.007195,               0.007195,               0.007195
