                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2856,                 5.5891,                 3.8605,                0.42116,                0.08053,                0.04075,                0.00832,                 2.3693,                 4.1711,                 3.4477,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.0603,                 3.5757,                 2.7332,                0.44336,                 0.2464,                0.24324,                0.10244,                 1.6771,                 2.5989,                 2.6261,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.6187,                 2.5529,                 2.2707,                0.48308,                0.34281,                0.35098,                0.18646,                 1.4631,                 2.0708,                  2.343,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.4583,                 2.0927,                 2.0835,                0.56219,                 0.4349,                0.48673,                0.28366,                 1.3139,                 1.6841,                  2.199,               0.009835,               0.009835,               0.009835
                      5,                 1.3396,                 1.8268,                  1.964,                0.70489,                0.50006,                0.55255,                0.33061,                 1.2391,                 1.4489,                 2.1064,               0.009835,               0.009835,               0.009835
                      6,                  1.256,                 1.6434,                 1.8975,                 0.7307,                  0.501,                0.55925,                 0.3456,                 1.2654,                 1.4381,                 2.1121,                0.00978,                0.00978,                0.00978
                      7,                 1.1993,                 1.5143,                 1.8419,                0.77145,                 0.5711,                0.62104,                0.38465,                 1.1442,                 1.2196,                 2.0202,               0.009725,               0.009725,               0.009725
                      8,                 1.1653,                 1.4246,                 1.8141,                0.81065,                0.56796,                0.65224,                0.41207,                 1.1225,                 1.1341,                 1.9635,                0.00967,                0.00967,                0.00967
                      9,                 1.1415,                 1.3467,                 1.7907,                0.78919,                0.60713,                0.65649,                0.41264,                 1.1142,                 1.1281,                 1.9528,               0.009615,               0.009615,               0.009615
                     10,                 1.1063,                 1.2801,                 1.7624,                 0.8368,                0.60559,                0.69623,                0.43913,                 1.0794,                 1.0208,                 1.9249,                0.00956,                0.00956,                0.00956
                     11,                 1.0997,                 1.2366,                  1.752,                0.79682,                0.64263,                0.69428,                0.44413,                 1.0456,                 1.0049,                 1.8962,               0.009505,               0.009505,               0.009505
                     12,                  1.075,                 1.1934,                 1.7347,                0.79031,                0.72002,                0.74528,                0.48217,                 1.0505,                0.94308,                 1.8946,                0.00945,                0.00945,                0.00945
                     13,                 1.0537,                 1.1545,                 1.7235,                0.78178,                0.63705,                0.70748,                0.46834,                 1.0245,                0.92199,                 1.8774,               0.009395,               0.009395,               0.009395
                     14,                 1.0429,                 1.1176,                 1.7058,                0.72837,                0.72765,                0.74688,                0.48846,                 1.0312,                0.85992,                 1.8777,                0.00934,                0.00934,                0.00934
                     15,                 1.0267,                  1.082,                 1.6917,                0.83942,                0.68004,                0.73284,                0.48764,                 1.0066,                0.85787,                 1.8494,               0.009285,               0.009285,               0.009285
                     16,                 1.0239,                 1.0592,                 1.6843,                0.80217,                0.75762,                0.78456,                0.50142,                 1.0058,                0.80406,                 1.8396,                0.00923,                0.00923,                0.00923
                     17,                 1.0023,                 1.0327,                 1.6725,                0.86588,                0.69191,                0.76237,                0.50218,                0.98624,                0.80141,                 1.8208,               0.009175,               0.009175,               0.009175
                     18,                 0.9909,                 1.0095,                 1.6649,                0.89435,                 0.6909,                0.80189,                0.51881,                0.97947,                0.78791,                 1.8076,                0.00912,                0.00912,                0.00912
                     19,                0.99033,                0.99083,                 1.6585,                0.89612,                0.68809,                0.79285,                0.53407,                0.95042,                0.75466,                 1.7857,               0.009065,               0.009065,               0.009065
                     20,                0.97906,                0.97507,                 1.6547,                0.77185,                0.78043,                 0.8141,                 0.5423,                0.95376,                0.73731,                 1.7933,                0.00901,                0.00901,                0.00901
                     21,                  0.977,                0.94762,                 1.6503,                0.76881,                 0.7824,                0.82009,                0.54472,                0.95361,                0.74117,                 1.7822,               0.008955,               0.008955,               0.008955
                     22,                0.96292,                0.94133,                 1.6353,                0.91582,                0.69651,                0.79529,                0.53796,                0.95355,                0.71478,                 1.7773,                 0.0089,                 0.0089,                 0.0089
                     23,                0.95432,                0.92778,                 1.6321,                 0.8939,                0.75671,                0.83695,                0.56535,                0.93501,                0.70239,                 1.7593,               0.008845,               0.008845,               0.008845
                     24,                0.96022,                0.91447,                 1.6354,                0.89284,                0.79105,                0.91348,                0.59106,                0.94536,                0.69618,                 1.7678,                0.00879,                0.00879,                0.00879
                     25,                0.94063,                0.89614,                 1.6146,                0.87163,                0.80884,                0.91875,                0.59664,                0.93477,                0.68572,                 1.7578,               0.008735,               0.008735,               0.008735
