                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2991,                 5.5488,                 3.8298,                0.57331,                0.08296,                0.04855,                0.01492,                 2.5618,                 3.7931,                 3.3599,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.2565,                 3.5756,                  2.703,                0.36623,                0.16797,                0.13328,                0.04969,                  2.219,                 3.5436,                 2.9399,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.8534,                 2.5692,                 2.2605,                0.48507,                0.35298,                 0.3628,                0.19873,                 1.7682,                 2.1522,                 2.3738,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.6876,                 2.1215,                  2.074,                0.56986,                 0.4565,                0.49225,                0.29674,                 1.5511,                 1.7605,                 2.1421,               0.009835,               0.009835,               0.009835
                      5,                 1.5709,                 1.8506,                 1.9492,                 0.7526,                0.48817,                0.55668,                 0.3361,                  1.527,                 1.5018,                 2.0804,               0.009835,               0.009835,               0.009835
                      6,                 1.4948,                 1.6662,                 1.8831,                0.77069,                0.50968,                0.58313,                0.36514,                 1.4817,                 1.3741,                 2.0307,                0.00978,                0.00978,                0.00978
                      7,                 1.4453,                 1.5415,                 1.8334,                 0.7512,                0.58249,                0.62081,                0.38414,                 1.4538,                 1.2673,                 2.0136,               0.009725,               0.009725,               0.009725
                      8,                 1.4173,                 1.4528,                 1.8046,                0.81136,                0.55805,                0.63642,                0.40814,                 1.4461,                 1.1572,                 1.9625,                0.00967,                0.00967,                0.00967
                      9,                  1.395,                 1.3748,                 1.7803,                0.76975,                0.61999,                0.65342,                0.41466,                 1.4326,                   1.13,                 1.9527,               0.009615,               0.009615,               0.009615
                     10,                 1.3582,                  1.308,                  1.751,                0.78924,                0.64037,                0.67914,                0.43616,                  1.393,                 1.0455,                 1.9295,                0.00956,                0.00956,                0.00956
