                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2661,                 5.5386,                 3.8402,                0.85373,                0.03664,                0.03735,                0.00723,                 2.5158,                 4.4264,                 3.5979,              0.0033305,              0.0033305,              0.0033305
                      2,                   2.06,                 3.5543,                 2.7106,                0.39861,                0.18676,                0.14655,                0.05698,                 1.9353,                 3.0576,                 2.8288,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.5997,                  2.519,                   2.25,                0.51172,                0.37108,                0.39587,                0.21792,                 1.4801,                 2.0037,                 2.3633,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.4377,                 2.0673,                 2.0707,                0.62349,                0.42604,                0.46643,                0.27523,                 1.3508,                 1.8503,                 2.2384,               0.009835,               0.009835,               0.009835
                      5,                 1.3329,                 1.8015,                 1.9582,                0.66698,                0.49558,                0.55913,                0.33426,                 1.2645,                 1.4501,                 2.1078,               0.009835,               0.009835,               0.009835
                      6,                 1.2497,                 1.6227,                 1.8911,                0.78142,                0.50528,                0.58301,                0.35879,                 1.1619,                  1.317,                 2.0397,                0.00978,                0.00978,                0.00978
                      7,                 1.1977,                  1.507,                 1.8397,                 0.7487,                0.57637,                0.64214,                0.38403,                 1.1813,                 1.2222,                 2.0452,               0.009725,               0.009725,               0.009725
                      8,                 1.1618,                  1.409,                 1.8106,                0.80164,                0.59728,                 0.6651,                0.41955,                 1.1123,                 1.1495,                 1.9517,                0.00967,                0.00967,                0.00967
                      9,                 1.1419,                 1.3386,                 1.7919,                0.75559,                0.61639,                0.65607,                0.40458,                 1.1214,                 1.1085,                 1.9714,               0.009615,               0.009615,               0.009615
                     10,                 1.1026,                 1.2718,                 1.7609,                0.71557,                0.62973,                0.69684,                0.43313,                 1.1056,                 1.0501,                 1.9418,                0.00956,                0.00956,                0.00956
                     11,                 1.0963,                 1.2313,                  1.747,                0.71403,                0.63803,                0.69276,                0.44299,                 1.0708,                 1.0173,                  1.903,               0.009505,               0.009505,               0.009505
                     12,                 1.0692,                   1.19,                  1.728,                0.83345,                0.66189,                0.73362,                0.47138,                 1.0423,                0.94264,                 1.8795,                0.00945,                0.00945,                0.00945
                     13,                 1.0489,                 1.1496,                 1.7137,                  0.846,                0.67007,                0.73124,                0.48497,                0.99634,                0.88372,                 1.8424,               0.009395,               0.009395,               0.009395
                     14,                  1.037,                 1.1129,                 1.6967,                0.86338,                0.67964,                0.74792,                0.49102,                 1.0175,                0.86811,                 1.8577,                0.00934,                0.00934,                0.00934
                     15,                 1.0291,                 1.0876,                 1.6892,                0.75945,                0.73581,                0.75445,                0.48447,                 1.0124,                0.86763,                  1.827,               0.009285,               0.009285,               0.009285
                     16,                 1.0218,                  1.064,                 1.6805,                0.76547,                0.73568,                0.77175,                0.50321,                 0.9939,                0.81396,                 1.8263,                0.00923,                0.00923,                0.00923
                     17,                0.99923,                 1.0338,                  1.669,                0.88221,                0.69471,                0.75807,                0.50836,                0.97157,                0.80562,                 1.8097,               0.009175,               0.009175,               0.009175
                     18,                0.98895,                0.99922,                 1.6561,                0.89756,                0.68811,                0.76733,                0.51031,                0.98246,                0.81126,                  1.792,                0.00912,                0.00912,                0.00912
                     19,                0.98848,                 1.0017,                  1.649,                0.87768,                0.70501,                0.81179,                0.52521,                0.96658,                0.75297,                 1.7736,               0.009065,               0.009065,               0.009065
                     20,                0.97544,                0.97955,                 1.6433,                0.88241,                0.71871,                0.84906,                0.53317,                0.95569,                0.73906,                 1.7635,                0.00901,                0.00901,                0.00901
                     21,                0.97616,                0.94793,                 1.6421,                0.89494,                0.70377,                0.77619,                0.52727,                 0.9515,                0.73681,                   1.76,               0.008955,               0.008955,               0.008955
                     22,                0.96494,                0.94714,                 1.6301,                0.90378,                0.71263,                0.78818,                0.52859,                0.93972,                0.71706,                 1.7475,                 0.0089,                 0.0089,                 0.0089
                     23,                 0.9518,                0.92678,                 1.6215,                0.85051,                 0.7209,                0.80173,                0.54845,                0.94763,                0.69613,                 1.7472,               0.008845,               0.008845,               0.008845
                     24,                0.95457,                 0.9186,                 1.6204,                0.90449,                0.72524,                0.85165,                0.56013,                0.95158,                0.69772,                 1.7472,                0.00879,                0.00879,                0.00879
                     25,                0.94027,                0.90169,                 1.6069,                0.82122,                0.80637,                0.82752,                0.56432,                0.93245,                0.68347,                 1.7311,               0.008735,               0.008735,               0.008735
