                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6904,                 6.0088,                 3.9129,                0.44898,                0.09607,                0.05323,                0.01517,                 2.2105,                 4.1954,                 3.3831,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.9368,                 4.1607,                 2.8919,                0.38674,                0.14108,                0.11319,                0.03943,                 1.8871,                 3.8277,                 3.0165,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.5212,                 2.9981,                 2.4296,                0.49404,                0.32548,                0.30219,                0.15802,                 1.4574,                 2.3728,                 2.4616,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.3624,                 2.4234,                 2.2246,                0.50709,                0.43403,                0.44189,                 0.2621,                 1.1864,                  1.927,                 2.1576,               0.009835,               0.009835,               0.009835
                      5,                 1.2517,                 2.1031,                 2.0765,                0.62972,                0.45641,                0.49169,                0.29973,                 1.1502,                 1.7373,                 2.0956,               0.009835,               0.009835,               0.009835
                      6,                 1.1657,                  1.881,                 1.9845,                0.62233,                0.49863,                0.54295,                0.33399,                 1.1262,                 1.5228,                 2.0589,                0.00978,                0.00978,                0.00978
                      7,                 1.1196,                 1.7271,                  1.923,                0.74346,                0.51871,                0.57413,                0.35682,                 1.0775,                 1.3787,                 2.0025,               0.009725,               0.009725,               0.009725
                      8,                 1.0809,                 1.6116,                 1.8879,                0.69834,                 0.5505,                0.61844,                0.39503,                 1.0439,                 1.2268,                 1.9673,                0.00967,                0.00967,                0.00967
                      9,                  1.061,                 1.5261,                 1.8577,                 0.7646,                0.61095,                0.64832,                 0.4149,                 1.0187,                 1.1449,                 1.9024,               0.009615,               0.009615,               0.009615
                     10,                 1.0173,                   1.45,                 1.8181,                0.73919,                0.62625,                 0.6724,                0.42956,                 1.0197,                 1.0758,                 1.8913,                0.00956,                0.00956,                0.00956
                     11,                 1.0168,                  1.408,                 1.8021,                 0.7881,                0.62291,                0.67037,                0.43136,                0.97469,                 1.0385,                 1.8547,               0.009505,               0.009505,               0.009505
                     12,                0.98554,                 1.3517,                 1.7743,                0.82471,                 0.6444,                0.70506,                0.46823,                0.96267,                0.97222,                 1.8291,                0.00945,                0.00945,                0.00945
                     13,                0.97132,                 1.2933,                 1.7554,                0.84143,                0.65435,                0.71013,                0.47019,                0.92609,                0.93683,                 1.7715,               0.009395,               0.009395,               0.009395
                     14,                0.95796,                 1.2562,                 1.7389,                 0.8146,                0.63031,                0.72198,                0.47396,                0.93543,                0.88866,                 1.8279,                0.00934,                0.00934,                0.00934
                     15,                0.94337,                 1.2188,                  1.715,                0.86887,                0.64311,                0.71781,                 0.4817,                0.91777,                0.89806,                 1.7461,               0.009285,               0.009285,               0.009285
                     16,                 0.9388,                 1.1912,                 1.7083,                0.86141,                 0.7014,                0.74801,                0.49768,                0.90647,                0.84141,                 1.7456,                0.00923,                0.00923,                0.00923
                     17,                 0.9186,                 1.1512,                 1.6951,                0.89608,                0.67923,                0.75989,                0.50381,                0.89471,                0.82905,                 1.7509,               0.009175,               0.009175,               0.009175
                     18,                0.91224,                 1.1232,                 1.6854,                0.84915,                0.70109,                0.76164,                0.50932,                0.89914,                0.82522,                 1.7408,                0.00912,                0.00912,                0.00912
                     19,                0.90704,                 1.1155,                 1.6763,                0.80085,                0.71624,                0.76143,                0.51941,                0.87794,                0.78487,                 1.7225,               0.009065,               0.009065,               0.009065
                     20,                0.89775,                  1.083,                 1.6653,                0.86886,                0.70785,                0.76097,                0.51388,                0.86268,                0.77447,                 1.6915,                0.00901,                0.00901,                0.00901
                     21,                0.89485,                 1.0575,                 1.6571,                 0.8905,                0.71788,                0.77981,                0.53195,                0.86897,                0.75093,                 1.6887,               0.008955,               0.008955,               0.008955
                     22,                0.88125,                 1.0524,                 1.6467,                0.89403,                0.71427,                0.80068,                0.54695,                0.85977,                0.74524,                 1.6929,                 0.0089,                 0.0089,                 0.0089
                     23,                0.87715,                 1.0333,                 1.6419,                0.91458,                0.72825,                0.79645,                0.54768,                0.86093,                0.73549,                 1.6896,               0.008845,               0.008845,               0.008845
                     24,                0.87508,                 1.0223,                 1.6345,                0.87601,                0.78147,                0.84148,                0.57526,                0.85893,                0.71473,                 1.6683,                0.00879,                0.00879,                0.00879
                     25,                0.86182,                0.99998,                 1.6212,                0.83627,                0.77622,                0.80116,                0.55406,                 0.8435,                0.71457,                 1.6651,               0.008735,               0.008735,               0.008735
