                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9246,                 6.0893,                 3.9379,                0.52086,                0.08933,                0.05894,                0.01388,                 2.5011,                 4.3474,                 3.4655,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.2124,                 4.2523,                 2.9142,                0.45365,                 0.2422,                0.18017,                0.06881,                 1.9489,                  3.038,                 2.7106,              0.0066272,              0.0066272,              0.0066272
                      3,                  1.833,                 3.0784,                 2.4165,                0.27056,                0.29835,                0.21065,                0.11623,                 1.8848,                 2.9383,                 2.6055,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.6816,                 2.4863,                 2.2024,                0.56699,                0.40894,                0.42659,                0.25668,                 1.5699,                 1.9515,                 2.1441,               0.009835,               0.009835,               0.009835
                      5,                 1.5671,                  2.155,                 2.0501,                0.54472,                0.44714,                0.47498,                0.29114,                 1.5226,                 1.7257,                 2.0632,               0.009835,               0.009835,               0.009835
                      6,                 1.4877,                 1.9257,                 1.9605,                0.68504,                0.49312,                0.54427,                 0.3433,                 1.4654,                 1.4992,                 2.0006,                0.00978,                0.00978,                0.00978
                      7,                 1.4399,                 1.7781,                 1.9005,                0.64615,                0.50211,                0.56203,                0.34943,                 1.5031,                 1.4369,                 2.0287,               0.009725,               0.009725,               0.009725
                      8,                  1.404,                 1.6573,                 1.8582,                0.74631,                0.56171,                0.62775,                0.39995,                 1.3913,                  1.271,                 1.8825,                0.00967,                0.00967,                0.00967
                      9,                 1.3801,                 1.5712,                 1.8273,                0.71127,                0.60485,                  0.644,                0.40392,                 1.3906,                 1.1833,                 1.8799,               0.009615,               0.009615,               0.009615
                     10,                 1.3426,                 1.4888,                 1.7917,                0.74895,                0.58937,                0.63833,                0.41005,                 1.3714,                 1.1509,                 1.8505,                0.00956,                0.00956,                0.00956
                     11,                 1.3375,                 1.4406,                 1.7699,                0.72391,                0.60823,                0.66473,                0.43271,                 1.3542,                 1.0807,                 1.8431,               0.009505,               0.009505,               0.009505
                     12,                 1.3114,                 1.3801,                 1.7375,                0.76767,                0.64097,                 0.6964,                0.45999,                 1.3306,                 1.0237,                 1.7742,                0.00945,                0.00945,                0.00945
                     13,                 1.2965,                 1.3293,                 1.7248,                0.84977,                0.63923,                0.71061,                0.47124,                 1.3098,                0.95164,                 1.7758,               0.009395,               0.009395,               0.009395
                     14,                 1.2867,                 1.2829,                 1.7044,                0.72399,                0.68493,                0.71917,                0.47444,                 1.3068,                0.92453,                  1.754,                0.00934,                0.00934,                0.00934
                     15,                 1.2712,                 1.2524,                 1.6841,                0.85628,                0.68272,                 0.7355,                0.48771,                 1.3123,                0.89546,                 1.7485,               0.009285,               0.009285,               0.009285
                     16,                 1.2666,                 1.2207,                 1.6773,                0.85924,                0.68025,                0.73718,                0.49274,                 1.2808,                0.87355,                 1.7058,                0.00923,                0.00923,                0.00923
                     17,                 1.2449,                 1.1771,                 1.6579,                0.85184,                0.70253,                0.74299,                0.50494,                 1.2616,                0.83656,                 1.6867,               0.009175,               0.009175,               0.009175
                     18,                 1.2396,                 1.1419,                  1.645,                0.85977,                0.71514,                0.76345,                  0.513,                 1.2637,                0.83164,                 1.6826,                0.00912,                0.00912,                0.00912
                     19,                 1.2334,                 1.1378,                 1.6399,                0.88039,                0.70338,                0.76733,                0.52101,                 1.2457,                0.79931,                 1.6753,               0.009065,               0.009065,               0.009065
                     20,                 1.2252,                  1.113,                 1.6311,                0.88382,                0.70922,                0.76275,                0.52008,                  1.246,                0.80215,                 1.6693,                0.00901,                0.00901,                0.00901
                     21,                 1.2214,                 1.0775,                 1.6244,                0.87443,                0.72635,                0.76806,                0.52509,                 1.2422,                0.80191,                 1.6599,               0.008955,               0.008955,               0.008955
                     22,                 1.2065,                 1.0744,                 1.6104,                0.91356,                 0.7153,                0.79367,                0.54232,                 1.2413,                0.75574,                   1.65,                 0.0089,                 0.0089,                 0.0089
                     23,                 1.2092,                 1.0586,                 1.6063,                0.92075,                0.72231,                0.79658,                0.54185,                 1.2392,                0.74465,                 1.6456,               0.008845,               0.008845,               0.008845
                     24,                 1.1981,                 1.0413,                 1.5935,                0.82195,                0.78796,                0.82276,                0.54961,                  1.224,                0.71741,                 1.6205,                0.00879,                0.00879,                0.00879
                     25,                 1.1885,                 1.0195,                 1.5853,                0.81528,                 0.8052,                0.80886,                0.55398,                 1.2286,                0.71582,                 1.6256,               0.008735,               0.008735,               0.008735
                     26,                 1.1855,                0.99821,                 1.5826,                0.86349,                0.79166,                0.89031,                0.56635,                 1.2297,                0.71008,                 1.6377,                0.00868,                0.00868,                0.00868
                     27,                 1.1781,                0.99239,                 1.5752,                0.88698,                0.76169,                0.82549,                 0.5597,                 1.2183,                0.71009,                 1.6236,               0.008625,               0.008625,               0.008625
                     28,                 1.1735,                0.97813,                 1.5689,                0.89265,                0.79608,                0.85515,                0.58917,                 1.2087,                0.68189,                 1.5972,                0.00857,                0.00857,                0.00857
                     29,                 1.1751,                0.96344,                 1.5625,                0.90961,                  0.797,                0.85362,                0.58269,                 1.1977,                0.67595,                 1.5913,               0.008515,               0.008515,               0.008515
                     30,                 1.1597,                0.96563,                 1.5573,                 0.8577,                0.82159,                0.84148,                0.58475,                 1.2084,                0.66779,                 1.5975,                0.00846,                0.00846,                0.00846
                     31,                 1.1582,                0.95045,                 1.5491,                0.92146,                0.79464,                0.86462,                0.59635,                 1.1956,                0.66348,                 1.5807,               0.008405,               0.008405,               0.008405
                     32,                 1.1525,                0.92833,                 1.5359,                0.93185,                0.79595,                0.86625,                0.59898,                 1.2035,                0.65456,                  1.586,                0.00835,                0.00835,                0.00835
                     33,                 1.1548,                0.92757,                  1.544,                0.91608,                0.80666,                0.85106,                0.59128,                 1.2003,                0.65446,                 1.5866,               0.008295,               0.008295,               0.008295
                     34,                 1.1488,                0.91227,                  1.534,                0.90205,                0.81428,                0.85082,                0.59722,                 1.1933,                0.64786,                 1.5711,                0.00824,                0.00824,                0.00824
                     35,                  1.152,                0.91512,                 1.5395,                0.92642,                 0.7967,                 0.8557,                0.59551,                 1.1959,                0.64559,                 1.5747,               0.008185,               0.008185,               0.008185
                     36,                 1.1447,                0.90698,                 1.5353,                 0.9284,                0.79881,                0.85753,                0.59769,                   1.19,                0.64106,                 1.5734,                0.00813,                0.00813,                0.00813
                     37,                 1.1316,                0.88935,                 1.5237,                0.90099,                0.81816,                0.85642,                0.60069,                 1.1806,                0.64005,                 1.5692,               0.008075,               0.008075,               0.008075
                     38,                 1.1257,                0.87712,                 1.5155,                0.90227,                0.82471,                0.85636,                 0.6001,                 1.1746,                0.63198,                 1.5569,                0.00802,                0.00802,                0.00802
                     39,                 1.1295,                0.87027,                 1.5135,                0.91146,                0.82418,                0.85772,                0.60244,                 1.1739,                0.62669,                 1.5528,               0.007965,               0.007965,               0.007965
                     40,                 1.1268,                0.87352,                 1.5161,                0.91284,                0.82627,                 0.8596,                0.60322,                 1.1768,                 0.6217,                 1.5561,                0.00791,                0.00791,                0.00791
                     41,                 1.1218,                0.86634,                 1.5017,                0.91461,                0.82419,                0.85963,                0.60927,                 1.1774,                0.61591,                 1.5487,               0.007855,               0.007855,               0.007855
                     42,                 1.1177,                0.85474,                 1.5023,                0.92233,                0.82358,                0.86506,                0.60908,                 1.1741,                0.60841,                 1.5414,                 0.0078,                 0.0078,                 0.0078
                     43,                 1.1159,                0.85064,                 1.4989,                0.92271,                0.82308,                0.86473,                0.60758,                 1.1744,                0.60667,                 1.5395,               0.007745,               0.007745,               0.007745
                     44,                 1.1101,                0.83988,                 1.4924,                0.91739,                0.83576,                0.86554,                0.60841,                 1.1728,                  0.604,                 1.5384,                0.00769,                0.00769,                0.00769
                     45,                 1.1121,                0.84406,                  1.491,                0.91715,                0.83671,                0.86533,                0.61025,                 1.1728,                0.59932,                  1.537,               0.007635,               0.007635,               0.007635
                     46,                 1.1073,                0.83042,                 1.4815,                0.92444,                0.83016,                0.86481,                0.60987,                 1.1744,                 0.5964,                 1.5365,                0.00758,                0.00758,                0.00758
                     47,                 1.1025,                0.81741,                 1.4882,                0.92103,                0.83532,                0.86496,                0.61194,                 1.1733,                 0.5951,                 1.5386,               0.007525,               0.007525,               0.007525
                     48,                 1.1023,                0.82444,                 1.4806,                0.91995,                0.83744,                0.86616,                0.61299,                 1.1736,                0.59254,                 1.5384,                0.00747,                0.00747,                0.00747
                     49,                 1.1013,                0.80484,                   1.48,                 0.9258,                0.83087,                 0.8696,                0.61572,                 1.1739,                0.58964,                 1.5387,               0.007415,               0.007415,               0.007415
                     50,                  1.097,                0.80719,                 1.4778,                 0.9245,                0.83184,                0.86897,                0.62062,                 1.1727,                0.58719,                  1.539,                0.00736,                0.00736,                0.00736
                     51,                 1.0857,                0.79798,                 1.4713,                0.92231,                 0.8295,                0.86771,                0.61893,                 1.1724,                0.58561,                   1.54,               0.007305,               0.007305,               0.007305
                     52,                 1.0837,                0.78867,                  1.464,                0.92698,                0.83146,                0.86974,                0.61229,                 1.1718,                 0.5848,                 1.5384,                0.00725,                0.00725,                0.00725
                     53,                 1.0799,                0.79046,                 1.4665,                0.92712,                0.82929,                0.86866,                0.61361,                 1.1708,                0.58336,                 1.5376,               0.007195,               0.007195,               0.007195
                     54,                 1.0729,                 0.7801,                  1.457,                0.92658,                0.82656,                0.86891,                0.61391,                 1.1712,                0.58137,                 1.5366,                0.00714,                0.00714,                0.00714
                     55,                 1.0789,                 0.7921,                 1.4615,                0.92498,                0.82882,                0.86905,                0.61433,                 1.1719,                0.57963,                 1.5369,               0.007085,               0.007085,               0.007085
                     56,                 1.0772,                0.77847,                 1.4527,                0.92823,                0.82522,                0.86914,                0.61634,                 1.1724,                0.57915,                 1.5364,                0.00703,                0.00703,                0.00703
                     57,                 1.0683,                 0.7633,                 1.4461,                0.92682,                0.82853,                0.86972,                0.61658,                 1.1727,                0.57888,                  1.536,               0.006975,               0.006975,               0.006975
                     58,                 1.0768,                0.77204,                 1.4557,                 0.9258,                0.83209,                0.86981,                0.61526,                 1.1732,                0.57934,                 1.5368,                0.00692,                0.00692,                0.00692
                     59,                 1.0629,                0.75741,                 1.4487,                0.92646,                0.83142,                0.87027,                0.61527,                 1.1729,                0.57852,                 1.5366,               0.006865,               0.006865,               0.006865
                     60,                 1.0546,                0.75129,                 1.4391,                0.93008,                0.82927,                0.87071,                0.61569,                 1.1736,                0.57756,                 1.5373,                0.00681,                0.00681,                0.00681
                     61,                 1.0523,                 0.7548,                 1.4355,                 0.9279,                0.83437,                0.87111,                0.61607,                 1.1731,                0.57745,                  1.537,               0.006755,               0.006755,               0.006755
                     62,                 1.0512,                0.74511,                  1.429,                0.92796,                0.83691,                0.87152,                0.61595,                 1.1744,                0.57609,                 1.5375,                 0.0067,                 0.0067,                 0.0067
                     63,                 1.0494,                0.74852,                  1.436,                0.92782,                0.83785,                0.87183,                0.61557,                 1.1748,                0.57403,                 1.5376,               0.006645,               0.006645,               0.006645
                     64,                 1.0481,                0.73572,                 1.4268,                0.92844,                0.83729,                0.87169,                0.61509,                 1.1744,                0.57306,                 1.5381,                0.00659,                0.00659,                0.00659
                     65,                 1.0456,                0.73594,                 1.4249,                0.92735,                0.83734,                0.87164,                0.61551,                 1.1741,                0.57217,                  1.537,               0.006535,               0.006535,               0.006535
                     66,                 1.0435,                0.73098,                 1.4224,                0.92807,                0.83995,                0.87191,                0.61568,                  1.174,                0.57081,                 1.5347,                0.00648,                0.00648,                0.00648
                     67,                 1.0352,                0.72995,                 1.4163,                0.92851,                0.83872,                0.87219,                0.61546,                 1.1744,                0.57006,                 1.5341,               0.006425,               0.006425,               0.006425
                     68,                 1.0391,                0.73169,                 1.4198,                0.92847,                 0.8385,                0.87183,                0.61541,                 1.1747,                0.56853,                 1.5338,                0.00637,                0.00637,                0.00637
                     69,                 1.0343,                 0.7281,                 1.4146,                0.92772,                0.83768,                0.87209,                0.61539,                 1.1754,                0.56776,                 1.5341,               0.006315,               0.006315,               0.006315
                     70,                 1.0335,                0.72201,                 1.4134,                 0.9271,                0.83627,                0.87213,                0.62087,                 1.1749,                0.56727,                  1.533,                0.00626,                0.00626,                0.00626
                     71,                 1.0178,                0.71402,                 1.4051,                0.93033,                0.83479,                0.87214,                0.62054,                 1.1751,                0.56654,                 1.5332,               0.006205,               0.006205,               0.006205
                     72,                 1.0296,                0.71065,                 1.4146,                0.92729,                0.83837,                0.87291,                0.62033,                 1.1752,                0.56531,                 1.5332,                0.00615,                0.00615,                0.00615
                     73,                 1.0201,                  0.706,                 1.4049,                0.92285,                0.84234,                0.87238,                 0.6206,                 1.1756,                0.56446,                 1.5329,               0.006095,               0.006095,               0.006095
                     74,                 1.0253,                0.70529,                 1.4062,                0.92366,                0.83981,                0.87278,                0.62091,                 1.1757,                0.56329,                 1.5325,                0.00604,                0.00604,                0.00604
                     75,                 1.0165,                0.70509,                 1.4025,                 0.9232,                0.83902,                0.87063,                0.62011,                 1.1759,                0.56214,                 1.5327,               0.005985,               0.005985,               0.005985
                     76,                 1.0205,                0.70191,                 1.4014,                0.92331,                0.84056,                0.87051,                0.62043,                 1.1756,                0.56131,                 1.5327,                0.00593,                0.00593,                0.00593
