                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.228,                 3.6844,                  1.269,                0.60311,                0.34632,                0.37881,                0.25691,                 1.2704,                 2.5881,                  1.206,              0.0033319,              0.0033319,              0.0033319
                      2,                 1.2095,                 2.5533,                 1.2665,                0.51759,                0.47336,                0.50825,                  0.326,                 1.2755,                 1.7527,                 1.2676,              0.0066103,              0.0066103,              0.0066103
                      3,                 1.2688,                 2.1872,                 1.3329,                0.58937,                0.46717,                0.46937,                0.29693,                   1.35,                  1.753,                 1.3945,              0.0098336,              0.0098336,              0.0098336
                      4,                 1.2914,                 1.9391,                 1.3727,                0.65589,                0.49726,                0.56666,                0.36025,                 1.2791,                 1.5349,                 1.3419,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.2439,                 1.7135,                 1.3464,                0.67301,                0.58453,                0.62295,                0.40455,                 1.2524,                 1.3441,                 1.3335,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.2022,                  1.543,                 1.3143,                0.73557,                 0.6286,                0.67759,                0.44826,                  1.213,                 1.2125,                 1.3038,                0.00967,                0.00967,                0.00967
                      7,                 1.1855,                 1.4653,                 1.3047,                0.74886,                 0.6315,                0.75527,                0.48987,                 1.2035,                  1.156,                 1.2953,              0.0095875,              0.0095875,              0.0095875
                      8,                 1.1738,                 1.3801,                 1.2893,                0.70517,                 0.7346,                0.75879,                0.50147,                 1.2012,                 1.0747,                 1.2855,               0.009505,               0.009505,               0.009505
                      9,                 1.1591,                 1.3208,                 1.2789,                0.79123,                0.68044,                0.72877,                0.49016,                  1.176,                 1.0397,                  1.267,              0.0094225,              0.0094225,              0.0094225
                     10,                 1.1361,                 1.2744,                  1.262,                0.83201,                 0.7039,                0.78419,                0.51729,                 1.1679,                 1.0122,                 1.2603,                0.00934,                0.00934,                0.00934
                     11,                 1.1327,                 1.2404,                 1.2569,                0.88511,                0.69912,                0.79214,                0.52675,                 1.1587,                 0.9688,                 1.2551,              0.0092575,              0.0092575,              0.0092575
                     12,                 1.1182,                 1.2066,                 1.2523,                0.79748,                0.75662,                0.78963,                0.53231,                 1.1552,                0.94978,                 1.2461,               0.009175,               0.009175,               0.009175
                     13,                  1.117,                 1.1823,                 1.2484,                0.85317,                0.74924,                0.80623,                0.54797,                  1.139,                0.87914,                 1.2381,              0.0090925,              0.0090925,              0.0090925
                     14,                  1.107,                 1.1552,                 1.2408,                0.86476,                0.76253,                 0.8216,                0.55745,                 1.1296,                0.86851,                 1.2271,                0.00901,                0.00901,                0.00901
                     15,                 1.1006,                 1.1403,                 1.2349,                0.85677,                0.76442,                0.82242,                0.56241,                 1.1288,                0.87667,                 1.2238,              0.0089275,              0.0089275,              0.0089275
                     16,                 1.0987,                 1.1232,                 1.2309,                0.90691,                0.76269,                0.83126,                0.56567,                 1.1123,                0.84986,                 1.2089,               0.008845,               0.008845,               0.008845
                     17,                 1.0846,                 1.0938,                 1.2234,                0.86578,                0.79834,                0.85334,                0.57542,                 1.1084,                0.82206,                 1.2036,              0.0087625,              0.0087625,              0.0087625
                     18,                 1.0844,                 1.0698,                 1.2175,                0.87814,                0.79979,                0.91536,                0.56739,                 1.1067,                0.79125,                  1.202,                0.00868,                0.00868,                0.00868
                     19,                 1.0846,                 1.0565,                 1.2207,                0.88943,                0.78239,                0.90825,                0.59272,                 1.1016,                0.80265,                 1.1989,              0.0085975,              0.0085975,              0.0085975
                     20,                 1.0683,                 1.0422,                 1.2115,                0.89956,                0.79062,                0.84226,                0.59302,                 1.0961,                0.77796,                 1.1952,               0.008515,               0.008515,               0.008515
                     21,                 1.0716,                 1.0318,                 1.2118,                0.89062,                0.79056,                0.83698,                0.58061,                 1.0879,                0.77187,                 1.1866,              0.0084325,              0.0084325,              0.0084325
                     22,                 1.0688,                 1.0126,                 1.2081,                0.89003,                0.80052,                0.85506,                0.59378,                 1.0838,                0.74276,                 1.1892,                0.00835,                0.00835,                0.00835
                     23,                 1.0668,                0.99839,                 1.2042,                0.88414,                0.80958,                0.92207,                0.60525,                 1.0876,                0.72401,                 1.1804,              0.0082675,              0.0082675,              0.0082675
                     24,                 1.0585,                0.98514,                 1.2034,                0.91905,                0.79163,                0.86142,                0.61108,                 1.0823,                0.71313,                 1.1814,               0.008185,               0.008185,               0.008185
                     25,                 1.0597,                 0.9763,                  1.196,                0.88369,                0.80683,                0.88592,                0.60887,                 1.0802,                0.72091,                 1.1736,              0.0081025,              0.0081025,              0.0081025
                     26,                 1.0576,                0.97188,                 1.1975,                0.91325,                0.80068,                 0.8763,                0.60522,                 1.0748,                0.72032,                 1.1732,                0.00802,                0.00802,                0.00802
                     27,                 1.0474,                0.95565,                 1.1894,                0.89511,                0.81026,                0.88793,                0.60871,                 1.0787,                0.71007,                 1.1734,              0.0079375,              0.0079375,              0.0079375
                     28,                 1.0456,                0.94628,                  1.192,                0.89369,                 0.8029,                0.85591,                0.60344,                 1.0724,                0.70201,                 1.1723,               0.007855,               0.007855,               0.007855
                     29,                 1.0425,                0.92955,                 1.1885,                0.91707,                0.79923,                0.86175,                0.61008,                 1.0737,                0.68076,                 1.1728,              0.0077725,              0.0077725,              0.0077725
                     30,                 1.0455,                0.93118,                 1.1864,                0.90478,                0.79629,                0.85879,                0.61652,                 1.0744,                0.68371,                 1.1706,                0.00769,                0.00769,                0.00769
                     31,                 1.0415,                0.92914,                 1.1899,                0.89755,                0.81713,                0.87057,                0.62091,                 1.0751,                0.67201,                 1.1744,              0.0076075,              0.0076075,              0.0076075
                     32,                 1.0409,                 0.9168,                 1.1819,                0.90144,                 0.8175,                0.86788,                0.61673,                 1.0686,                0.67879,                 1.1678,               0.007525,               0.007525,               0.007525
                     33,                 1.0313,                0.90882,                 1.1767,                 0.9112,                0.81341,                0.87567,                0.61825,                 1.0646,                0.66975,                 1.1661,              0.0074425,              0.0074425,              0.0074425
                     34,                 1.0375,                0.90265,                 1.1762,                0.91462,                0.81164,                0.87672,                0.62887,                 1.0632,                0.66735,                 1.1637,                0.00736,                0.00736,                0.00736
                     35,                 1.0308,                0.90174,                 1.1768,                0.91572,                0.81098,                0.87626,                0.62934,                 1.0609,                0.66036,                 1.1629,              0.0072775,              0.0072775,              0.0072775
                     36,                 1.0294,                0.89344,                 1.1792,                0.90595,                0.81842,                0.87934,                 0.6276,                 1.0589,                0.66103,                  1.165,               0.007195,               0.007195,               0.007195
                     37,                 1.0287,                0.88524,                 1.1775,                0.90911,                0.82444,                0.87663,                0.61628,                  1.061,                0.65879,                 1.1666,              0.0071125,              0.0071125,              0.0071125
                     38,                 1.0241,                0.88081,                 1.1697,                0.89483,                0.82545,                0.87404,                0.61554,                 1.0609,                0.65619,                  1.163,                0.00703,                0.00703,                0.00703
                     39,                 1.0213,                0.87384,                 1.1683,                 0.8813,                0.82022,                0.88776,                0.62052,                 1.0615,                 0.6544,                 1.1616,              0.0069475,              0.0069475,              0.0069475
                     40,                 1.0181,                0.86623,                 1.1688,                0.88884,                0.81879,                0.88515,                0.61978,                 1.0619,                0.64867,                 1.1615,               0.006865,               0.006865,               0.006865
                     41,                 1.0199,                0.86195,                 1.1693,                0.90412,                0.81541,                0.88664,                 0.6178,                 1.0606,                0.64155,                 1.1616,              0.0067825,              0.0067825,              0.0067825
                     42,                 1.0184,                0.84685,                  1.166,                0.89213,                0.81953,                0.88845,                0.62087,                   1.06,                0.63559,                  1.161,                 0.0067,                 0.0067,                 0.0067
                     43,                 1.0223,                  0.858,                  1.169,                0.90095,                0.82481,                0.88678,                0.62742,                 1.0595,                 0.6313,                 1.1605,              0.0066175,              0.0066175,              0.0066175
                     44,                 1.0136,                 0.8465,                 1.1632,                0.89974,                0.82087,                0.88819,                0.62759,                  1.059,                0.62857,                 1.1608,               0.006535,               0.006535,               0.006535
                     45,                 1.0067,                0.84041,                 1.1624,                0.90375,                0.81819,                 0.8862,                0.62787,                 1.0584,                0.62817,                 1.1603,              0.0064525,              0.0064525,              0.0064525
                     46,                 1.0068,                0.84069,                 1.1568,                0.90607,                0.81674,                0.88664,                0.63036,                 1.0569,                0.62892,                 1.1594,                0.00637,                0.00637,                0.00637
                     47,                  1.007,                0.82879,                 1.1594,                0.91169,                0.81238,                0.88691,                0.63046,                 1.0573,                0.62703,                 1.1602,              0.0062875,              0.0062875,              0.0062875
                     48,                  1.004,                0.81908,                 1.1541,                0.90783,                0.81527,                0.88652,                 0.6308,                 1.0575,                0.62564,                 1.1604,               0.006205,               0.006205,               0.006205
                     49,                 1.0038,                0.81338,                 1.1551,                0.90675,                0.81464,                0.88508,                0.63101,                 1.0557,                0.62426,                 1.1599,              0.0061225,              0.0061225,              0.0061225
                     50,                 1.0032,                0.81749,                 1.1559,                0.89491,                0.82751,                0.88608,                0.62702,                 1.0559,                0.62474,                  1.161,                0.00604,                0.00604,                0.00604
                     51,                0.99636,                0.80747,                 1.1495,                0.89964,                0.82604,                0.88625,                0.62751,                 1.0548,                0.62655,                 1.1595,              0.0059575,              0.0059575,              0.0059575
                     52,                 0.9922,                0.80783,                 1.1503,                0.90142,                0.82682,                0.88625,                0.62813,                 1.0551,                 0.6258,                 1.1591,               0.005875,               0.005875,               0.005875
                     53,                0.99735,                0.80556,                 1.1515,                0.90604,                0.82732,                0.88634,                0.63148,                 1.0547,                0.62629,                 1.1584,              0.0057925,              0.0057925,              0.0057925
                     54,                0.99683,                0.80327,                 1.1479,                0.90676,                0.82629,                0.88579,                0.63207,                 1.0542,                0.62497,                  1.158,                0.00571,                0.00571,                0.00571
                     55,                0.99004,                0.79258,                  1.148,                 0.9086,                0.82492,                0.88623,                0.63229,                 1.0544,                0.62141,                 1.1581,              0.0056275,              0.0056275,              0.0056275
                     56,                0.99318,                0.78347,                 1.1437,                0.90794,                0.82924,                 0.8863,                0.63242,                 1.0536,                0.61889,                 1.1577,               0.005545,               0.005545,               0.005545
                     57,                0.98471,                0.77617,                 1.1409,                0.90985,                0.82996,                0.88678,                0.63391,                 1.0544,                 0.6138,                 1.1588,              0.0054625,              0.0054625,              0.0054625
                     58,                 0.9833,                0.77614,                 1.1401,                0.90965,                0.83086,                0.88748,                0.63387,                 1.0544,                0.61226,                 1.1583,                0.00538,                0.00538,                0.00538
                     59,                0.98514,                0.77285,                 1.1406,                0.90938,                 0.8321,                0.88809,                0.63222,                 1.0545,                 0.6107,                  1.158,              0.0052975,              0.0052975,              0.0052975
                     60,                0.98573,                0.76805,                 1.1465,                0.91646,                0.82816,                0.88797,                0.63115,                 1.0552,                0.60911,                 1.1585,               0.005215,               0.005215,               0.005215
                     61,                0.97685,                0.76409,                 1.1372,                 0.9135,                0.82927,                0.88968,                 0.6317,                 1.0552,                0.60869,                 1.1584,              0.0051325,              0.0051325,              0.0051325
                     62,                0.98154,                0.76897,                 1.1393,                0.91417,                0.82884,                0.88872,                0.63164,                 1.0551,                0.60908,                  1.158,                0.00505,                0.00505,                0.00505
                     63,                 0.9753,                0.75535,                 1.1356,                0.91374,                0.82837,                0.88886,                0.63093,                 1.0546,                0.60917,                 1.1577,              0.0049675,              0.0049675,              0.0049675
                     64,                 0.9729,                0.75555,                 1.1361,                 0.9157,                0.82828,                 0.8883,                  0.634,                 1.0545,                0.60822,                 1.1573,               0.004885,               0.004885,               0.004885
                     65,                0.97738,                 0.7556,                 1.1365,                0.91771,                0.82803,                0.88868,                0.63238,                 1.0542,                0.60742,                  1.157,              0.0048025,              0.0048025,              0.0048025
                     66,                0.97403,                 0.7483,                 1.1331,                0.91763,                0.82778,                0.88867,                0.63299,                 1.0539,                0.60639,                 1.1566,                0.00472,                0.00472,                0.00472
                     67,                0.96512,                0.74738,                 1.1276,                0.91806,                0.83009,                0.88925,                0.63322,                 1.0539,                0.60539,                 1.1567,              0.0046375,              0.0046375,              0.0046375
                     68,                0.97307,                0.74701,                 1.1343,                0.91826,                0.83014,                0.88894,                0.63253,                 1.0541,                 0.6043,                 1.1569,               0.004555,               0.004555,               0.004555
                     69,                0.96175,                0.73245,                 1.1294,                0.91849,                0.82809,                0.88811,                0.63199,                 1.0542,                0.60353,                 1.1566,              0.0044725,              0.0044725,              0.0044725
                     70,                0.95808,                0.72897,                 1.1238,                0.91755,                0.82939,                0.88842,                0.63253,                 1.0541,                0.60232,                 1.1564,                0.00439,                0.00439,                0.00439
                     71,                0.95943,                0.72355,                 1.1242,                0.91654,                0.83049,                0.89127,                0.63302,                 1.0539,                0.60094,                  1.156,              0.0043075,              0.0043075,              0.0043075
                     72,                 0.9593,                0.73078,                   1.12,                0.91734,                0.83081,                0.89124,                0.63264,                 1.0539,                0.60058,                 1.1558,               0.004225,               0.004225,               0.004225
                     73,                0.95337,                0.72076,                 1.1221,                0.91754,                0.83107,                0.89135,                0.63343,                 1.0538,                 0.5998,                 1.1556,              0.0041425,              0.0041425,              0.0041425
                     74,                0.95502,                0.72673,                  1.122,                0.91602,                0.83177,                0.89142,                0.63295,                 1.0538,                0.59865,                 1.1556,                0.00406,                0.00406,                0.00406
                     75,                0.94541,                0.71311,                 1.1164,                0.90662,                0.83629,                  0.895,                0.63466,                 1.0542,                0.59688,                 1.1555,              0.0039775,              0.0039775,              0.0039775
                     76,                0.95218,                 0.7072,                 1.1181,                0.91114,                0.83313,                0.89467,                0.63418,                 1.0543,                0.59574,                 1.1555,               0.003895,               0.003895,               0.003895
                     77,                0.94037,                0.70178,                 1.1162,                 0.9097,                0.83436,                0.89492,                0.63399,                 1.0546,                 0.5952,                 1.1556,              0.0038125,              0.0038125,              0.0038125
                     78,                0.94212,                0.70017,                 1.1135,                0.90998,                0.83307,                0.89489,                0.63394,                 1.0547,                0.59413,                 1.1554,                0.00373,                0.00373,                0.00373
                     79,                0.94337,                0.70187,                 1.1171,                0.90957,                0.83606,                0.90116,                0.63383,                 1.0552,                0.59375,                 1.1556,              0.0036475,              0.0036475,              0.0036475
                     80,                0.94094,                0.68778,                 1.1099,                0.91093,                0.83724,                0.90111,                0.63673,                 1.0559,                0.59235,                 1.1558,               0.003565,               0.003565,               0.003565
                     81,                0.93838,                0.68843,                 1.1127,                0.91036,                0.83835,                0.90149,                 0.6371,                 1.0564,                0.59138,                 1.1561,              0.0034825,              0.0034825,              0.0034825
                     82,                0.93593,                0.68134,                 1.1081,                0.90912,                0.83854,                0.90146,                0.63726,                 1.0568,                 0.5897,                 1.1562,                 0.0034,                 0.0034,                 0.0034
                     83,                0.93067,                0.68941,                 1.1097,                0.90871,                0.83911,                0.90157,                0.63735,                 1.0569,                0.58894,                 1.1563,              0.0033175,              0.0033175,              0.0033175
                     84,                 0.9291,                0.67547,                 1.1113,                0.90936,                0.83838,                 0.9134,                0.63874,                 1.0572,                0.58721,                 1.1565,               0.003235,               0.003235,               0.003235
                     85,                 0.9225,                0.67075,                 1.1076,                0.91067,                0.83843,                0.91357,                0.63913,                 1.0571,                0.58643,                 1.1563,              0.0031525,              0.0031525,              0.0031525
                     86,                0.93057,                0.67806,                 1.1095,                0.91092,                0.83855,                0.91344,                0.63867,                 1.0577,                0.58563,                 1.1567,                0.00307,                0.00307,                0.00307
                     87,                0.92142,                0.66618,                 1.1017,                0.91026,                0.83868,                0.91351,                0.63922,                  1.058,                0.58492,                 1.1569,              0.0029875,              0.0029875,              0.0029875
                     88,                0.91544,                0.66084,                 1.1001,                0.91046,                0.83841,                0.94895,                0.64327,                 1.0583,                0.58556,                 1.1569,               0.002905,               0.002905,               0.002905
                     89,                0.92006,                0.65827,                    1.1,                0.91205,                0.83903,                0.95026,                0.64304,                 1.0592,                0.58469,                 1.1572,              0.0028225,              0.0028225,              0.0028225
                     90,                0.91866,                 0.6593,                 1.1023,                0.91214,                0.83981,                0.95015,                0.64322,                 1.0595,                0.58386,                 1.1573,                0.00274,                0.00274,                0.00274
                     91,                0.91275,                 0.6548,                 1.0961,                0.91097,                0.84008,                0.94941,                0.64204,                 1.0602,                0.58348,                 1.1576,              0.0026575,              0.0026575,              0.0026575
                     92,                0.91294,                0.65213,                 1.0987,                0.91057,                0.84054,                0.95001,                0.64165,                 1.0602,                0.58261,                 1.1577,               0.002575,               0.002575,               0.002575
                     93,                 0.9067,                0.64465,                 1.0952,                0.90996,                0.84217,                0.94923,                0.64199,                 1.0605,                0.58227,                 1.1577,              0.0024925,              0.0024925,              0.0024925
                     94,                0.90866,                0.64332,                 1.0934,                0.90994,                0.84213,                0.94956,                 0.6419,                 1.0608,                0.58214,                 1.1576,                0.00241,                0.00241,                0.00241
                     95,                0.89831,                0.63231,                 1.0908,                0.90984,                0.84446,                0.94945,                0.64197,                 1.0612,                0.58187,                 1.1575,              0.0023275,              0.0023275,              0.0023275
