                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.1387,                 4.0321,                 1.3283,                0.63657,                0.32731,                0.30694,                0.21244,                 3.0717,                 2.7449,                 1.1862,              0.0033319,              0.0033319,              0.0033319
                      1,                 3.8823,                  3.026,                 1.3089,                 0.5949,                0.39707,                 0.4254,                0.27758,                 3.1898,                 2.1158,                 1.2495,              0.0066103,              0.0066103,              0.0066103
                      2,                 4.1281,                 2.6225,                 1.4013,                0.59432,                0.36746,                0.38986,                0.23889,                 3.4879,                 1.9737,                 1.3915,              0.0098336,              0.0098336,              0.0098336
                      3,                 4.2443,                  2.335,                 1.4782,                0.61656,                0.42791,                0.48706,                0.30655,                 3.3814,                 1.6806,                 1.3843,              0.0097525,              0.0097525,              0.0097525
                      4,                 3.8529,                 1.9569,                 1.4198,                0.70632,                0.44934,                0.53354,                0.33171,                 2.9903,                 1.4702,                 1.3459,              0.0097525,              0.0097525,              0.0097525
                      5,                 3.6507,                 1.7857,                 1.3971,                0.61253,                0.53569,                 0.5744,                0.36855,                 2.9786,                 1.3974,                 1.3707,                0.00967,                0.00967,                0.00967
                      6,                 3.5273,                 1.6721,                 1.3814,                0.68411,                0.55885,                0.61239,                0.40309,                  2.699,                  1.177,                 1.3136,              0.0095875,              0.0095875,              0.0095875
                      7,                 3.3628,                 1.5582,                 1.3652,                0.68072,                0.56377,                0.66698,                0.42342,                 2.6572,                 1.1665,                 1.3268,               0.009505,               0.009505,               0.009505
                      8,                 3.2515,                 1.4838,                 1.3595,                0.78362,                 0.6225,                0.70591,                0.46856,                 2.5428,                 1.0446,                 1.2988,              0.0094225,              0.0094225,              0.0094225
                      9,                 3.1974,                 1.4393,                 1.3493,                0.74674,                0.66103,                0.67615,                 0.4422,                 2.5899,                 1.0694,                 1.3214,                0.00934,                0.00934,                0.00934
                     10,                 3.0928,                 1.3768,                 1.3414,                0.83106,                0.64948,                 0.7323,                0.47964,                  2.445,                0.97964,                 1.2866,              0.0092575,              0.0092575,              0.0092575
                     11,                 3.0386,                 1.3354,                 1.3354,                0.74831,                0.68012,                0.75376,                0.49459,                 2.4177,                0.94429,                 1.2986,               0.009175,               0.009175,               0.009175
