                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4082,                 5.6866,                 3.9068,                0.69891,                0.05048,                0.04808,                0.01192,                 2.6092,                 4.0267,                  3.379,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.3108,                 3.6454,                 2.7598,                0.35429,                0.19077,                0.13125,                0.05208,                 2.1652,                 3.5821,                 2.8628,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.8688,                 2.6132,                  2.282,                0.40113,                0.35598,                0.31726,                0.15768,                 1.7731,                 2.1778,                 2.3827,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.7091,                 2.1812,                 2.0959,                0.57743,                0.42874,                0.43172,                0.25312,                 1.6004,                  1.912,                  2.178,               0.009835,               0.009835,               0.009835
                      5,                 1.5909,                 1.9201,                 1.9666,                 0.5952,                0.46065,                0.50144,                0.31257,                 1.5365,                 1.5537,                 2.0876,               0.009835,               0.009835,               0.009835
                      6,                 1.5085,                 1.7463,                  1.894,                0.76571,                 0.4905,                0.55926,                0.35095,                 1.4935,                 1.4011,                 2.0421,                0.00978,                0.00978,                0.00978
                      7,                 1.4564,                 1.6089,                 1.8451,                0.78923,                0.50272,                0.58969,                0.36645,                 1.4671,                 1.3001,                 2.0431,               0.009725,               0.009725,               0.009725
                      8,                 1.4179,                 1.5068,                 1.8143,                0.76605,                0.58362,                0.64106,                0.40882,                 1.4197,                 1.2176,                 1.9651,                0.00967,                0.00967,                0.00967
                      9,                 1.4018,                 1.4272,                 1.7908,                0.77492,                 0.5827,                0.63465,                0.40952,                 1.4071,                 1.1614,                 1.9597,               0.009615,               0.009615,               0.009615
                     10,                 1.3652,                 1.3524,                 1.7593,                0.71529,                0.59828,                0.67177,                 0.4304,                 1.3783,                 1.0852,                 1.9339,                0.00956,                0.00956,                0.00956
                     11,                 1.3582,                 1.3103,                 1.7519,                0.79386,                0.62967,                0.67398,                0.43305,                 1.3654,                 1.0479,                 1.9099,               0.009505,               0.009505,               0.009505
                     12,                 1.3261,                 1.2599,                 1.7305,                0.82505,                0.64669,                0.69607,                0.46248,                 1.3252,                0.98581,                 1.8745,                0.00945,                0.00945,                0.00945
                     13,                 1.3115,                 1.2139,                 1.7172,                0.81087,                0.63665,                0.70085,                0.46334,                 1.3189,                0.96859,                 1.8568,               0.009395,               0.009395,               0.009395
                     14,                 1.2969,                 1.1695,                 1.7025,                0.74041,                0.75297,                 0.7539,                0.48273,                 1.3134,                 0.9122,                 1.8576,                0.00934,                0.00934,                0.00934
                     15,                  1.286,                 1.1492,                 1.6868,                0.76428,                0.67814,                0.72348,                0.47887,                 1.3248,                0.91691,                 1.8498,               0.009285,               0.009285,               0.009285
                     16,                 1.2781,                 1.1205,                 1.6781,                0.85293,                0.67118,                0.73503,                0.48913,                 1.2982,                0.87252,                 1.8373,                0.00923,                0.00923,                0.00923
                     17,                 1.2574,                  1.089,                  1.667,                0.86352,                0.68481,                0.77562,                0.50913,                 1.2744,                0.84734,                 1.8065,               0.009175,               0.009175,               0.009175
                     18,                 1.2558,                 1.0539,                 1.6585,                0.86917,                0.68682,                0.75232,                  0.505,                 1.2737,                0.84015,                 1.7978,                0.00912,                0.00912,                0.00912
                     19,                  1.246,                 1.0473,                 1.6484,                0.78945,                0.69816,                 0.7562,                0.50567,                 1.2561,                0.80629,                 1.7793,               0.009065,               0.009065,               0.009065
                     20,                 1.2389,                 1.0241,                 1.6438,                0.82786,                0.72592,                0.77833,                0.51612,                 1.2631,                 0.7993,                 1.7806,                0.00901,                0.00901,                0.00901
                     21,                 1.2326,                0.99714,                 1.6363,                0.88399,                0.70459,                0.76989,                0.51983,                  1.253,                0.77922,                 1.7673,               0.008955,               0.008955,               0.008955
                     22,                   1.22,                0.98254,                 1.6269,                0.89635,                0.69878,                0.77041,                0.51736,                 1.2416,                0.76448,                 1.7616,                 0.0089,                 0.0089,                 0.0089
                     23,                 1.2167,                0.96914,                 1.6239,                0.80849,                0.72106,                0.77856,                0.52778,                 1.2412,                0.75014,                 1.7625,               0.008845,               0.008845,               0.008845
                     24,                 1.2156,                 0.9631,                 1.6218,                0.77516,                 0.7893,                 0.7894,                0.53251,                 1.2326,                0.73208,                 1.7391,                0.00879,                0.00879,                0.00879
                     25,                 1.1995,                0.94008,                 1.6046,                 0.7721,                0.79712,                 0.8266,                0.55943,                 1.2228,                0.72128,                 1.7397,               0.008735,               0.008735,               0.008735
                     26,                 1.1973,                0.92626,                 1.6001,                0.84278,                0.71805,                0.79297,                0.54016,                 1.2289,                0.71209,                  1.743,                0.00868,                0.00868,                0.00868
                     27,                 1.1896,                0.92145,                 1.5958,                0.89791,                 0.7488,                0.81878,                0.55036,                 1.2197,                0.69085,                 1.7285,               0.008625,               0.008625,               0.008625
                     28,                 1.1864,                0.90795,                 1.5999,                0.89801,                0.71999,                0.83037,                0.56279,                 1.2213,                0.70261,                 1.7398,                0.00857,                0.00857,                0.00857
                     29,                 1.1874,                0.89847,                 1.5914,                0.90941,                 0.7533,                0.84574,                0.57099,                 1.2178,                0.69305,                 1.7348,               0.008515,               0.008515,               0.008515
                     30,                 1.1725,                0.89924,                 1.5821,                0.84835,                0.80599,                0.84333,                0.57519,                 1.2151,                0.68988,                 1.7292,                0.00846,                0.00846,                0.00846
                     31,                  1.173,                0.87865,                 1.5793,                0.89129,                0.77424,                0.84544,                0.57337,                 1.2058,                0.67875,                 1.7119,               0.008405,               0.008405,               0.008405
                     32,                 1.1691,                0.86702,                 1.5692,                0.89515,                0.79768,                0.85634,                0.58209,                 1.2039,                0.66715,                 1.7093,                0.00835,                0.00835,                0.00835
                     33,                 1.1641,                0.86423,                 1.5727,                0.88282,                0.78901,                0.84432,                0.58541,                 1.1998,                 0.6589,                 1.7046,               0.008295,               0.008295,               0.008295
                     34,                 1.1572,                0.85398,                 1.5687,                0.86824,                0.81669,                0.84653,                0.59143,                 1.1994,                 0.6663,                 1.7048,                0.00824,                0.00824,                0.00824
