                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1795,                 5.6447,                 3.9063,                0.52617,                0.06325,                0.01743,                0.00384,                 2.3163,                 4.4563,                 3.5031,              0.0033305,              0.0033305,              0.0033305
                      2,                  2.023,                  3.614,                 2.7701,                0.28187,                0.10922,                 0.0412,                0.01507,                 2.2309,                 6.4552,                  3.234,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.5953,                 2.5758,                 2.2983,                0.33466,                0.36357,                0.28839,                0.14579,                 1.5071,                 2.3883,                 2.4559,              0.0098872,              0.0098872,              0.0098872
                      4,                  1.456,                 2.1461,                 2.1151,                0.65549,                0.44339,                0.47423,                 0.2761,                 1.2708,                 1.7023,                 2.1896,               0.009835,               0.009835,               0.009835
                      5,                 1.3361,                 1.8828,                 1.9834,                0.58428,                 0.4683,                0.50394,                0.30286,                 1.2471,                 1.5567,                 2.1495,               0.009835,               0.009835,               0.009835
                      6,                 1.2519,                 1.6967,                 1.9094,                0.72892,                0.47286,                0.55632,                0.33988,                 1.1711,                 1.4073,                 2.0462,                0.00978,                0.00978,                0.00978
                      7,                 1.2018,                 1.5594,                 1.8526,                0.74902,                0.54287,                0.59537,                0.37572,                  1.132,                  1.291,                  2.016,               0.009725,               0.009725,               0.009725
                      8,                 1.1693,                 1.4587,                 1.8257,                0.76942,                0.57286,                0.63212,                0.39788,                 1.1572,                 1.1845,                 1.9879,                0.00967,                0.00967,                0.00967
                      9,                 1.1473,                 1.3823,                    1.8,                0.76547,                0.59042,                0.62847,                0.38629,                 1.1253,                 1.1361,                  1.991,               0.009615,               0.009615,               0.009615
                     10,                 1.1079,                 1.3048,                 1.7732,                0.81087,                0.62332,                0.67533,                0.43423,                 1.0552,                 1.0062,                 1.9272,                0.00956,                0.00956,                0.00956
                     11,                 1.1028,                 1.2585,                 1.7617,                0.84486,                0.60968,                0.67679,                0.43561,                 1.0428,                 1.0176,                 1.9071,               0.009505,               0.009505,               0.009505
                     12,                 1.0729,                 1.2173,                 1.7396,                0.70841,                0.71908,                0.71195,                0.46344,                 1.0503,                0.96293,                 1.9001,                0.00945,                0.00945,                0.00945
                     13,                 1.0583,                 1.1755,                 1.7296,                0.77801,                0.64429,                0.71764,                0.47627,                 1.0039,                0.92904,                  1.857,               0.009395,               0.009395,               0.009395
                     14,                 1.0479,                 1.1385,                 1.7147,                0.82189,                0.69688,                0.72991,                0.48262,                0.98906,                0.86549,                 1.8456,                0.00934,                0.00934,                0.00934
                     15,                 1.0311,                 1.1103,                 1.7008,                0.83565,                0.69057,                0.74178,                0.48912,                0.99716,                0.85534,                   1.86,               0.009285,               0.009285,               0.009285
                     16,                 1.0263,                 1.0824,                 1.6913,                0.79914,                0.71996,                0.75733,                0.50262,                0.96921,                0.83416,                  1.819,                0.00923,                0.00923,                0.00923
