                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3446,                 2.5522,                 1.3997,                 0.6776,                 0.5708,                0.62299,                0.42163,                 1.3204,                  1.161,                 1.3439,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.2567,                 1.2772,                 1.3185,                0.71229,                0.56639,                0.62706,                0.39515,                 1.3632,                 1.2688,                 1.3864,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.3446,                 1.3819,                 1.3775,                0.79075,                0.49857,                0.58937,                0.36091,                 1.4862,                 1.4956,                 1.4896,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.4011,                  1.449,                 1.4214,                0.69081,                0.66514,                0.68545,                0.41808,                 1.4217,                 1.1518,                 1.4462,               0.009835,               0.009835,               0.009835
                      5,                 1.3521,                 1.3039,                 1.3872,                0.78727,                0.60736,                0.68693,                0.43726,                 1.3736,                 1.0151,                 1.4082,               0.009835,               0.009835,               0.009835
                      6,                 1.3061,                  1.186,                  1.355,                 0.8671,                0.60585,                0.73578,                0.47048,                  1.307,                0.93314,                 1.3576,                0.00978,                0.00978,                0.00978
                      7,                 1.2798,                 1.1076,                 1.3322,                 0.8705,                0.65446,                0.74239,                0.49784,                  1.291,                0.86868,                 1.3395,               0.009725,               0.009725,               0.009725
                      8,                 1.2551,                 1.0389,                 1.3159,                0.87899,                0.75024,                0.80642,                0.53217,                 1.2626,                0.80086,                 1.3149,                0.00967,                0.00967,                0.00967
                      9,                 1.2454,                0.99836,                 1.3086,                0.88715,                0.69601,                0.78334,                0.51605,                 1.2796,                0.78165,                 1.3139,               0.009615,               0.009615,               0.009615
                     10,                 1.2202,                 0.9594,                 1.2859,                0.78386,                0.79131,                0.80572,                0.52653,                 1.2419,                0.73643,                 1.3048,                0.00956,                0.00956,                0.00956
                     11,                 1.2158,                0.94055,                 1.2837,                0.87786,                 0.7778,                0.82637,                0.54651,                 1.2422,                 0.7457,                 1.2902,               0.009505,               0.009505,               0.009505
                     12,                 1.1974,                0.90359,                 1.2736,                0.85752,                0.79483,                0.87455,                0.58859,                 1.2404,                 0.7005,                 1.2958,                0.00945,                0.00945,                0.00945
                     13,                  1.186,                0.88352,                 1.2679,                0.88498,                0.77898,                 0.8375,                 0.5727,                 1.2059,                0.66602,                 1.2654,               0.009395,               0.009395,               0.009395
                     14,                 1.1826,                 0.8622,                 1.2627,                0.83078,                 0.8078,                0.83418,                0.54749,                 1.2199,                0.67475,                 1.2698,                0.00934,                0.00934,                0.00934
                     15,                 1.1678,                0.83825,                 1.2489,                0.92986,                0.80668,                0.85637,                0.58864,                  1.225,                0.64421,                  1.281,               0.009285,               0.009285,               0.009285
                     16,                 1.1661,                0.83129,                 1.2452,                0.90747,                0.81927,                0.93001,                0.60522,                 1.2118,                0.62159,                  1.263,                0.00923,                0.00923,                0.00923
                     17,                 1.1522,                0.81121,                 1.2409,                 0.9124,                0.82554,                0.87466,                0.61564,                  1.189,                0.61457,                 1.2309,               0.009175,               0.009175,               0.009175
                     18,                  1.144,                0.78567,                 1.2328,                0.89291,                0.81929,                0.93139,                0.59937,                 1.2009,                0.61384,                 1.2599,                0.00912,                0.00912,                0.00912
                     19,                 1.1389,                0.78377,                 1.2331,                0.92229,                0.80275,                0.93358,                0.61344,                 1.1811,                 0.5962,                 1.2524,               0.009065,               0.009065,               0.009065
                     20,                 1.1317,                0.77623,                 1.2282,                0.93983,                0.81924,                0.89079,                 0.6115,                 1.1782,                0.57688,                 1.2402,                0.00901,                0.00901,                0.00901
                     21,                 1.1338,                0.76575,                 1.2254,                0.90502,                0.83331,                0.87432,                0.60819,                 1.1612,                0.57593,                 1.2289,               0.008955,               0.008955,               0.008955
                     22,                 1.1201,                0.75463,                 1.2194,                0.92891,                0.82254,                0.87467,                0.62412,                 1.1677,                0.56524,                 1.2349,                 0.0089,                 0.0089,                 0.0089
                     23,                 1.1245,                0.75161,                 1.2174,                 0.9098,                0.81524,                0.90809,                0.62898,                 1.1699,                0.56829,                  1.233,               0.008845,               0.008845,               0.008845
                     24,                   1.12,                0.74272,                 1.2184,                0.93215,                0.83096,                0.94806,                0.63988,                 1.1617,                0.55019,                 1.2282,                0.00879,                0.00879,                0.00879
                     25,                 1.1076,                0.72945,                 1.2095,                0.93077,                0.83754,                0.94504,                0.63786,                 1.1556,                0.54658,                 1.2287,               0.008735,               0.008735,               0.008735
                     26,                 1.1072,                0.72451,                 1.2047,                0.94211,                0.83167,                0.87736,                0.62868,                   1.16,                0.53976,                 1.2207,                0.00868,                0.00868,                0.00868
                     27,                 1.0984,                0.71933,                 1.2027,                0.91533,                0.84597,                0.91607,                0.64459,                 1.1508,                0.52627,                 1.2214,               0.008625,               0.008625,               0.008625
                     28,                 1.0933,                0.70414,                 1.2027,                0.93154,                0.83448,                0.91056,                0.64007,                 1.1482,                0.52603,                 1.2171,                0.00857,                0.00857,                0.00857
                     29,                 1.0942,                0.70433,                 1.1984,                0.94209,                0.83569,                0.94979,                0.63861,                 1.1471,                0.53661,                 1.2147,               0.008515,               0.008515,               0.008515
                     30,                 1.0817,                0.70003,                 1.1957,                0.93191,                0.83095,                0.90891,                0.62898,                 1.1562,                0.53411,                 1.2221,                0.00846,                0.00846,                0.00846
                     31,                 1.0855,                0.69675,                 1.1943,                0.93938,                0.84117,                0.94979,                0.64071,                 1.1532,                0.52061,                 1.2202,               0.008405,               0.008405,               0.008405
                     32,                 1.0783,                0.67923,                 1.1865,                0.93742,                0.84701,                0.95296,                0.65106,                 1.1562,                0.52023,                 1.2232,                0.00835,                0.00835,                0.00835
                     33,                 1.0704,                0.67998,                 1.1885,                 0.9422,                0.84311,                 0.9517,                0.64495,                 1.1556,                 0.5168,                 1.2239,               0.008295,               0.008295,               0.008295
                     34,                 1.0721,                0.67277,                 1.1855,                0.93929,                0.84373,                0.95276,                0.65092,                 1.1519,                0.50594,                 1.2146,                0.00824,                0.00824,                0.00824
                     35,                 1.0748,                0.67902,                 1.1915,                0.93785,                0.85198,                0.95339,                0.63755,                 1.1568,                0.50359,                 1.2203,               0.008185,               0.008185,               0.008185
                     36,                 1.0697,                0.67485,                 1.1882,                0.93534,                 0.8539,                0.95315,                0.64603,                 1.1457,                0.49807,                 1.2168,                0.00813,                0.00813,                0.00813
                     37,                 1.0586,                0.66317,                 1.1812,                0.94819,                0.84388,                0.95556,                0.64975,                 1.1422,                0.49773,                 1.2164,               0.008075,               0.008075,               0.008075
                     38,                 1.0546,                0.65897,                 1.1771,                0.94714,                0.85144,                0.95676,                0.65017,                 1.1372,                0.49331,                 1.2134,                0.00802,                0.00802,                0.00802
                     39,                 1.0533,                0.65767,                 1.1756,                0.94288,                0.85091,                0.90289,                 0.6446,                 1.1387,                0.49329,                 1.2101,               0.007965,               0.007965,               0.007965
                     40,                 1.0504,                0.65286,                 1.1769,                0.93038,                0.84953,                0.89779,                0.64434,                 1.1393,                0.49282,                 1.2106,                0.00791,                0.00791,                0.00791
                     41,                  1.051,                0.65017,                  1.171,                0.93225,                0.85364,                0.91967,                0.65086,                 1.1395,                0.49078,                 1.2112,               0.007855,               0.007855,               0.007855
                     42,                 1.0422,                0.64641,                 1.1706,                0.93019,                0.85928,                0.90817,                0.64316,                 1.1388,                0.48928,                 1.2129,                 0.0078,                 0.0078,                 0.0078
                     43,                 1.0446,                0.64172,                 1.1711,                0.93014,                0.85715,                0.92068,                0.64342,                 1.1384,                 0.4874,                 1.2116,               0.007745,               0.007745,               0.007745
                     44,                 1.0371,                0.63011,                 1.1637,                0.94091,                0.85153,                0.92199,                0.65011,                 1.1385,                0.48799,                  1.213,                0.00769,                0.00769,                0.00769
                     45,                 1.0386,                0.63325,                 1.1664,                 0.9498,                0.84762,                0.96009,                0.65663,                 1.1365,                0.48478,                 1.2085,               0.007635,               0.007635,               0.007635
                     46,                 1.0346,                0.62996,                 1.1589,                0.94684,                0.85289,                0.96062,                 0.6579,                  1.135,                0.48138,                 1.2054,                0.00758,                0.00758,                0.00758
                     47,                 1.0334,                0.62712,                 1.1622,                0.94414,                0.85117,                0.95804,                0.65781,                 1.1365,                0.47747,                 1.2052,               0.007525,               0.007525,               0.007525
                     48,                 1.0324,                0.62681,                 1.1616,                 0.9463,                0.85437,                0.95843,                0.65826,                 1.1367,                0.47711,                 1.2057,                0.00747,                0.00747,                0.00747
                     49,                 1.0271,                0.61823,                 1.1567,                0.94671,                0.85533,                0.95863,                0.65836,                  1.139,                0.47667,                 1.2074,               0.007415,               0.007415,               0.007415
                     50,                 1.0192,                0.61138,                 1.1532,                0.94551,                0.85817,                0.95877,                0.65934,                 1.1389,                0.47599,                 1.2069,                0.00736,                0.00736,                0.00736
                     51,                 1.0131,                0.61362,                 1.1512,                0.94727,                0.85742,                0.95864,                0.65994,                 1.1398,                0.47484,                 1.2077,               0.007305,               0.007305,               0.007305
                     52,                 1.0111,                0.60961,                 1.1476,                0.94216,                0.86198,                0.95801,                0.65953,                 1.1414,                0.47521,                 1.2083,                0.00725,                0.00725,                0.00725
                     53,                 1.0066,                0.61328,                  1.148,                0.94289,                0.86163,                0.95791,                0.66171,                  1.141,                0.47275,                 1.2075,               0.007195,               0.007195,               0.007195
                     54,                 1.0039,                0.60553,                  1.144,                0.94431,                0.86165,                   0.96,                0.66104,                 1.1419,                0.47226,                 1.2073,                0.00714,                0.00714,                0.00714
                     55,                  1.006,                0.60407,                 1.1419,                0.94893,                0.85606,                0.96003,                0.66061,                 1.1431,                0.47193,                 1.2073,               0.007085,               0.007085,               0.007085
                     56,                 1.0078,                0.60436,                 1.1473,                0.94577,                0.86342,                0.96161,                0.66051,                 1.1437,                0.47254,                 1.2078,                0.00703,                0.00703,                0.00703
                     57,                0.99834,                0.59664,                 1.1348,                 0.9477,                0.86386,                0.96137,                0.65986,                  1.144,                0.47243,                 1.2069,               0.006975,               0.006975,               0.006975
