                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3445,                 5.6121,                  3.855,                0.64228,                0.04763,                0.01401,                0.00312,                  2.677,                  4.552,                 3.4958,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.2602,                 3.6093,                 2.6835,                0.51629,                0.23906,                0.20251,                0.08142,                 1.9866,                 2.6634,                 2.5848,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.8451,                 2.5692,                 2.2184,                0.46572,                0.34365,                0.36226,                0.20821,                 1.7936,                 2.2054,                 2.3247,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.6968,                  2.134,                 2.0509,                0.57711,                0.45988,                 0.4692,                0.27715,                 1.5819,                 1.8011,                 2.0985,               0.009835,               0.009835,               0.009835
                      5,                 1.5789,                 1.8699,                 1.9277,                0.70775,                0.46821,                0.51718,                0.31656,                 1.5791,                 1.6314,                  2.067,               0.009835,               0.009835,               0.009835
                      6,                 1.5029,                 1.6907,                 1.8641,                0.67976,                0.52738,                0.55194,                0.34405,                  1.478,                 1.3962,                  1.978,                0.00978,                0.00978,                0.00978
                      7,                 1.4512,                 1.5652,                 1.8116,                0.74405,                0.54103,                0.66099,                0.38957,                 1.4963,                 1.3183,                 1.9844,               0.009725,               0.009725,               0.009725
                      8,                 1.4213,                 1.4669,                 1.7828,                 0.7955,                 0.5682,                0.62705,                0.40187,                 1.4175,                  1.199,                 1.8866,                0.00967,                0.00967,                0.00967
                      9,                 1.3975,                  1.387,                 1.7628,                0.76554,                0.61775,                0.68245,                0.41553,                 1.4149,                 1.1556,                 1.8933,               0.009615,               0.009615,               0.009615
                     10,                 1.3625,                 1.3259,                  1.734,                0.80384,                0.63827,                0.68204,                0.44043,                 1.3843,                 1.0516,                  1.884,                0.00956,                0.00956,                0.00956
                     11,                 1.3507,                 1.2714,                 1.7199,                0.82393,                0.61292,                0.68562,                0.44475,                 1.3452,                 1.0125,                 1.8303,               0.009505,               0.009505,               0.009505
                     12,                 1.3229,                 1.2321,                 1.6958,                0.84643,                0.64291,                0.74143,                0.47033,                 1.3317,                0.97559,                 1.8241,                0.00945,                0.00945,                0.00945
                     13,                 1.3064,                 1.1885,                 1.6851,                0.86267,                0.65586,                0.73327,                0.47894,                 1.2995,                0.92244,                 1.7599,               0.009395,               0.009395,               0.009395
                     14,                 1.2969,                 1.1506,                 1.6705,                0.83707,                  0.672,                 0.7251,                0.47705,                 1.3232,                0.93195,                 1.8116,                0.00934,                0.00934,                0.00934
                     15,                 1.2856,                 1.1216,                 1.6548,                0.86211,                0.67853,                0.73537,                0.48078,                 1.3159,                0.89831,                 1.7617,               0.009285,               0.009285,               0.009285
                     16,                 1.2764,                 1.1012,                 1.6469,                 0.7678,                0.76276,                0.84549,                 0.5276,                 1.2864,                0.85521,                 1.7657,                0.00923,                0.00923,                0.00923
                     17,                 1.2607,                 1.0621,                 1.6369,                0.85033,                0.70447,                0.77928,                0.50789,                 1.2819,                0.83306,                 1.7447,               0.009175,               0.009175,               0.009175
                     18,                 1.2461,                 1.0347,                 1.6209,                0.75179,                0.78583,                0.78877,                0.52142,                 1.2627,                0.81581,                 1.7298,                0.00912,                0.00912,                0.00912
                     19,                 1.2429,                 1.0288,                 1.6169,                0.91306,                0.68978,                0.86932,                0.53153,                 1.2474,                0.78283,                 1.7029,               0.009065,               0.009065,               0.009065
                     20,                 1.2303,                 1.0058,                 1.6073,                0.80744,                0.78457,                0.81731,                0.52851,                 1.2553,                 0.7769,                 1.7237,                0.00901,                0.00901,                0.00901
                     21,                 1.2301,                0.98324,                 1.6064,                0.87243,                0.72428,                0.77495,                0.52336,                 1.2451,                0.76462,                 1.7077,               0.008955,               0.008955,               0.008955
                     22,                 1.2151,                0.97138,                 1.5895,                0.77049,                0.80614,                0.82873,                0.55634,                 1.2439,                0.73762,                 1.6952,                 0.0089,                 0.0089,                 0.0089
                     23,                 1.2156,                0.95747,                 1.5917,                0.92479,                0.71368,                0.84874,                0.56758,                  1.228,                 0.7134,                 1.6857,               0.008845,               0.008845,               0.008845
                     24,                 1.2088,                0.94462,                 1.5824,                0.88579,                0.76654,                0.84789,                0.57803,                  1.235,                 0.7185,                 1.6801,                0.00879,                0.00879,                0.00879
                     25,                 1.1978,                0.92391,                 1.5684,                0.83769,                0.80696,                0.84557,                0.57955,                 1.2309,                0.70623,                 1.6768,               0.008735,               0.008735,               0.008735
