                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9333,                 6.1244,                 3.9636,                 0.6441,                0.06799,                0.02656,                0.00763,                 2.5753,                 4.7739,                 3.6044,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.2244,                 4.2895,                 2.9102,                0.39257,                0.23955,                0.18566,                0.07437,                 1.9892,                 2.9628,                 2.7703,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.8714,                 3.0924,                   2.44,                0.32588,                0.35514,                0.26809,                0.13063,                 1.7962,                 2.5189,                 2.4957,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.7229,                 2.5099,                 2.2386,                0.51138,                0.41982,                0.42072,                0.22716,                   1.59,                 1.9629,                 2.2515,               0.009835,               0.009835,               0.009835
                      5,                 1.6012,                 2.1824,                 2.0871,                0.55434,                0.46244,                 0.4708,                 0.2856,                  1.555,                 1.7187,                 2.1647,               0.009835,               0.009835,               0.009835
                      6,                 1.5095,                 1.9387,                 1.9849,                0.60858,                0.47512,                0.51437,                0.32376,                 1.4541,                 1.5385,                 2.0345,                0.00978,                0.00978,                0.00978
                      7,                 1.4536,                 1.7866,                 1.9225,                0.74234,                0.54213,                0.60248,                0.37715,                 1.4333,                 1.3518,                 2.0101,               0.009725,               0.009725,               0.009725
                      8,                 1.4183,                 1.6593,                 1.8826,                0.67713,                0.56433,                0.62188,                0.39846,                  1.385,                 1.2649,                 1.9359,                0.00967,                0.00967,                0.00967
                      9,                 1.3956,                 1.5727,                 1.8529,                0.69166,                0.59074,                0.63979,                 0.4092,                  1.409,                 1.1985,                 1.9517,               0.009615,               0.009615,               0.009615
                     10,                 1.3557,                 1.4887,                 1.8188,                0.80094,                0.59497,                 0.6496,                0.41944,                 1.3797,                 1.1235,                 1.9396,                0.00956,                0.00956,                0.00956
                     11,                 1.3506,                 1.4356,                 1.8056,                0.75572,                0.62357,                0.66153,                0.42813,                 1.3455,                 1.0872,                 1.9132,               0.009505,               0.009505,               0.009505
                     12,                 1.3222,                 1.3786,                 1.7793,                0.75923,                0.63519,                0.69716,                0.46476,                 1.3245,                 1.0131,                 1.8716,                0.00945,                0.00945,                0.00945
                     13,                 1.3097,                 1.3273,                  1.767,                0.80005,                0.66935,                0.71435,                 0.4766,                 1.3066,                0.94722,                 1.8463,               0.009395,               0.009395,               0.009395
                     14,                 1.2969,                 1.2821,                 1.7498,                0.82596,                0.64554,                0.71052,                0.46774,                 1.3175,                0.95408,                 1.8534,                0.00934,                0.00934,                0.00934
                     15,                 1.2851,                 1.2555,                 1.7335,                0.86079,                0.64596,                0.71723,                0.47931,                   1.29,                0.91518,                 1.8315,               0.009285,               0.009285,               0.009285
                     16,                 1.2771,                 1.2233,                 1.7248,                0.82543,                0.74485,                0.77968,                0.51381,                 1.2842,                0.87325,                 1.8215,                0.00923,                0.00923,                0.00923
                     17,                 1.2545,                  1.176,                 1.7074,                0.82217,                0.71628,                0.77608,                0.50514,                  1.267,                0.85583,                 1.8019,               0.009175,               0.009175,               0.009175
                     18,                  1.248,                 1.1451,                 1.6955,                0.84114,                0.71849,                0.77908,                0.51045,                 1.2634,                0.85046,                 1.7827,                0.00912,                0.00912,                0.00912
