                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7156,                 6.0612,                 3.9523,                0.56957,                0.06208,                0.03567,                0.00957,                 2.3307,                 4.7283,                 3.5203,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.9655,                 4.2049,                 2.9009,                0.42312,                0.27322,                0.21823,                0.08211,                 1.5959,                 2.9346,                 2.7151,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.5491,                 3.0228,                 2.4368,                0.41452,                0.34661,                0.30827,                0.15416,                 1.4395,                   2.32,                 2.4815,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.3856,                 2.4465,                 2.2407,                0.42806,                0.37596,                0.33782,                0.19092,                 1.3091,                 2.2321,                 2.3185,               0.009835,               0.009835,               0.009835
                      5,                 1.2652,                 2.1241,                 2.1004,                0.54286,                0.49237,                 0.4941,                0.29425,                 1.1847,                 1.6618,                  2.167,               0.009835,               0.009835,               0.009835
                      6,                 1.1863,                 1.9123,                 2.0151,                 0.6348,                0.42871,                0.49656,                0.30626,                 1.1444,                 1.5808,                 2.1218,                0.00978,                0.00978,                0.00978
                      7,                 1.1319,                 1.7601,                 1.9472,                0.75555,                0.52123,                 0.5917,                0.36848,                 1.0943,                 1.3452,                 2.0826,               0.009725,               0.009725,               0.009725
                      8,                 1.0908,                 1.6287,                 1.9063,                0.76559,                0.57093,                0.63384,                 0.3966,                  1.034,                 1.2537,                 2.0089,                0.00967,                0.00967,                0.00967
                      9,                 1.0673,                 1.5505,                 1.8708,                0.72435,                0.58691,                0.62043,                0.39133,                 1.0566,                 1.2048,                 2.0016,               0.009615,               0.009615,               0.009615
                     10,                 1.0259,                 1.4624,                 1.8399,                0.81851,                0.59738,                 0.6693,                0.42663,                 1.0057,                 1.0976,                 1.9721,                0.00956,                0.00956,                0.00956
                     11,                  1.021,                 1.4121,                 1.8195,                 0.7933,                0.59998,                0.67397,                0.43543,                0.98723,                 1.0753,                 1.9308,               0.009505,               0.009505,               0.009505
                     12,                0.99254,                 1.3519,                 1.7938,                0.75974,                0.65111,                0.71322,                0.46906,                0.98054,                0.98319,                 1.9244,                0.00945,                0.00945,                0.00945
                     13,                0.97743,                 1.2983,                 1.7794,                0.78955,                0.72219,                0.73325,                0.48101,                0.93729,                 0.9503,                 1.8782,               0.009395,               0.009395,               0.009395
                     14,                0.96628,                 1.2617,                 1.7646,                0.79835,                0.72009,                0.78967,                0.49439,                0.92957,                0.90076,                  1.873,                0.00934,                0.00934,                0.00934
                     15,                0.95016,                 1.2229,                 1.7452,                0.79806,                0.65744,                0.73387,                0.48602,                0.93045,                0.90827,                 1.8464,               0.009285,               0.009285,               0.009285
                     16,                0.94625,                 1.1971,                 1.7357,                0.82998,                0.76623,                0.79445,                0.50438,                0.90111,                0.87083,                 1.8342,                0.00923,                0.00923,                0.00923
                     17,                0.92069,                 1.1638,                 1.7197,                0.82532,                0.73904,                0.78756,                0.51628,                0.88982,                0.82994,                 1.8136,               0.009175,               0.009175,               0.009175
                     18,                0.91916,                  1.128,                 1.7125,                0.83705,                0.72609,                0.76649,                0.50132,                0.89067,                0.82932,                 1.8036,                0.00912,                0.00912,                0.00912
                     19,                0.91183,                 1.1229,                 1.7054,                0.83035,                0.68747,                0.76074,                0.50839,                  0.883,                0.80675,                 1.7998,               0.009065,               0.009065,               0.009065
                     20,                0.90341,                  1.094,                 1.6935,                0.89342,                0.70855,                0.80195,                0.51917,                0.87282,                0.78878,                  1.781,                0.00901,                0.00901,                0.00901
                     21,                0.89864,                 1.0617,                 1.6861,                0.82513,                0.75401,                0.78734,                0.52452,                0.87346,                0.78809,                 1.7774,               0.008955,               0.008955,               0.008955
                     22,                0.88648,                  1.056,                  1.674,                0.86492,                 0.7262,                0.81786,                0.54709,                 0.8697,                0.76685,                 1.7753,                 0.0089,                 0.0089,                 0.0089
                     23,                0.87909,                 1.0348,                 1.6704,                0.84561,                0.79618,                0.82298,                0.55185,                0.86939,                0.74992,                 1.7729,               0.008845,               0.008845,               0.008845
                     24,                0.87633,                  1.026,                  1.663,                0.85268,                0.79745,                0.83307,                0.55326,                0.86723,                0.73986,                 1.7491,                0.00879,                0.00879,                0.00879
                     25,                0.86331,                 1.0032,                 1.6499,                0.88925,                0.76407,                 0.8325,                0.55547,                0.85082,                0.71809,                 1.7488,               0.008735,               0.008735,               0.008735
                     26,                0.85936,                0.97968,                 1.6433,                0.89168,                0.74798,                0.82068,                0.54372,                0.85952,                 0.7166,                 1.7602,                0.00868,                0.00868,                0.00868
                     27,                0.85191,                 0.9738,                 1.6342,                0.90039,                0.76246,                 0.8273,                0.54793,                0.85144,                0.70693,                 1.7435,               0.008625,               0.008625,               0.008625
                     28,                 0.8483,                0.95959,                  1.632,                0.89569,                0.77177,                0.83337,                0.54791,                0.83591,                0.69883,                 1.7369,                0.00857,                0.00857,                0.00857
                     29,                0.84737,                 0.9473,                  1.618,                0.89866,                0.81006,                0.85594,                0.57522,                0.83676,                0.68155,                  1.713,               0.008515,               0.008515,               0.008515
                     30,                0.83531,                0.94887,                 1.6149,                0.88342,                0.77048,                0.83675,                0.56151,                0.84012,                0.69074,                 1.7246,                0.00846,                0.00846,                0.00846
                     31,                 0.8333,                0.93871,                 1.6133,                0.89293,                0.76119,                0.84382,                0.57658,                0.83701,                0.68462,                 1.7197,               0.008405,               0.008405,               0.008405
                     32,                0.82703,                0.91752,                  1.606,                0.91161,                0.77242,                0.85833,                0.57816,                0.84008,                0.68035,                 1.7261,                0.00835,                0.00835,                0.00835
                     33,                0.82093,                0.90845,                 1.6055,                0.90493,                0.77654,                0.82959,                0.56431,                0.84467,                0.67003,                  1.731,               0.008295,               0.008295,               0.008295
                     34,                0.81877,                0.89318,                 1.5997,                0.91841,                0.81603,                0.93195,                0.58228,                 0.8353,                0.64961,                 1.7199,                0.00824,                0.00824,                0.00824
                     35,                0.82735,                0.89768,                 1.6017,                0.92994,                 0.8115,                0.86146,                0.57782,                0.83891,                 0.6436,                 1.7238,               0.008185,               0.008185,               0.008185
                     36,                0.81931,                0.88373,                  1.599,                0.91336,                0.82156,                0.86078,                0.58515,                 0.8374,                0.63689,                 1.7213,                0.00813,                0.00813,                0.00813
                     37,                0.80603,                0.87015,                 1.5836,                0.88868,                0.83349,                0.87015,                0.57978,                0.83683,                0.62997,                 1.7191,               0.008075,               0.008075,               0.008075
                     38,                0.80015,                0.86067,                 1.5765,                 0.9139,                0.81922,                 0.8743,                0.58674,                0.82911,                0.63208,                 1.7071,                0.00802,                0.00802,                0.00802
                     39,                0.79866,                0.85877,                 1.5758,                0.92699,                0.81526,                0.87644,                0.59105,                0.82704,                 0.6259,                 1.7054,               0.007965,               0.007965,               0.007965
                     40,                0.80248,                0.85522,                 1.5755,                0.92374,                 0.8049,                0.89937,                  0.589,                0.82577,                0.62269,                 1.7032,                0.00791,                0.00791,                0.00791
                     41,                0.79468,                0.85035,                 1.5703,                0.91761,                0.83224,                0.90038,                0.59102,                0.82287,                0.62166,                 1.7014,               0.007855,               0.007855,               0.007855
                     42,                0.78931,                0.83654,                 1.5658,                0.92423,                0.81822,                0.90273,                 0.5927,                0.81978,                0.61653,                 1.6953,                 0.0078,                 0.0078,                 0.0078
                     43,                0.79096,                0.83272,                  1.569,                0.93162,                0.82043,                0.90243,                0.59695,                0.82176,                0.61135,                 1.6988,               0.007745,               0.007745,               0.007745
                     44,                0.78079,                 0.8213,                 1.5483,                0.93915,                0.81481,                0.90207,                0.59473,                0.82144,                  0.606,                 1.6945,                0.00769,                0.00769,                0.00769
                     45,                0.78783,                0.82397,                 1.5582,                0.92449,                0.83372,                0.90338,                0.59577,                0.81904,                0.59909,                 1.6886,               0.007635,               0.007635,               0.007635
                     46,                0.77715,                0.81263,                 1.5505,                0.92491,                0.83226,                0.90385,                0.59833,                0.81898,                 0.5973,                 1.6906,                0.00758,                0.00758,                0.00758
                     47,                0.77409,                0.80593,                 1.5468,                0.93639,                0.82122,                0.90385,                0.59822,                 0.8197,                0.59324,                 1.6898,               0.007525,               0.007525,               0.007525
                     48,                0.77348,                0.80497,                 1.5463,                  0.941,                0.82294,                0.94079,                0.60471,                0.82074,                0.58755,                 1.6934,                0.00747,                0.00747,                0.00747
                     49,                0.76817,                0.79214,                 1.5389,                0.93409,                0.82565,                0.94107,                0.60478,                0.81975,                0.58404,                 1.6895,               0.007415,               0.007415,               0.007415
