                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.539,                 6.0597,                 3.9598,                 0.6246,                0.07645,                 0.0455,                0.01197,                 2.0986,                 4.6651,                   3.44,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.9122,                 4.2196,                 2.9285,                0.51553,                0.23044,                0.21441,                0.08831,                 1.5696,                 2.6298,                 2.7435,              0.0066272,              0.0066272,              0.0066272
                      3,                 1.5318,                 3.0274,                 2.4491,                0.39338,                0.32403,                0.29496,                0.13987,                 1.4408,                 2.3843,                  2.506,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.3905,                 2.4588,                 2.2563,                0.44664,                0.45002,                0.40458,                0.21506,                 1.2167,                 1.9025,                 2.2809,               0.009835,               0.009835,               0.009835
                      5,                  1.275,                 2.1351,                 2.1192,                0.52951,                0.41439,                0.44156,                0.24184,                 1.2787,                 2.2106,                 2.2823,               0.009835,               0.009835,               0.009835
                      6,                 1.1852,                 1.9111,                 2.0247,                0.66076,                0.51571,                 0.5558,                0.34259,                 1.1437,                 1.4869,                  2.138,                0.00978,                0.00978,                0.00978
                      7,                 1.1294,                 1.7646,                 1.9503,                0.70157,                0.52726,                0.58275,                0.36116,                 1.0503,                 1.3818,                 2.0304,               0.009725,               0.009725,               0.009725
                      8,                 1.0951,                   1.63,                 1.9122,                0.69492,                0.56264,                0.61464,                0.38641,                 1.0458,                 1.2627,                 2.0066,                0.00967,                0.00967,                0.00967
                      9,                 1.0722,                 1.5491,                 1.8834,                0.78882,                 0.5848,                0.63954,                0.40045,                 1.0361,                 1.2013,                 1.9858,               0.009615,               0.009615,               0.009615
                     10,                 1.0269,                 1.4659,                 1.8431,                0.71779,                 0.5748,                 0.6422,                0.40519,                 1.0187,                 1.1521,                 1.9879,                0.00956,                0.00956,                0.00956
                     11,                 1.0192,                 1.4126,                 1.8259,                0.78473,                0.59971,                 0.6641,                0.42677,                0.96163,                 1.0857,                 1.9154,               0.009505,               0.009505,               0.009505
                     12,                0.98994,                 1.3537,                  1.798,                0.84355,                0.65522,                0.70185,                0.45673,                0.98657,                 1.0098,                 1.9214,                0.00945,                0.00945,                0.00945
                     13,                0.97679,                 1.2995,                  1.784,                 0.8274,                0.67377,                0.72677,                0.46936,                 0.9316,                0.96754,                 1.8651,               0.009395,               0.009395,               0.009395
                     14,                0.96249,                 1.2607,                 1.7637,                0.81011,                0.69424,                0.74183,                0.48358,                0.93625,                0.90403,                  1.859,                0.00934,                0.00934,                0.00934
                     15,                0.95051,                 1.2248,                 1.7509,                 0.8627,                0.65997,                0.73906,                 0.4788,                0.93374,                0.90767,                 1.8615,               0.009285,               0.009285,               0.009285
                     16,                0.94062,                  1.192,                 1.7359,                0.78931,                0.69217,                0.74668,                0.48868,                0.90116,                0.87006,                 1.8339,                0.00923,                0.00923,                0.00923
                     17,                 0.9215,                 1.1589,                 1.7218,                0.87303,                0.67492,                0.74761,                0.49397,                0.89256,                0.82741,                 1.8136,               0.009175,               0.009175,               0.009175
                     18,                0.91638,                 1.1187,                  1.708,                0.81809,                0.76373,                 0.7902,                0.51983,                0.89009,                0.80681,                 1.7932,                0.00912,                0.00912,                0.00912
